id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/18/value
2485285547,9,1,1,0,22,e5p0ehyguld7egzhiedpdnc3w,1,25.4,87.7,2022-11-13T14:02:13.355Z,2022-11-13T19:51:21Z,3914038721,213,0.2,3914038713,56,Back,3915502671,178,,3914038715,140,41.1,3914038719,212,17.0,3914038717,141,93.6,,,,,,,87g6qlasqe627i5g7ir30j2sp,P. Estupiñán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285569,10,1,1,0,23,e5p0ehyguld7egzhiedpdnc3w,1,41.5,92.9,2022-11-13T14:02:14.544Z,2022-11-13T19:51:25Z,3915502835,178,,3914038819,213,4.2,3914038815,141,80.8,3914038817,212,9.6,3914038873,156,,3914038813,140,36.7,3914038811,56,Back,,,,8qwpdf5jof7o6yy47v6iv11hx,L. Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285641,11,1,1,0,25,e5p0ehyguld7egzhiedpdnc3w,1,36.7,81.4,2022-11-13T14:02:16.227Z,2022-11-13T19:51:31Z,3914039177,141,95.6,3914039179,212,10.7,3914039175,140,41.0,3914039181,213,1.1,3915503175,178,,3914039173,56,Back,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285653,12,1,1,0,27,e5p0ehyguld7egzhiedpdnc3w,1,41.1,95.6,2022-11-13T14:02:17.999Z,2022-11-13T19:51:36Z,3914039235,141,87.7,3914039239,213,4.6,3914039233,140,40.7,3914039237,212,5.4,3914039231,56,Back,3915503323,178,,,,,,,,8qwpdf5jof7o6yy47v6iv11hx,L. Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285703,13,1,1,0,28,e5p0ehyguld7egzhiedpdnc3w,1,40.7,87.7,2022-11-13T14:02:19.131Z,2022-11-13T19:51:41Z,3914039511,212,10.1,3915503589,178,,3914039513,213,0.8,3914039507,140,47.4,3914039509,141,98.3,3914039505,56,Back,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285709,14,61,1,0,29,e5p0ehyguld7egzhiedpdnc3w,0,47.4,98.3,2022-11-13T14:02:20.031Z,2022-11-13T19:51:46Z,3914039535,56,Back,3915503815,178,,,,,,,,,,,,,,,,,,,,8qwpdf5jof7o6yy47v6iv11hx,L. Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285863,3,5,1,0,29,b496gs285it6bheuikox6z9mj,1,48.6,-1.5,2022-11-13T14:02:20.552Z,2022-11-13T19:51:48Z,3914040299,56,Back,3914040301,347,,3914040317,233,15,,,,,,,,,,,,,,,,btvuam6p4391am219taqtcted,J.  McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285717,15,5,1,0,29,e5p0ehyguld7egzhiedpdnc3w,0,51.4,101.5,2022-11-13T14:02:20.552Z,2022-11-13T19:51:49Z,3914039567,347,,3914040351,233,3,3914039563,56,Left,,,,,,,,,,,,,,,,8qwpdf5jof7o6yy47v6iv11hx,L. Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485285951,4,1,1,0,37,b496gs285it6bheuikox6z9mj,1,42,0,2022-11-13T14:02:28.734Z,2022-11-13T19:51:51Z,3914040689,141,5.9,3914040685,56,Back,3914040693,212,18.9,3914040687,140,24.7,3914040697,213,2.9,3914040683,107,,,,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485286033,5,1,1,0,41,b496gs285it6bheuikox6z9mj,1,20.8,6.2,2022-11-13T14:02:32.447Z,2022-11-13T19:51:54Z,3914041105,213,2.0,3915504161,178,,3914041101,141,43.1,3914041097,56,Back,3914041103,212,28.3,3914041099,140,8.4,,,,,,,8qys6qtdwgsycxducl062zld5,E. Konsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
