id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2442463365,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-08-06T13:00:10.248Z,2022-08-06T14:18:40Z,3686930901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686930893,59,"22, 2, 13, 39, 5, 33, 28, 7, 9, 24, 10, 4, 1, 3, 11, 20, 21, 23, 32, 36",3686932607,197,420,3686930889,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 7g5elxh8h34yj55h9heydhzv9, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 6f1ljb0an6d0g4nbap6xgxsyd, 5tbabvk43ljv3z3wd9mh0y8r9, c589fk8pfqvbukvtdqu1yhjv9, 66r7rq9kcoyow46ovmhzrtec5, bijr1ghojrxc61se7ebt72f9x, doctoq9o6be1yap6je75w0vrp, 4jwkz8almo2997hvp09zl0p9l, 7w4l5mrrrg66wvdd8ndb5zb9x, 6otgu2ezmd171skyysl1ku09h, 8lst9t1pyjhibrxh7xxl3wn9x, cjdycctu96jilvbvnl7ndh9sl, 7gcvzjdbqxe5jw1zn07ie4dsl, 37d7oej48pb143o5eilue1hhx, exzca2akgjl00jfd2hzh33h7t, 9pv566tidfz21e00y4t0mbap5",3686930895,130,4,3686930899,194,65z99j774kjnbf7vm0u2q0jit,3686930891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686930897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442463391,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-06T13:00:15.092Z,2022-08-06T23:22:54Z,3686931047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686931041,130,18,3686931035,30,"5z8ycnd0smdkumi5fgtzf7c9h, 3mgjcyaseuexxlssgatjgsand, 1vklxifs8qpj71s4reu3pkw5x, 12cgiy0t282ywdbr5j78hrxsl, 9rf5uk6c2wce30b9wkmu3iuad, 1tuivl8zdnsaz8vbed2z582qx, dcq0nu7mmecab5djjwg0n8ktm, 25kl6261u9xft9cfvot8aezf9, 5f72vvw62zdlyrj3mwux2udat, 1l228p52d8wdf8qhfxqu8rca, 8kfciybd6filv663ebckuerjd, esb4b21x729db8od4c4xt8ciy, 95uxoznu15m2xywirv43rcmol, 8bhdwi4p824s82bbzkh2vy6t, 55eiicx10oqok1601fqyovt1x, 7clxo8giuja0f0hw9jbto3mjt, mpzi06x1j85ahwkrbsa20kmi, n79bsuv2ldsrh1ieiu096tp1, 6u0e93rc0hv1mc7ch7tfij85, c88j7c4v5raimwoeh7dc7xlka",3686932931,197,4782,3686931039,59,"1, 7, 15, 26, 19, 4, 14, 8, 11, 20, 16, 2, 5, 13, 9, 6, 17, 18, 33, 41",3686931045,194,1tuivl8zdnsaz8vbed2z582qx,3686931043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686931037,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496387,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-06T14:01:41.944Z,2022-08-06T14:01:46Z,3687095171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496261,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-08-06T14:01:41.944Z,2022-08-06T22:30:09Z,3687094615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496415,3,1,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,50.2,50,2022-08-06T14:01:42.044Z,2022-08-06T23:16:32Z,3687095259,56,Back,3687095269,279,S,3687095261,140,37.2,3687095265,212,13.8,3687095263,141,47.0,3687095267,213,3.3,3689573797,178,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496463,4,1,1,0,2,7vn2i2kd35zuetw6b38gw9jsz,1,38.5,51.2,2022-08-06T14:01:44.046Z,2022-08-06T23:16:40Z,3687095487,213,1.4,3687095479,56,Back,3687095485,212,27.5,3687095481,140,42.4,3687095483,141,91.2,3689574181,178,,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496553,5,1,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,42.8,92.1,2022-08-06T14:01:47.576Z,2022-08-06T23:16:45Z,3687095865,56,Back,3687095871,212,19.4,3687095867,140,28.5,3687095869,141,74.0,3689574363,178,,3687095873,213,3.8,,,,,,,doctoq9o6be1yap6je75w0vrp,A. Saint-Maximin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496595,6,1,1,0,8,7vn2i2kd35zuetw6b38gw9jsz,1,27.1,71,2022-08-06T14:01:50.545Z,2022-08-06T23:16:49Z,3687096115,213,4.6,3687096113,212,27.8,3687096109,140,24.1,3689574589,178,,3687096111,141,30.4,3687096107,56,Back,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496645,7,1,1,0,10,7vn2i2kd35zuetw6b38gw9jsz,1,24.1,30.4,2022-08-06T14:01:52.698Z,2022-08-06T23:16:53Z,3687096341,56,Back,3687096347,212,13.7,3689574815,178,,3687096349,213,5.1,3687096343,140,28.7,3687096345,141,11.6,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496737,8,1,1,0,13,7vn2i2kd35zuetw6b38gw9jsz,0,28.9,7.7,2022-08-06T14:01:55.015Z,2022-08-06T23:16:56Z,3687096829,155,,3687096833,140,76.4,3687096835,141,6.5,3687096841,1,,3687096831,56,Right,3689574983,178,,3687096837,212,49.9,3687096839,213,6.3,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496807,3,12,1,0,17,1qtaiy11gswx327s0vkibf70n,1,24.8,92.6,2022-08-06T14:01:58.962Z,2022-08-06T23:17:05Z,3687097175,213,3.1,3687097173,212,27.6,3687097167,140,0.0,3687097161,56,Back,3687097171,141,92.3,3687097219,167,,3689575477,178,,,,,9rf5uk6c2wce30b9wkmu3iuad,M. Niakhaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496815,4,6,1,0,19,1qtaiy11gswx327s0vkibf70n,0,11,92.9,2022-08-06T14:02:01.472Z,2022-08-06T23:17:11Z,3687097199,73,,3687097197,56,Back,3687097549,233,9,,,,,,,,,,,,,,,,9rf5uk6c2wce30b9wkmu3iuad,M. Niakhaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496871,9,6,1,0,19,7vn2i2kd35zuetw6b38gw9jsz,1,89,7.1,2022-08-06T14:02:01.472Z,2022-08-06T23:17:10Z,3687097513,233,4,3687097453,56,Right,3687097457,75,,,,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442497797,10,1,1,0,48,7vn2i2kd35zuetw6b38gw9jsz,1,99.5,0.5,2022-08-06T14:02:30.446Z,2022-08-06T23:17:18Z,3687101951,56,Center,3687101957,212,15.7,3689576045,178,,3687101949,6,,3687101959,213,1.8,3687101955,141,22.7,3687101953,140,95.4,,,,7g5elxh8h34yj55h9heydhzv9,M. Targett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442497821,11,1,1,0,50,7vn2i2kd35zuetw6b38gw9jsz,1,95.4,22.7,2022-08-06T14:02:32.011Z,2022-08-06T23:17:23Z,3687102063,212,8.1,3687102065,213,4.0,3687102057,56,Right,3687102061,141,13.7,3689576229,178,,3687102059,140,90.3,,,,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
