id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2465481179,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-10-01T13:00:02.571Z,2022-10-01T14:32:37Z,3809295093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295085,130,2,3809295091,197,425,3809295089,194,7r6vds5j65fohi1k28cnqjqvp,3809295083,59,"31, 2, 28, 8, 37, 6, 17, 3, 10, 18, 7, 1, 9, 15, 19, 22, 23, 24, 27, 32",3809295079,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, ebazcy0x20885rn9qx2acoi6s, 7r6vds5j65fohi1k28cnqjqvp, 7zkku0gboniozaks9yx0ous8a, 6gymgqxnu2zavuxgp6amm3zkl, axnmil0bg1giwhoa31tks7ljp, dzsd79k6345s9105mb2r4fqol, 59ujnkvl7rlffomi2bqpsmbpx, 1qcj2upaz0xa98zkc835djo8a, 37bmb84zex63yoipqwj01bcgl, d3p7p18i2ybzlwz5p5gjdd239, dusjrdiyxfadenwx4pjr7catx, 67qku7vyvbw76086eu05nowd1, e382powtgetwn8npxf9nqeaga, 2r1u01vlym0nwcwx86bwbuusq, 67oh9fkwrut68eegfjf5emaui, 6tckvu2rw7ns18dq7dim0sout, 6xdgasd4dvfgg4n23jw38473d, 2oijcg6e36mwy3ie1num5wclx",3809295087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465481193,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-01T13:00:05.063Z,2022-10-01T14:00:36Z,3809295185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295177,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 9o1vesnpfiucpoq35ihhpstex, ceerfv28fygp7m2euv5n5uu39, ed4w2l6hglrrxu2a75bn0tt5h, 35jaxclh329duzefna708jk5x, do3duah478rhz9cg2icde4h9m, 8kb5h8df97ju107n9ibigo1cl, xu7mykgl15kaib3olilmsez9, 7qgt7sht6py670pt6t4wjhqay, 4n782p6eaok71ai7ecj1jo1jp, 6og6s61vrg51rfqxk9cipylzp, 8mjj0wgufggpc1ai2dk21h90p, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, cpd8prwzxf0rzevtk33fpryt, 4nk3po2hbfahzgq57g8k4cg6h, 20wvh9al53baedfzbzykpvkyd, 15948izygnu32cu1pw6h5wp9l, 7ws1gtw5wppplxudz3w33fmy1",3809295189,197,409,3809295191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809295183,130,4,3809295187,194,9nq9bocnqq6bu8ho4m26qmkt1,3809295181,59,"1, 23, 19, 27, 30, 2, 8, 17, 20, 7, 11, 5, 10, 15, 16, 26, 29, 33, 37, 48",3809295179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534845,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-10-01T14:00:20.991Z,2022-10-01T19:04:18Z,3809570859,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534853,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-01T14:00:20.991Z,2022-10-01T14:00:24Z,3809570887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534921,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,49.9,50.1,2022-10-01T14:00:21.052Z,2022-10-01T20:55:26Z,3809571179,140,53.2,3809571181,141,56.1,3812204791,178,,3809571187,279,S,3809571183,212,5.4,3809571177,56,Center,3809571185,213,0.9,,,,59ujnkvl7rlffomi2bqpsmbpx,C. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534933,4,1,1,0,1,d5ydtvt96bv7fq04yqm2w2632,1,53.2,56.1,2022-10-01T14:00:22.913Z,2022-10-01T20:55:28Z,3809571249,140,33.7,3809571255,213,2.6,3809571247,56,Back,3809571251,141,75.6,3812204857,178,,3809571253,212,24.4,,,,,,,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465534985,5,1,1,0,4,d5ydtvt96bv7fq04yqm2w2632,1,31.3,72.6,2022-10-01T14:00:25.956Z,2022-10-01T20:55:31Z,3809571483,212,29.6,3809571481,141,29.2,3812204949,178,,3809571479,140,28.7,3809571485,213,4.6,3809571477,56,Back,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535065,6,1,1,0,7,d5ydtvt96bv7fq04yqm2w2632,1,29.2,35.5,2022-10-01T14:00:28.828Z,2022-10-01T20:55:33Z,3809571889,213,1.5,3809571885,141,68.5,3812205037,178,,3809571887,212,22.6,3809571881,56,Back,3809571883,140,31.4,,,,,,,7zkku0gboniozaks9yx0ous8a,A. Bella-Kotchap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535155,7,1,1,0,12,d5ydtvt96bv7fq04yqm2w2632,1,37.4,60.8,2022-10-01T14:00:33.523Z,2022-10-01T20:55:37Z,3812205171,178,,3809572339,140,34.5,3809572345,213,4.5,3809572341,141,36.0,3809572343,212,17.1,3809572337,56,Back,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535295,8,1,1,0,15,d5ydtvt96bv7fq04yqm2w2632,0,39,29.2,2022-10-01T14:00:36.828Z,2022-10-01T20:55:41Z,3809573015,141,20.1,3809573021,1,,3812205269,178,,3809573019,213,6.2,3809573013,140,100.0,3809573009,155,,3809573011,56,Right,3809573017,212,65.5,7zkku0gboniozaks9yx0ous8a,A. Bella-Kotchap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
