id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/20/value,qualifier/17/value,qualifier/18/value
2453849733,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-08-31T17:30:04.174Z,2022-09-01T08:04:42Z,3747507675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747507669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747507671,59,"31, 2, 7, 16, 5, 3, 20, 8, 9, 19, 47, 17, 18, 21, 26, 80, 81, 82, 96, 97",3747507667,30,"23637o19ff0sw18pqv8g96ndh, e9wu8dcamrtj3ftbx3nmhusid, 29pq64smaxdwlraopnxoleqxh, dqfk7czrayirrvonirtk2mk15, 3gem1jrrkgye0omb88fk1lsk5, 2t5s4f41jefzuzth0bhcixtcl, b3974hgsmyff5xtq7qf1onhlh, 9wbf00lybk9fqablaqwg5cn2t, atzboo800gv7gic2rgvgo0kq1, 9ikkuxd19avliz1khcrm82gyy, 693z0rzfh3m0h0wsma9v8c9ux, c2jqa9vozhqu7x79h5rr2n1ed, 5d6d4oc2rpau0mbbbt2dmtzv9, d4tdx2ctadv6kc3tbq4as8bmx, exiribcpg9vnuq9ekhlk74dlh, dl10343h8yopcgerzur5samwa, 47zyjwv31a878u1r1dgm3iwo9, d0azo0spzov2hg6ul40l58e3u, 4v067hf9lvyhgj4o099yvlqwa, w541dxowigldl3yvsp55arfu",3747507673,130,8,3747507679,197,4978,3747507681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747507677,194,9wbf00lybk9fqablaqwg5cn2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453849781,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-31T17:30:09.206Z,2022-08-31T18:31:29Z,3747507955,30,"5z8ycnd0smdkumi5fgtzf7c9h, 3mgjcyaseuexxlssgatjgsand, 59wmst2hxu6y4zut9a48jxiw9, 12cgiy0t282ywdbr5j78hrxsl, a6m9jcx0e4l6krv1u0pbfuoyd, 1tuivl8zdnsaz8vbed2z582qx, ece7xph4emgawvh7mr56319ex, 19nlw3sa0khwz0el4wqc7zrp, 55yy0p6johtu9nxk90zsfctt5, 1l228p52d8wdf8qhfxqu8rca, dcq0nu7mmecab5djjwg0n8ktm, esb4b21x729db8od4c4xt8ciy, av7e2wk5ub7qnh3sqcvssvh79, 25kl6261u9xft9cfvot8aezf9, 55eiicx10oqok1601fqyovt1x, 5f72vvw62zdlyrj3mwux2udat, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 3ztcz2dgfniqv141w7xsky7zd",3747507965,194,1tuivl8zdnsaz8vbed2z582qx,3747507963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747507961,130,10,3747507959,59,"1, 7, 32, 26, 21, 4, 22, 23, 10, 20, 14, 2, 3, 8, 9, 11, 13, 15, 16, 25",3747507957,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747507967,197,16649,3747507969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876081,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-08-31T18:30:16.286Z,2022-09-01T01:17:37Z,3747659671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876039,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-31T18:30:16.286Z,2022-08-31T18:30:16Z,3747659423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876079,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,49.9,50.3,2022-08-31T18:30:16.336Z,2022-09-01T05:35:18Z,3747659663,279,S,3747659661,213,3.2,3747659653,56,Back,3747659655,140,35.0,3747659657,141,49.1,3747659659,212,15.7,3748993389,178,,,,,ece7xph4emgawvh7mr56319ex,R. Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876103,4,1,1,0,2,1qtaiy11gswx327s0vkibf70n,1,33.2,53.1,2022-08-31T18:30:18.291Z,2022-09-01T05:35:23Z,3747659773,140,35.9,3747659771,56,Back,3747659775,141,72.0,3747659777,212,13.2,3747659779,213,1.4,3748993457,178,,,,,,,,19nlw3sa0khwz0el4wqc7zrp,R. Freuler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876159,5,1,1,0,4,1qtaiy11gswx327s0vkibf70n,0,36.3,76.3,2022-08-31T18:30:20.857Z,2022-09-01T05:35:27Z,3747660135,1,,3747660123,155,,3747660129,141,94.4,3747660127,140,80.6,3747660125,56,Left,3747660131,212,48.1,3747660133,213,0.3,3748993509,178,,12cgiy0t282ywdbr5j78hrxsl,S. McKenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876143,3,44,1,0,7,a3nyxabgsqlnqfkeg41m6tnpp,1,19.2,8.6,2022-08-31T18:30:23.839Z,2022-09-01T06:51:15Z,3747660183,233,6,3747660037,285,,3747660033,56,Back,,,,,,,,,,,,,,,,3gem1jrrkgye0omb88fk1lsk5,J. Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876163,6,44,1,0,7,1qtaiy11gswx327s0vkibf70n,0,80.8,91.4,2022-08-31T18:30:23.840Z,2022-09-01T05:35:32Z,3747660147,56,Left,3747660149,286,,3747660225,233,3,,,,,,,,,,,,,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876155,4,12,1,0,7,a3nyxabgsqlnqfkeg41m6tnpp,1,23.2,10.9,2022-08-31T18:30:23.928Z,2022-09-01T06:51:15Z,3748993635,388,,3748267987,15,,3748267989,167,,3747660109,56,Back,3747660117,213,5.4,3747660115,212,10.8,3747660111,140,29.7,3747660113,141,0.0,3gem1jrrkgye0omb88fk1lsk5,J. Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876161,5,5,1,0,9,a3nyxabgsqlnqfkeg41m6tnpp,0,25.4,-1.1,2022-08-31T18:30:25.380Z,2022-09-01T05:35:40Z,3747660141,347,,3747660359,233,7,3747660139,56,Back,,,,,,,,,,,,,,,,3gem1jrrkgye0omb88fk1lsk5,J. Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453876189,7,5,1,0,9,1qtaiy11gswx327s0vkibf70n,1,74.6,101.1,2022-08-31T18:30:25.380Z,2022-09-01T05:35:39Z,3747660305,347,,3747660343,233,5,3747660303,56,Left,,,,,,,,,,,,,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
