id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2526432809,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-04-01T13:00:11.775Z,2023-04-01T13:00:12Z,4152005495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152005493,197,2071,4152005491,194,1um5sa7iogc29aadvkabadyad,4152005489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152005485,59,"13, 15, 5, 14, 3, 25, 11, 8, 9, 29, 32, 1, 4, 7, 10, 16, 18, 22, 24, 27",4152005483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152005487,130,6,4152005481,30,"1um5sa7iogc29aadvkabadyad, 80bmtj7l07ohb2h475w955n9, 7gyfpskzbb3r5nhiniky22o6h, 2u0613a3yx2fk1pefmb722rbp, e6la6wx7o6x7k4srpq8tdsafp, 95pzsjfh0wf6isp6qpf9lddyh, dg4782hj9xdqg46w225kzph5g, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, 8cmkqkrjme3wb0gegzn1e6xre, 12l99v9rpet6ug6n121tg6ay1, djelmk2oafas355n2u0d1bumt, 96ou7x51dxymv16l0ocsuhbyt, cr4c6htcw2jewsvboj6s8p045, b3gobhr43y8oxpafvp4f8rgmh, 8u46wgn2upd99tmmchxuw1gbt, ctq9si3nbc6n8cznhlcvtixd6, 7tnuxlg9l4rjhc7j3ko36hduy, 2u6hj8z2g0r7b5roxpluy4sbu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526432837,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-01T13:00:15.720Z,2023-04-01T13:00:16Z,4152005649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152005645,194,b1el7j39v2pgvl9zodd9usded,4152005641,130,8,4152005647,197,4968,4152005643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152005637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152005635,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, f0drogjsrwqv3hyjxuqcnk8vd, 46jsa691lantlbcfqm1rtnlcl, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, zo32khapaj950oma9gipptxx, dkwkmrmpb7rq4e660efcu5hat, cdrzpuj49ploquvdolgh5c3bp, 6cbixj2kogb7ibypc15x6crxm",4152005639,59,"17, 2, 33, 26, 31, 13, 14, 6, 30, 18, 11, 1, 4, 5, 8, 10, 12, 21, 28, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484601,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-01T14:00:09.935Z,2023-04-01T14:00:13Z,4152272679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484589,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2023-04-01T14:00:09.935Z,2023-04-01T20:17:14Z,4152272649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484623,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,49.8,50.4,2023-04-01T14:00:09.985Z,2023-04-01T21:16:10Z,4152272783,141,32.8,4152272787,213,3.8,4152272781,140,34.1,4154948153,178,,4152272789,279,S,4152272785,212,20.4,4152272779,56,Back,,,,2u0613a3yx2fk1pefmb722rbp,J. Rothwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484685,4,1,1,0,3,1pse9ta7a45pi2w2grjim70ge,0,38.8,33.7,2023-04-01T14:00:13.665Z,2023-04-01T21:16:13Z,4152273071,141,18.1,4152273077,1,,4152273073,212,42.1,4152273075,213,6.0,4152273067,56,Right,4154948317,178,,4152273069,140,77.6,4152273065,155,,e6la6wx7o6x7k4srpq8tdsafp,J. Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484701,3,44,1,0,6,hzqh7z0mdl3v7gwete66syxp,1,21,82.4,2023-04-01T14:00:16.411Z,2023-04-01T22:21:29Z,4152273119,285,,4152273117,56,Back,4152273173,233,5,,,,,,,,,,,,,,,,bgc1psqiv7vagmphfl920nbah,A. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484691,5,44,1,0,6,1pse9ta7a45pi2w2grjim70ge,0,79,17.6,2023-04-01T14:00:16.412Z,2023-04-01T21:16:17Z,4152273095,56,Right,4152273197,233,3,4152273097,286,,,,,,,,,,,,,,,,,dg4782hj9xdqg46w225kzph5g,D. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484721,4,61,1,0,6,hzqh7z0mdl3v7gwete66syxp,1,19.7,83,2023-04-01T14:00:16.486Z,2023-04-01T22:21:29Z,4154948615,178,,4152273253,56,Back,,,,,,,,,,,,,,,,,,,bgc1psqiv7vagmphfl920nbah,A. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484731,5,12,1,0,9,hzqh7z0mdl3v7gwete66syxp,1,12.4,76.6,2023-04-01T14:00:18.936Z,2023-04-01T21:16:25Z,4152273337,167,,4154948807,178,,4152273319,213,0.9,4152273315,141,100.0,4152273311,56,Back,4152273317,212,21.2,4152273313,140,24.7,,,,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
