id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/15/value,qualifier/16/value,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2496931011,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-01-13T19:00:10.701Z,2023-01-13T20:00:55Z,3975562903,197,16497,3975562893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975562901,194,6clj9dk6hdeaomo6yi7vcsv6d,3975562891,30,"8szyip8c62bier901hmpqc7vt, 983mn5yig2f4upkq9e97hx87p, b275i2lg3anqae5lv9gmrzmqx, 7dbzcwyph2xoljyhaogjo7mcp, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 6kih58n0fzlod6c792xpey57t, 4r6jcuotjs6rz8iwu20996z85, 4hmivvhmplqof776e9tbqg251, 8rrcscn29rs1gk8mi1pwpu92i, 9z2j13bl5yh4i1vyofautc9yi, 9rfwfsz5cmckyjripqgtbc7op, 6q6i9x4w4vcdwwmiwq8k6sixh, 9ao7l82r1xd2rjnvv5u6plcr9, crz3aymras7zcc09yf8xhss4q, ax5fuknlz3zc3fcesya61iod1, dn3llv8xjdbbndltfym5ar561, 3ojnucluy7h8fgk2myyo0zx4a, 9r20sl10trs6903jz83hmt6nd, 7oikovl62nfxs6z54dzd85gx5",3975562897,130,8,3975562905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975562895,59,"1, 2, 21, 12, 5, 6, 11, 8, 19, 7, 29, 3, 9, 14, 16, 22, 25, 30, 39, 42",3975562899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496931037,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-01-13T19:00:18.262Z,2023-01-13T20:01:58Z,3975563015,197,397,3975563009,130,2,3975563005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975563011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975563003,30,"3zl1q2gk6tdmzirsyfgm38no5, 7paw998ux29k7hx4t1g0wu85x, e8gz0tmmdh1ql8qrn1ncrvnpx, 7j84ozqdpgupzxevbxemi5tyh, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, 4jyrztlaueae7eg18kuvxa489, blth4klpu88kgh73abpjlgusp, 5m0j33eoa5c8pqlr0tdf7undh, l0qqn9tlgov91p5d1zzdupcl, bhsh1n3qfg8awmctxlh8k7yzt, d394go61g90f1u6bddu1narit, ashza2qkgnak7wb3vuz5bnzyt, 3m7wjcmet9b8sc5tu0ct8j0et, 172klpuv2h1enskc8fz79xg45, bq2q90k6q53nlf53et7j46cid, 1tbc8iokapjgu8zjrc1knq28l, 3vxh219sef8mooilemi8xbs9h, 4myy5br8yj5678xlji3up1ryt, 151vo7ms9f3deyldabwvbo844",3975563017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975563007,59,"1, 18, 27, 6, 4, 5, 31, 44, 11, 10, 41, 8, 9, 15, 16, 19, 20, 23, 25, 72",3975563013,194,3zl1q2gk6tdmzirsyfgm38no5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953113,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-01-13T20:00:38.736Z,2023-01-13T20:00:39Z,3975678689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953115,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-01-13T20:00:38.736Z,2023-01-14T11:50:39Z,3975678711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953137,3,1,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,50.2,50.6,2023-01-13T20:00:38.819Z,2023-01-14T04:00:37Z,3975678847,279,S,3975678841,141,54.2,3975678845,213,3.0,3975678839,140,30.7,3975678843,212,20.6,3975678837,56,Back,3976086531,178,,,,,4hmivvhmplqof776e9tbqg251,Rodrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953155,4,1,1,0,2,48gk2hpqtsl6p9sx9kjhaydq4,0,30.9,52.8,2023-01-13T20:00:41.340Z,2023-01-14T04:00:40Z,3975678933,140,74.6,3975678931,56,Right,3976086549,178,,3975678937,212,53.7,3975678941,1,,3975678929,155,,3975678935,141,11.9,3975678939,213,5.7,6clj9dk6hdeaomo6yi7vcsv6d,L. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953153,3,49,1,0,5,b496gs285it6bheuikox6z9mj,1,24.3,90.9,2023-01-13T20:00:44.316Z,2023-01-14T04:00:43Z,,,,,,,,,,,,,,,,,,,,,,,,,e8gz0tmmdh1ql8qrn1ncrvnpx,L. Digne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953175,4,1,1,0,5,b496gs285it6bheuikox6z9mj,1,24.3,90.9,2023-01-13T20:00:44.331Z,2023-01-14T04:00:46Z,3975679091,213,4.1,3975679083,56,Back,3976086599,178,,3975679085,140,18.6,3975679089,212,10.6,3975679087,141,78.0,,,,,,,e8gz0tmmdh1ql8qrn1ncrvnpx,L. Digne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953181,5,1,1,0,7,b496gs285it6bheuikox6z9mj,0,18.6,78,2023-01-13T20:00:46.263Z,2023-01-14T04:00:53Z,3975679181,286,,3975679121,141,79.8,3975679117,56,Back,3975679175,236,,3975679177,233,5,3975679115,157,,3975679127,1,,3976086645,178,,2smmv9hdoiet7necaf00ol51x,T. Mings,3975679123,212,2.2,3975679125,213,0.6,3975679119,140,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953173,5,74,1,0,7,48gk2hpqtsl6p9sx9kjhaydq4,1,75.8,17.3,2023-01-13T20:00:46.307Z,2023-01-14T04:00:56Z,3975679077,56,Right,3975679079,285,,3976086653,178,,3975679211,233,5,,,,,,,,,,,,,4hmivvhmplqof776e9tbqg251,Rodrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
