id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/17/value
2455835191,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-09-04T14:30:16.007Z,2022-09-04T14:30:16Z,3758055747,59,"1, 20, 12, 14, 19, 6, 21, 39, 10, 8, 25, 31, 2, 5, 7, 17, 18, 22, 23, 36",3758055749,130,8,3758055755,197,418,3758055751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758055753,194,3vtjjrqof5z2tjj84ehadqc45,3758055743,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, bl8667xvrhy0tft8x3lgopomh, awda32rw2clw0sjemf7rkcel1, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 9fvo9v5e9r0ptibied6ejv3zd, 604osk9a3lxpfpkavuziqmn6x, 3vtjjrqof5z2tjj84ehadqc45, cv8egyrq9dlfgeamk6b7fdgq1, 7w4l5mrrrg66wvdd8ndb5zb9x, a3ms8havadt1y9x381l325txx, 1vz038uyzmq8saskeeo0qhm8l, h17s3qts1dz1zqjw19jazzkl, dubi41xs74u89icfnn80vxx3p, 6nb8hub5usi3iasywa2fjf1lh, 84hisj17nuwx4scnizuxap239, 7uxt9a7t22ij4reg1uire5uqd, 5wengf05apke7rv3kms186j56",3758055745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758055757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455835239,1,34,16,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2022-09-04T14:30:20.892Z,2022-11-17T16:45:13Z,3758056099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758056109,197,15722,3758056111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758056107,194,b1lcxeihx8z6pfv1jef4j5jh1,3758056097,30,"6yovfcug6e9hykfauqy0fq67d, cnmlhoum9aahwqruxgmz2gcfd, 3l7amac6wdv9yztupg7ur3kl, 375gnysvjk9bvq02ex1lkmynd, 65rqu55qbzswixgqw2efna06i, 8libvn3hxypz8x7gm4mr7kj55, b1lcxeihx8z6pfv1jef4j5jh1, 6264xjr1y00yu7b9j2pknalzp, d66tmyj9pt69gub8pcjgo3bh1, 8tc7dcuwdeqbjgt7vw5p38xgq, 7ocm7nugzwos59il1pm4eub8q, 8i5ee4fmkqhl1rcuo31qomxud, 4ali7e2nk26rfzr0660xdrx0p, 2im16cd31tgg3yac3c8c18jbp, 57gg79gxvcfqtaoi0ruog7wmh, zo32khapaj950oma9gipptxx, 2922aevmtpw4qvcwohmxmqtbd, 4qrvwap878sl5dz5n3o8mr71m, 98hc25d8y4c7o985f3li1y7ai, hwcrfg4h2ystqbd11qlmj015",3758056101,59,"1, 4, 35, 23, 12, 6, 8, 34, 9, 7, 11, 3, 10, 14, 16, 17, 18, 21, 27, 30",3758056103,130,4,3758056105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875323,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-09-04T15:30:17.993Z,2022-09-06T14:37:56Z,3758267475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875313,2,32,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2022-09-04T15:30:17.993Z,2022-09-04T15:30:18Z,3758267451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875333,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,49.6,50.1,2022-09-04T15:30:18.073Z,2022-09-05T00:37:35Z,3758267547,141,55.0,3758267549,212,19.3,3758267551,213,3.0,3758267553,279,S,3759855689,178,,3758267543,56,Back,3758267545,140,31.5,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875385,4,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,35.1,57,2022-09-04T15:30:21.621Z,2022-09-05T00:37:35Z,3758267805,213,5.7,3759855693,178,,3758267801,141,22.2,3758267803,212,42.5,3758267795,155,,3758267807,1,,3758267797,56,Center,3758267799,140,68.7,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875389,5,1,1,0,5,6eqit8ye8aomdsrrq0hk3v7gh,0,68.2,22.2,2022-09-04T15:30:23.606Z,2022-09-05T00:37:36Z,3758267823,213,1.6,3758267821,212,7.1,3759855697,178,,3758267815,56,Center,3758267819,141,32.7,3758267817,140,67.9,,,,,,,v22q59d00b5v78rgx7v8z3vu,Antony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875393,3,49,1,0,7,4dsgumo7d4zupm2ugsvm4zm4d,1,27.8,66.2,2022-09-04T15:30:25.274Z,2022-09-05T00:37:37Z,,,,,,,,,,,,,,,,,,,,,,,,,375gnysvjk9bvq02ex1lkmynd,A. Lokonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875413,4,1,1,0,7,4dsgumo7d4zupm2ugsvm4zm4d,0,27.1,69.9,2022-09-04T15:30:25.298Z,2022-09-05T00:37:42Z,3758267957,212,21.7,3758267959,213,1.3,3758267953,140,32.3,3758267951,56,Back,3759855833,178,,3758267955,141,100.0,,,,,,,375gnysvjk9bvq02ex1lkmynd,A. Lokonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455875421,5,5,1,0,9,4dsgumo7d4zupm2ugsvm4zm4d,0,31.8,101.1,2022-09-04T15:30:27.933Z,2022-09-05T00:37:44Z,3758268323,233,6,3758267991,56,Back,3758267993,347,,,,,,,,,,,,,,,,,375gnysvjk9bvq02ex1lkmynd,A. Lokonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
