id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2479552211,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-30T15:15:11.571Z,2022-10-30T15:30:07Z,3884083275,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, 7uxt9a7t22ij4reg1uire5uqd, awda32rw2clw0sjemf7rkcel1, 1vz038uyzmq8saskeeo0qhm8l, b17tkj4ea4jld8yupekcolall, 5wengf05apke7rv3kms186j56, 6nb8hub5usi3iasywa2fjf1lh, h17s3qts1dz1zqjw19jazzkl, 3vtjjrqof5z2tjj84ehadqc45, 604osk9a3lxpfpkavuziqmn6x, bl8667xvrhy0tft8x3lgopomh, dubi41xs74u89icfnn80vxx3p, cv8egyrq9dlfgeamk6b7fdgq1, 6oq2axbijb2qrhw86l7erxmcq, 7w4l5mrrrg66wvdd8ndb5zb9x, 6gruusc463fdln5uz1uzhne8l, 9fvo9v5e9r0ptibied6ejv3zd, e5eiuko5p1yms97xndrvcr0bu, 9ko5fv7udjofbnm940nph6nd",3884083291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884083285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884083279,59,"1, 20, 23, 14, 5, 6, 36, 18, 7, 8, 10, 12, 17, 25, 28, 31, 34, 39, 49, 30",3884083277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3884083283,130,8,3884083289,197,418,3884083287,194,1vz038uyzmq8saskeeo0qhm8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479552303,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-30T15:15:16.140Z,2022-10-30T15:15:16Z,3884083775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3884083781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884083791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884083777,59,"1, 24, 3, 41, 15, 4, 20, 28, 7, 12, 22, 2, 5, 8, 9, 10, 13, 21, 32, 33",3884083773,30,"eagrmpe9ft8daly57l1ja8lhx, cm0gwoyh5rdb216fx685a7l5h, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 2unorlgh6lxy19g0pgydg65ed, 9qdm0nxg1g046olii48z3crf9, d542ijpf3j9hdrtt1mfe6vwlx, 6wwagkprtmcadu8p6klcu2uhh, 4ml8pyt3rxwxakjxslg0c8kb9, 44zyk38a8ffdjr5bmj355bt2h, exviw7gzg5p3vaiwaq4ujw9ud, 6gq38x5xbyz0moa1sk0aw082x, 4ryipy52oscxkv71ws0os5w5, 6aix9yu384pv1caanqiol231l, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 9eaevg9okpy4gcm6yofg7vbv9, bmk0efhzrno1sgr3g8yijoa8l, c9fm58xo515iedprum1zmnp49, 8qezzr83ofw7htqufohg2fwlx",3884083779,130,8,3884083787,194,6jgocc12bori2wygyu07c082x,3884083789,197,16625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623795,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-30T16:15:14.437Z,2022-10-30T21:46:46Z,3884471731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623711,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-30T16:15:14.437Z,2022-10-30T16:15:14Z,3884471317,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623791,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,50.2,50,2022-10-30T16:15:14.455Z,2022-10-30T22:19:27Z,3884471705,56,Back,3884471715,279,S,3884471711,212,27.4,3884471707,140,28.0,3884471709,141,28.9,3884471713,213,3.7,3885699337,178,,,,,44zyk38a8ffdjr5bmj355bt2h,F. Downes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623851,4,1,1,0,3,4txjdaqveermfryvbfrr4taf7,0,28,28.9,2022-10-30T16:15:18.031Z,2022-10-30T22:19:41Z,3884472041,140,97.0,3884472045,212,72.7,3884472039,56,Right,3885699797,178,,3884472037,155,,3884472047,213,6.2,3884472049,1,,3884472043,141,19.3,2unorlgh6lxy19g0pgydg65ed,C. Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623887,3,12,1,0,9,6eqit8ye8aomdsrrq0hk3v7gh,1,4,81.5,2022-10-30T16:15:23.578Z,2022-10-30T22:19:51Z,3885700151,388,,3884472261,212,13.3,3884472285,15,,3884472257,140,3.9,3884472259,141,100.0,3884472263,213,1.6,3884472369,167,,3884472255,56,Back,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623903,4,5,1,0,12,6eqit8ye8aomdsrrq0hk3v7gh,0,3.4,101.4,2022-10-30T16:15:26.782Z,2022-10-30T22:19:58Z,3884472347,56,Back,3884472349,347,,3884472513,233,5,,,,,,,,,,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479623921,5,5,1,0,12,4txjdaqveermfryvbfrr4taf7,1,96.6,-1.4,2022-10-30T16:15:26.782Z,2022-10-30T22:19:57Z,3884472457,56,Right,3884472485,233,4,3884472463,347,,,,,,,,,,,,,,,,,2unorlgh6lxy19g0pgydg65ed,C. Dawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479624237,6,1,1,0,32,4txjdaqveermfryvbfrr4taf7,0,91.1,0,2022-10-30T16:15:46.776Z,2022-10-30T22:20:03Z,3884474175,107,,3884474191,212,24.5,3884474197,1,,3884474179,56,Center,3884474193,213,1.5,3884474183,140,93.3,3884474187,141,34.6,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
