id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2478657367,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-10-29T13:00:01.768Z,2022-10-30T15:12:50Z,3879326035,30,"8jw1c54yfsk2m13uyl5yi5hm2, 6tckvu2rw7ns18dq7dim0sout, 67qku7vyvbw76086eu05nowd1, 2r1u01vlym0nwcwx86bwbuusq, 6gymgqxnu2zavuxgp6amm3zkl, 4042kk7ylrs378rh26b7mh42x, 7r6vds5j65fohi1k28cnqjqvp, axnmil0bg1giwhoa31tks7ljp, 59ujnkvl7rlffomi2bqpsmbpx, 37bmb84zex63yoipqwj01bcgl, 6xdgasd4dvfgg4n23jw38473d, d3p7p18i2ybzlwz5p5gjdd239, dzsd79k6345s9105mb2r4fqol, dusjrdiyxfadenwx4pjr7catx, 1qcj2upaz0xa98zkc835djo8a, e382powtgetwn8npxf9nqeaga, 67oh9fkwrut68eegfjf5emaui, ebazcy0x20885rn9qx2acoi6s, 2oijcg6e36mwy3ie1num5wclx, 5rn3kpd78ycz48au9ys7ibyp6",3879326037,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326045,194,7r6vds5j65fohi1k28cnqjqvp,3879326047,197,17364,3879326049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326039,59,"31, 24, 15, 22, 6, 4, 8, 17, 10, 7, 27, 1, 3, 9, 18, 19, 23, 28, 32, 61",3879326041,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478657385,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-29T13:00:03.887Z,2022-10-30T15:08:55Z,3879326147,59,"13, 2, 3, 4, 16, 6, 15, 10, 22, 7, 11, 5, 9, 14, 17, 19, 21, 23, 44, 47",3879326145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879326155,197,406,3879326157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879326143,30,"8k88isvd2hwr5e4gn9oxzr2t, 1rz6bw398na1i3t29rop7ikt1, 6dqnwhx0eglxhelidxg0dphm2, 3xthf6r5hvlx8oje4rqcs3it, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, 6ebb2xcovp1tx5nv5yyncb7x1, 4wic6z72nwmhkheme209fcmp5, c9pmcoyzgtgcnlc63cl4283bp, m2c4lckkcr7yilnqxrrsgh2i, 9ikkppq7uewf36gahgz0kzaol, z0btpgav68n4lqoht3ax3845, 9c927a1i8iqblent14xat7aad, djgqihf08sxqh0zt2xe2xzv1l, ezrn62nekq3wpw1qs1yu1ezmd, dbebh5mvzowjrp7h4qvzxvaol, 5frs9u0spep2j3gszu06awo9h, 1j33u4pcdl987f0pm1hpkynai, a7uo47nehqo2irfllck81uqxh, 61cuim74cacfehl7ys7e3dbf8",3879326149,130,4,3879326153,194,3xthf6r5hvlx8oje4rqcs3it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720881,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-10-29T14:00:49.026Z,2022-10-29T14:00:49Z,3879663037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720977,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-29T14:00:49.026Z,2022-10-29T22:12:15Z,3879663487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721199,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,50.2,50.1,2022-10-29T14:00:49.029Z,2022-10-30T00:21:40Z,3879664411,279,S,3879664409,213,3.2,3879664403,140,28.1,3882158405,178,,3879664401,56,Back,3879664405,141,48.2,3879664407,212,23.2,,,,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721251,4,1,1,0,3,d5ydtvt96bv7fq04yqm2w2632,0,27.5,47.2,2022-10-29T14:00:52.534Z,2022-10-30T00:21:45Z,3879664647,141,29.4,3879664655,213,6.1,3879664641,56,Center,3882158601,178,,3879664639,157,,3879664651,212,53.5,3879664643,140,77.1,3879664659,1,,8jw1c54yfsk2m13uyl5yi5hm2,G. Bazunu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721311,3,1,1,0,6,1c8m2ko0wxq1asfkuykurdr0y,0,26.7,74.9,2022-10-29T14:00:55.930Z,2022-10-30T00:21:50Z,3879664987,140,45.1,3879664985,56,Back,3879664993,213,6.1,3879664989,141,71.0,3879664991,212,19.5,3882158721,388,,3879664983,3,,,,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721535,5,1,1,0,9,d5ydtvt96bv7fq04yqm2w2632,1,52.7,32.4,2022-10-29T14:00:58.381Z,2022-10-30T00:21:55Z,3879665785,212,18.0,3879665787,213,1.5,3879665773,56,Center,3879665775,140,54.4,3882158823,388,,3879665781,141,58.8,3879665767,3,,,,,4042kk7ylrs378rh26b7mh42x,Lyanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721537,6,61,1,0,15,d5ydtvt96bv7fq04yqm2w2632,0,72.9,95,2022-10-29T14:01:04.559Z,2022-10-30T00:22:43Z,3879665795,56,Left,3882160345,178,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721557,4,12,1,0,17,1c8m2ko0wxq1asfkuykurdr0y,1,10.8,6.8,2022-10-29T14:01:06.482Z,2022-10-30T00:22:48Z,3879665887,213,5.0,3879665885,212,5.9,3879665879,56,Back,3879665981,167,,3879665881,140,12.5,3882160463,178,,3879665883,141,0.0,,,,1rz6bw398na1i3t29rop7ikt1,J. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721561,5,5,1,0,17,1c8m2ko0wxq1asfkuykurdr0y,0,13.2,-1.5,2022-10-29T14:01:06.956Z,2022-10-30T00:22:54Z,3879665897,56,Back,3879666149,233,7,3879665899,347,,,,,,,,,,,,,,,,,1rz6bw398na1i3t29rop7ikt1,J. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721603,7,5,1,0,17,d5ydtvt96bv7fq04yqm2w2632,1,86.8,101.5,2022-10-29T14:01:06.956Z,2022-10-30T00:22:53Z,3879666107,233,5,3879666087,347,,3879666085,56,Left,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722625,8,1,1,0,48,d5ydtvt96bv7fq04yqm2w2632,0,89.9,100,2022-10-29T14:01:37.827Z,2022-10-30T00:22:59Z,3879670749,140,96.3,3879670753,212,27.0,3879670751,141,62.6,3879670757,1,,3879670755,213,5.0,3879670745,107,,3879670747,56,Center,,,,2r1u01vlym0nwcwx86bwbuusq,M. Salisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722703,6,12,1,0,51,1c8m2ko0wxq1asfkuykurdr0y,1,3.7,43,2022-10-29T14:01:40.039Z,2022-10-30T00:23:05Z,3879671167,141,5.5,3879671163,140,10.6,3879671219,15,,3882160825,388,,3879671171,212,26.5,3879671161,56,Back,3879671173,213,5.0,,,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722821,9,1,1,0,55,d5ydtvt96bv7fq04yqm2w2632,1,90.7,95.1,2022-10-29T14:01:44.126Z,2022-10-30T00:23:15Z,3879671697,213,5.6,3879671695,212,6.6,3882161027,178,,3879671691,140,95.6,3879671689,56,Left,3879671693,141,89.1,,,,,,,2r1u01vlym0nwcwx86bwbuusq,M. Salisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722961,10,1,1,0,57,d5ydtvt96bv7fq04yqm2w2632,0,98.1,92.9,2022-10-29T14:01:46.691Z,2022-10-30T00:23:22Z,3881120821,72,,3881120817,225,,3879672317,213,4.8,3881120819,387,,3879672313,141,52.4,3882161195,178,,3879672311,140,99.4,3879672307,155,,67qku7vyvbw76086eu05nowd1,R. Perraud,3879672315,212,27.6,3879672303,2,3879672309,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722993,7,12,1,0,59,1c8m2ko0wxq1asfkuykurdr0y,1,1,48.7,2022-10-29T14:01:48.612Z,2022-10-30T00:23:46Z,3882161655,178,,3879672445,56,Back,3879672455,213,3.1,3879672553,167,,3879672453,212,1.8,3879672449,140,0.0,3879672451,141,48.7,,,,8k88isvd2hwr5e4gn9oxzr2t,Guaita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723001,8,6,1,0,59,1c8m2ko0wxq1asfkuykurdr0y,0,0,49.2,2022-10-29T14:01:48.944Z,2022-10-30T00:23:56Z,3879672661,233,11,3879672487,56,Back,3879672491,73,,,,,,,,,,,,,,,,,8k88isvd2hwr5e4gn9oxzr2t,Guaita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
