id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2530127317,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-04-08T10:30:03.827Z,2023-04-08T10:30:04Z,4171698153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171698159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171698145,30,"e00004wkpfc8jawioejmpu1n9, e1t5rgvs2hwnldts6vn8agzc9, bl8667xvrhy0tft8x3lgopomh, 3vtjjrqof5z2tjj84ehadqc45, 1vz038uyzmq8saskeeo0qhm8l, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 9fvo9v5e9r0ptibied6ejv3zd, 604osk9a3lxpfpkavuziqmn6x, 8cho2d1nz18i5o0zt6aysd68l, cv8egyrq9dlfgeamk6b7fdgq1, a3ms8havadt1y9x381l325txx, 3ikhefktnj44ys7rqjzr5q09h, awda32rw2clw0sjemf7rkcel1, dubi41xs74u89icfnn80vxx3p, 3dph74ixutmbpscaon0b25sl, 3f3jcsa7gk6in9fskp9w5a5t5, 57btqxe5sy3ygzxpp55p4umdx, 6oq2axbijb2qrhw86l7erxmcq, 7yte0egh8y7assst6g0vnn9w5",4171698157,197,418,4171698151,130,8,4171698147,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171698155,194,1vz038uyzmq8saskeeo0qhm8l,4171698149,59,"1, 29, 12, 8, 5, 6, 21, 39, 10, 15, 25, 2, 9, 14, 17, 19, 20, 27, 28, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530127359,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-04-08T10:30:09.144Z,2023-04-08T11:35:42Z,4171698269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171698263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171698257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171698267,197,409,4171698259,59,"1, 23, 22, 27, 5, 2, 17, 8, 50, 11, 7, 3, 4, 13, 15, 19, 20, 26, 30, 37",4171698261,130,2,4171698255,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 8ro3lpzufz8ea9pa2j1jivqad, ceerfv28fygp7m2euv5n5uu39, 6og6s61vrg51rfqxk9cipylzp, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, 4b3axlxopby87f4luevihgwdl, 4n782p6eaok71ai7ecj1jo1jp, 7qgt7sht6py670pt6t4wjhqay, a559ewan4122b6orx6d0f6s16, 4njl5iqybub0cxbhjh2xbft9l, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, 9o1vesnpfiucpoq35ihhpstex, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, ed4w2l6hglrrxu2a75bn0tt5h, 15948izygnu32cu1pw6h5wp9l",4171698265,194,9nq9bocnqq6bu8ho4m26qmkt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152507,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-04-08T11:31:33.473Z,2023-04-08T16:56:52Z,4171816299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152515,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-04-08T11:31:33.473Z,2023-04-08T11:31:36Z,4171816323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152537,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,50.1,50,2023-04-08T11:31:33.515Z,2023-04-08T17:35:52Z,4171816445,279,S,4171816439,141,53.1,4171816437,140,44.5,4171816441,212,6.2,4171816435,56,Back,4171816443,213,2.8,4173303407,178,,,,,8cho2d1nz18i5o0zt6aysd68l,M. Sabitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152551,4,1,1,0,1,6eqit8ye8aomdsrrq0hk3v7gh,1,44.6,51.9,2023-04-08T11:31:35.060Z,2023-04-08T17:35:56Z,4173303763,178,,4171816507,213,4.4,4171816499,56,Back,4171816503,141,15.5,4171816501,140,36.5,4171816505,212,26.2,,,,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152583,5,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,36.3,14.4,2023-04-08T11:31:37.336Z,2023-04-08T17:36:00Z,4171816681,140,47.1,4171816685,212,13.9,4173304031,178,,4171816687,213,5.7,4171816683,141,2.6,4171816679,56,Back,,,,,,,e1t5rgvs2hwnldts6vn8agzc9,A. Wan-Bissaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152607,6,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,45.1,3.2,2023-04-08T11:31:40.263Z,2023-04-08T17:36:06Z,4171816791,140,36.2,4173304569,178,,4171816795,212,9.5,4171816793,141,5.8,4171816789,56,Back,4171816797,213,3.0,,,,,,,v22q59d00b5v78rgx7v8z3vu,Antony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530471227,758,83,1,0,9,ehd2iemqmschhj2ec0vayztzz,1,65.2,92.7,2023-04-08T11:31:42.702Z,2023-04-08T18:08:57Z,4173460715,399,214590,,,,,,,,,,,,,,,,,,,,,,7qgt7sht6py670pt6t4wjhqay,D. McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152629,7,1,1,0,9,6eqit8ye8aomdsrrq0hk3v7gh,0,34,8.6,2023-04-08T11:31:42.736Z,2023-04-08T17:36:11Z,4171816921,56,Back,4173305063,178,,4171816923,140,33.7,4171816929,213,1.6,4171816925,141,40.6,4171816927,212,21.8,,,,,,,e1t5rgvs2hwnldts6vn8agzc9,A. Wan-Bissaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
