id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/19/value
2520457825,2,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-15T18:30:10.488Z,2023-03-15T19:30:16Z,4099639623,197,425,4099583895,59,"31, 2, 15, 27, 35, 37, 24, 8, 10, 26, 20, 9, 12, 13, 14, 17, 18, 22, 32, 45",4099583897,130,8,4099583891,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 6xdgasd4dvfgg4n23jw38473d, 1tbc8iokapjgu8zjrc1knq28l, 7zkku0gboniozaks9yx0ous8a, 6tckvu2rw7ns18dq7dim0sout, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 18qxb54ol1s4mtgl7n3224ciy, 448wxnlqhqqf2hcecwut90n6y, dusjrdiyxfadenwx4pjr7catx, 7wh91ajt4v3w9kfdpp5hf5mmt, 6bhm9cfkwxv5ojh49rqv11g45, 45pygbjknhl8zym8wzu5o46ad, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, 2r1u01vlym0nwcwx86bwbuusq, 2oijcg6e36mwy3ie1num5wclx, dgjl6ks0r7lbh09fe8cuwj7ro",4099583893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4099583903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4099583899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4099583901,194,7r6vds5j65fohi1k28cnqjqvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520457835,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-03-15T18:30:14.192Z,2023-03-15T20:47:23Z,4099583983,194,8ju1opnca42o8i00wq3onzmqd,4099583989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4099583975,130,4,4099583969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4099583971,59,"1, 2, 3, 6, 5, 16, 8, 27, 17, 19, 9, 10, 11, 13, 14, 15, 18, 24, 26, 34",4099583985,197,16601,4099583965,30,"4iijb6llnz28unsz4rirr3umt, 9xfrrmf19uv4i69ge0kg1hh7u, 2nzefp5pwvldt2ttmxfeakamt, 8ju1opnca42o8i00wq3onzmqd, d9a62lhx21b0ym73rxd6mw8h5, 66939rcic8zhw13nlcniiq4t1, dtol82tjlq48bs0s70sisguz9, 9k8gysrsy1a261nhcszo4aoyx, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, 1h3mduwlaf89ebwtqxuegsodm, bs7iyv9ys61m88qh4rvb0tpzp, bxjc2heo4ve54cyvw98qcck45, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, 34b0oqo4725okjxxngin9piw9, 4j6a6qec8m58zgojpbv8wxnf9, ek0k9s7axizns3vtzyy3z5nu, 84xefpsrml48n7czpnruzxkru, 6o4pt3ffe9ogxcbdv694sr5uy",4099583979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469005,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-03-15T19:30:28.450Z,2023-03-15T19:30:28Z,4099639821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469009,3,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-15T19:30:28.450Z,2023-03-16T02:57:53Z,4099639841,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469033,3,1,1,0,0,7yx5dqhhphyvfisohikodajhv,1,50.2,50.5,2023-03-15T19:30:28.470Z,2023-03-16T03:10:00Z,4099639973,213,3.1,4099639971,212,17.4,4099639967,140,33.6,4099639965,56,Back,4100301319,178,,4099639975,279,S,4099639969,141,51.1,,,,8ju1opnca42o8i00wq3onzmqd,C. Nørgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469067,4,1,1,0,2,7yx5dqhhphyvfisohikodajhv,1,33.8,50.9,2023-03-15T19:30:31.276Z,2023-03-16T03:10:03Z,4099640135,140,74.1,4099640137,141,80.8,4100301339,178,,4099640141,213,0.4,4099640143,1,,4099640139,212,46.9,4099640133,56,Left,4099640131,155,,dtol82tjlq48bs0s70sisguz9,M. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469069,5,44,1,0,5,7yx5dqhhphyvfisohikodajhv,1,76.4,84.2,2023-03-15T19:30:34.006Z,2023-03-16T04:01:27Z,4099640181,233,4,4099640153,286,,4099640151,56,Left,,,,,,,,,,,,,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469049,4,44,1,0,5,d5ydtvt96bv7fq04yqm2w2632,0,23.6,15.8,2023-03-15T19:30:34.007Z,2023-03-16T03:10:07Z,4099640069,285,,4099640213,233,5,4099640067,56,Back,,,,,,,,,,,,,,,,2uiza5b6fbum38chxtvmnkzqh,K. Walker-Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469089,6,1,1,0,5,7yx5dqhhphyvfisohikodajhv,0,74.1,80.8,2023-03-15T19:30:34.092Z,2023-03-16T04:01:27Z,4099640235,140,80.2,4099640237,141,68.0,4099640239,212,10.8,4099640241,213,5.3,4099640231,3,,4100301523,388,,4099640233,56,Center,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520469079,5,1,1,0,7,d5ydtvt96bv7fq04yqm2w2632,1,17.8,33,2023-03-15T19:30:36.116Z,2023-03-16T03:10:41Z,4099640197,56,Back,4099640195,3,,4100301563,178,,4099640205,213,5.7,4099640199,140,31.1,4099640203,212,16.7,4099640201,141,19.6,,,,1tbc8iokapjgu8zjrc1knq28l,J. Bednarek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
