id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value
2509300793,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-02-18T16:30:04.105Z,2023-02-18T17:31:10Z,4040558529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040558533,197,4975,4040558535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040558521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040558525,59,"1, 66, 26, 3, 2, 4, 14, 43, 18, 11, 27, 7, 8, 9, 19, 20, 21, 32, 47, 62",4040558531,194,25yu90pekqr1lhs098f3uxy39,4040558517,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 7mms3tmwizhtvzakotl4hv0et, 29dp5gmu5xbd04mozwxq5tjh1, dxze3b3fsfl814bjcs7q6wcet, 25yu90pekqr1lhs098f3uxy39, aqjq5mpg6qgnaf1exel9usjys, 9psfk94nduz6icnuwty5v9all, 5ilkkfbsss0bxd6ttdlqg0uz9, 5e300bc3sbmy6iqpvmic34qju, 3xqbru6q5dvtrhv6coe7retp1, 6onkmsi77t7bvk9tpha472vv9, 6b9erfx1rf9nff83300tntadx, dz2rfsmhib89jwilpuub10qcq, bz2p1aiij462e1emd7sh5psd1, 3kwkd3b95n8qzqtq4idxav45x, kvchpptoxgvcyiv358w9gtzp, 8ckml3ywxcyv3w7978rki88vd, dpw4s6nbkfcrjlqxxgf9j5yhh",4040558527,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509300865,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-02-18T16:30:07.526Z,2023-02-18T16:30:07Z,4040558945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040558943,130,4,4040558949,197,420,4040558947,194,65z99j774kjnbf7vm0u2q0jit,4040558953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040558939,59,"22, 2, 33, 7, 5, 4, 36, 32, 14, 24, 10, 8, 1, 3, 6, 9, 11, 12, 19, 23",4040558935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040558931,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, c589fk8pfqvbukvtdqu1yhjv9, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, exzca2akgjl00jfd2hzh33h7t, 7x6mnev1ob4u5ffmdsvusb4rt, bijr1ghojrxc61se7ebt72f9x, doctoq9o6be1yap6je75w0vrp, 8mjj0wgufggpc1ai2dk21h90p, 7w4l5mrrrg66wvdd8ndb5zb9x, 6otgu2ezmd171skyysl1ku09h, 7z5ugeh3ejhwa3c8tg7idkpud, 66r7rq9kcoyow46ovmhzrtec5, 8lst9t1pyjhibrxh7xxl3wn9x, 96yg5g3b9o4gqbo2p299h4gdl, 23oysjfutg5xy1f3o9bapnmxh, 37d7oej48pb143o5eilue1hhx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371337,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-02-18T17:30:58.802Z,2023-02-19T00:46:03Z,4040938289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371315,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-02-18T17:30:58.802Z,2023-02-18T17:30:59Z,4040938173,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371343,3,1,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,50.1,50.3,2023-02-18T17:30:58.878Z,2023-02-19T03:30:15Z,4042543541,178,,4040938307,140,27.4,4040938311,212,24.1,4040938315,279,S,4040938309,141,56.0,4040938313,213,3.0,4040938305,56,Back,,,,25yu90pekqr1lhs098f3uxy39,J. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371363,4,1,1,0,3,c8h9bw1l82s06h77xxrelzhur,0,27.8,57.3,2023-02-18T17:31:01.835Z,2023-02-19T03:30:19Z,4040938429,213,0.6,4042543589,178,,4040938431,1,,4040938423,140,72.0,4040938419,155,,4040938425,141,100.0,4040938421,56,Left,4040938427,212,55.1,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371427,3,5,1,0,6,7vn2i2kd35zuetw6b38gw9jsz,1,26.2,-1.1,2023-02-18T17:31:05.704Z,2023-02-19T03:30:24Z,4040938721,233,5,4040938671,347,,4040938669,56,Back,,,,,,,,,,,,,,,,7x6mnev1ob4u5ffmdsvusb4rt,A. Isak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371365,5,5,1,0,6,c8h9bw1l82s06h77xxrelzhur,0,73.8,101.1,2023-02-18T17:31:05.704Z,2023-02-19T03:30:24Z,4040938435,347,,4040938433,56,Left,4040938739,233,3,,,,,,,,,,,,,,,,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371483,4,43,1,0,11,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-02-18T17:31:10.207Z,2023-02-18T17:31:19Z,4040938873,140,25.0,4040938875,141,19.7,4040938871,56,Back,4040938879,213,1.5,4040938877,212,14.6,4040939335,144,1,4040938869,107,0,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509371675,5,1,1,0,28,7vn2i2kd35zuetw6b38gw9jsz,1,24.2,0,2023-02-18T17:31:27.790Z,2023-02-19T03:30:56Z,4040939851,213,1.2,4040939847,141,4.0,4040939849,212,4.1,4040939841,107,,4040939845,140,25.6,4040939843,56,Back,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
