id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2493214975,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-12-26T14:00:28.679Z,2022-12-26T15:06:21Z,3955981083,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 6xdgasd4dvfgg4n23jw38473d, 4042kk7ylrs378rh26b7mh42x, 2r1u01vlym0nwcwx86bwbuusq, e382powtgetwn8npxf9nqeaga, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 6tckvu2rw7ns18dq7dim0sout, 67oh9fkwrut68eegfjf5emaui, dzsd79k6345s9105mb2r4fqol, 6gymgqxnu2zavuxgp6amm3zkl, 37bmb84zex63yoipqwj01bcgl, dusjrdiyxfadenwx4pjr7catx, 6bhm9cfkwxv5ojh49rqv11g45, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, 7zkku0gboniozaks9yx0ous8a, 5c1wh9blcw96fkblothh6drf8",3955981095,197,16652,3955981089,130,8,3955981087,59,"31, 2, 15, 27, 4, 22, 19, 8, 10, 24, 23, 3, 6, 7, 9, 13, 17, 18, 37, 46",3955981091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955981093,194,7r6vds5j65fohi1k28cnqjqvp,3955981085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955981097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493215011,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-12-26T14:00:37.719Z,2022-12-26T15:14:22Z,3955981287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955981277,59,"1, 34, 30, 13, 5, 6, 7, 25, 11, 14, 22, 2, 19, 20, 21, 23, 27, 28, 29, 49",3955981283,194,jagvvzc7329tf2c64mnc251,3955981279,130,8,3955981273,30,"d9yxninyn4bac8f0ufxsnlqll, bh20puvz2w21mnag7ul1g3c9h, 87g6qlasqe627i5g7ir30j2sp, 3k6znit6fd9mbfcnphlwyvj6d, jagvvzc7329tf2c64mnc251, 573hlc6devy50gjotyav9ql4a, 2wwo7wcxz4gfy0ubkzynvrsnp, 3uc9z96xvain84leorf4ls962, 8qwpdf5jof7o6yy47v6iv11hx, f34582vxl4yv5qqudl09a7umt, aititrd343hal6ount0dp5zze, 83jpq8fuprm9h1e2thoxv1tyh, 8ok0giwhuu7ax85ngr8tunpey, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, 31xsuz1icsj7zt1462swjpk2d, 5okl8s3e8ad2add75m46ojo4p, b0dpz0ixcb9hiyurc87z0rotm, 2gj7h5fxuh4y0tbp6j308yk4q, crkiffz2cvig7rpf1llg3mane",3955981281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955981285,197,4956,3955981275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236681,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-12-26T15:01:43.393Z,2022-12-26T23:02:14Z,3956100285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236669,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2022-12-26T15:01:43.393Z,2022-12-26T15:01:43Z,3956100255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236721,3,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,49.9,50,2022-12-26T15:01:43.402Z,2022-12-26T23:23:09Z,3956100481,141,56.1,3956100485,213,2.8,3956100477,56,Back,3957258307,178,,3956100487,279,S,3956100483,212,11.7,3956100479,140,39.5,,,,8qwpdf5jof7o6yy47v6iv11hx,L. Trossard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236743,4,1,1,0,1,e5p0ehyguld7egzhiedpdnc3w,1,39.3,56.1,2022-12-26T15:01:45.083Z,2022-12-26T23:23:14Z,3956100571,213,4.3,3956100565,140,36.7,3957258333,178,,3956100569,212,6.5,3956100563,56,Back,3956100567,141,47.5,,,,,,,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236827,5,1,1,0,3,e5p0ehyguld7egzhiedpdnc3w,1,36.4,46.9,2022-12-26T15:01:46.846Z,2022-12-26T23:23:17Z,3956100905,141,66.4,3956100901,56,Back,3957258345,178,,3956100909,213,2.4,3956100903,140,22.5,3956100907,212,19.7,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236877,6,1,1,0,7,e5p0ehyguld7egzhiedpdnc3w,1,21.8,64,2022-12-26T15:01:50.393Z,2022-12-26T23:23:19Z,3956101127,56,Back,3956101137,213,3.8,3956101129,140,7.8,3956101133,141,46.7,3957258353,178,,3956101135,212,18.8,,,,,,,573hlc6devy50gjotyav9ql4a,L. Colwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236911,7,1,1,0,10,e5p0ehyguld7egzhiedpdnc3w,0,9.4,41.9,2022-12-26T15:01:53.923Z,2022-12-26T23:23:21Z,3957258361,178,,3956101321,140,58.9,3956101325,212,52.1,3956101327,213,6.2,3956101319,56,Center,3956101323,141,36.4,3956101317,157,,3956101329,1,,d9yxninyn4bac8f0ufxsnlqll,Robert Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236957,3,49,1,0,12,d5ydtvt96bv7fq04yqm2w2632,1,41.2,63.9,2022-12-26T15:01:56.245Z,2022-12-26T23:23:24Z,,,,,,,,,,,,,,,,,,,,,,,,,2r1u01vlym0nwcwx86bwbuusq,M. Salisu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
