id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value
2472830367,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-16T12:00:02.825Z,2022-10-16T12:00:03Z,3848527957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848527955,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, 7uxt9a7t22ij4reg1uire5uqd, dubi41xs74u89icfnn80vxx3p, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 6nb8hub5usi3iasywa2fjf1lh, h17s3qts1dz1zqjw19jazzkl, 3vtjjrqof5z2tjj84ehadqc45, cv8egyrq9dlfgeamk6b7fdgq1, a3ms8havadt1y9x381l325txx, 604osk9a3lxpfpkavuziqmn6x, bl8667xvrhy0tft8x3lgopomh, 84hisj17nuwx4scnizuxap239, 6oq2axbijb2qrhw86l7erxmcq, 5wengf05apke7rv3kms186j56, e5eiuko5p1yms97xndrvcr0bu, dmnk8dz6w8n4fcso88fuvusfe, cgm6zre07l5qauif32jtfqsk4",3848527969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848527961,130,8,3848527959,59,"1, 20, 23, 17, 19, 6, 21, 18, 7, 8, 25, 2, 10, 12, 22, 28, 36, 49, 55, 73",3848527967,197,418,3848527965,194,3vtjjrqof5z2tjj84ehadqc45,3848527963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472830429,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-16T12:00:06.662Z,2022-10-16T12:00:06Z,3848528269,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, c589fk8pfqvbukvtdqu1yhjv9, 66r7rq9kcoyow46ovmhzrtec5, bijr1ghojrxc61se7ebt72f9x, 37d7oej48pb143o5eilue1hhx, 7z5ugeh3ejhwa3c8tg7idkpud, b7eoho4q34nfispye73m8b00l, 96yg5g3b9o4gqbo2p299h4gdl, 7g5elxh8h34yj55h9heydhzv9, 7m4pw4plxndt68iq7f3s60cet, cjdycctu96jilvbvnl7ndh9sl, 7gcvzjdbqxe5jw1zn07ie4dsl, 5tbabvk43ljv3z3wd9mh0y8r9, exzca2akgjl00jfd2hzh33h7t",3848528271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848528281,194,65z99j774kjnbf7vm0u2q0jit,3848528279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848528287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848528273,59,"22, 2, 33, 39, 5, 4, 36, 7, 9, 24, 23, 6, 8, 12, 13, 18, 20, 21, 28, 32",3848528277,130,4,3848528283,197,16700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890035,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-16T13:01:23.652Z,2022-10-16T21:56:43Z,3848833033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890055,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-16T13:01:23.652Z,2022-10-16T13:01:26Z,3848833119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890105,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,50,50,2022-10-16T13:01:23.680Z,2022-10-16T23:50:59Z,3848833451,213,3.3,3851274999,178,,3848833455,279,S,3848833429,56,Back,3848833437,141,46.9,3848833433,140,38.6,3848833445,212,12.2,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890143,4,1,1,0,2,6eqit8ye8aomdsrrq0hk3v7gh,1,38.6,46.9,2022-10-16T13:01:26.294Z,2022-10-16T23:51:03Z,3848833589,56,Back,3848833591,140,26.7,3848833593,141,35.6,3848833595,212,14.7,3848833597,213,3.7,3851275115,178,,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890185,5,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,26.4,35.6,2022-10-16T13:01:30.409Z,2022-10-16T23:51:06Z,3848833809,213,2.7,3848833801,56,Back,3851275163,178,,3848833805,141,49.3,3848833807,212,21.0,3848833803,140,8.5,,,,,,,3dph74ixutmbpscaon0b25sl,R. Varane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890255,6,1,1,0,9,6eqit8ye8aomdsrrq0hk3v7gh,1,8.5,49.3,2022-10-16T13:01:32.777Z,2022-10-16T23:51:09Z,3851275219,178,,3848834135,56,Back,3848834143,213,1.9,3848834137,140,4.7,3848834141,212,13.4,3848834139,141,68.1,,,,,,,e00004wkpfc8jawioejmpu1n9,David de Gea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890351,7,1,1,0,11,6eqit8ye8aomdsrrq0hk3v7gh,1,5.2,74.1,2022-10-16T13:01:35.055Z,2022-10-16T23:51:15Z,3848834553,212,17.2,3848834557,213,1.0,3851275373,178,,3848834543,56,Back,3848834547,140,13.7,3848834551,141,95.7,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890357,8,1,1,0,15,6eqit8ye8aomdsrrq0hk3v7gh,1,14.9,93.3,2022-10-16T13:01:39.582Z,2022-10-16T23:51:20Z,3848834567,56,Back,3848834575,213,3.6,3848834573,212,10.8,3848834571,141,86.0,3851275545,178,,3848834569,140,5.8,,,,,,,7uxt9a7t22ij4reg1uire5uqd,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
