id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/16/value,keyPass,assist
2481701817,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-11-05T14:00:38.569Z,2022-11-05T14:00:38Z,3895341677,30,"8szyip8c62bier901hmpqc7vt, dn3llv8xjdbbndltfym5ar561, b275i2lg3anqae5lv9gmrzmqx, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 6kih58n0fzlod6c792xpey57t, 7dbzcwyph2xoljyhaogjo7mcp, 4hmivvhmplqof776e9tbqg251, 8rrcscn29rs1gk8mi1pwpu92i, 7sdbx7mzjxhvofvke9mp26kbu, 983mn5yig2f4upkq9e97hx87p, 9rfwfsz5cmckyjripqgtbc7op, 9trvbmdwo8fkndwjz9mr1bfmx, 9ao7l82r1xd2rjnvv5u6plcr9, 9z2j13bl5yh4i1vyofautc9yi, 3ojnucluy7h8fgk2myyo0zx4a, 7oikovl62nfxs6z54dzd85gx5, 1r5zkfhxkrrgzhd0k0huxtas5, 9d4cokmqyy9vabji5g0ascavo",3895341689,197,4773,3895341691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895341687,194,6clj9dk6hdeaomo6yi7vcsv6d,3895341683,130,8,3895341685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895341681,59,"1, 25, 21, 8, 5, 6, 11, 12, 19, 7, 10, 2, 3, 13, 14, 29, 30, 42, 43, 49",3895341679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481701843,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-11-05T14:00:41.382Z,2022-11-05T15:05:28Z,3895341857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895341867,197,2071,3895341859,59,"1, 2, 15, 4, 6, 25, 29, 8, 9, 21, 16, 3, 10, 14, 17, 19, 22, 32, 33, 45",3895341869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895341865,194,80bmtj7l07ohb2h475w955n9,3895341863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895341855,30,"12l99v9rpet6ug6n121tg6ay1, y51k2gwbs4xmkao0mnaaa76d, 80bmtj7l07ohb2h475w955n9, djelmk2oafas355n2u0d1bumt, bvlkh4zxfuo5frhj7ogpnecbt, 95pzsjfh0wf6isp6qpf9lddyh, 33cny48k38nlo8pcx3i24ldqt, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, efq6i6kz6ca3u91snwmptef2t, b3gobhr43y8oxpafvp4f8rgmh, e6la6wx7o6x7k4srpq8tdsafp, cr4c6htcw2jewsvboj6s8p045, 2u0613a3yx2fk1pefmb722rbp, bzjzvw54k5cmo93wdkjv89knp, 4fsvhj2hcujfwrz0kjo76u1g5, 2ubxzcc4zioelrh0cvxnae4lx, 8cmkqkrjme3wb0gegzn1e6xre, 918sxflcvngsy0xvc9dh3jaei, 4c6r0dil3544i5odctdima162",3895341861,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758735,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-11-05T15:00:50.778Z,2023-02-02T08:20:59Z,3895635833,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758713,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-11-05T15:00:50.778Z,2022-11-05T15:00:51Z,3895635743,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758835,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,50.4,49.9,2022-11-05T15:00:50.794Z,2023-03-16T01:24:51Z,3895636215,56,Back,3895636219,141,47.8,3895636223,213,3.2,3895636225,279,S,3895636221,212,28.7,3895636217,140,23.1,3897765283,178,,,,,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758917,4,1,1,0,3,1pse9ta7a45pi2w2grjim70ge,0,24.2,48.5,2022-11-05T15:00:54.713Z,2022-11-05T23:41:32Z,3895636587,140,67.5,3895636591,212,46.1,3895636589,141,59.8,3895636595,1,,3895636593,213,0.2,3897765297,178,,3895636585,56,Center,3895636583,157,,12l99v9rpet6ug6n121tg6ay1,M. Travers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758995,3,61,1,0,7,48gk2hpqtsl6p9sx9kjhaydq4,0,34,38.4,2022-11-05T15:00:57.947Z,2022-11-05T23:41:32Z,3897765309,178,,3895636905,56,Back,3897765307,21,,,,,,,,,,,,,,,,,4r6jcuotjs6rz8iwu20996z85,Marc Roca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758961,5,1,1,0,8,1pse9ta7a45pi2w2grjim70ge,1,64.5,66.4,2022-11-05T15:00:59.475Z,2022-11-05T23:41:33Z,3897765317,178,,3895636751,56,Center,3895636755,140,65.8,3895636763,212,5.7,3895636765,213,1.3,3895636759,141,74.6,,,,,,,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758979,6,1,1,0,9,1pse9ta7a45pi2w2grjim70ge,0,65.4,74,2022-11-05T15:01:00.172Z,2022-11-05T23:41:33Z,3895636837,56,Center,3897765351,178,,3895636841,141,68.6,3895636845,213,5.7,3895636843,212,6.7,3895636839,140,70.7,,,,,,,b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481759253,7,8,1,0,9,48gk2hpqtsl6p9sx9kjhaydq4,1,32,31.2,2022-11-05T15:01:00.401Z,2022-11-05T23:41:34Z,3897765361,21,,3897765363,178,,3896791743,384,,3895644029,56,Back,,,,,,,,,,,,,7dbzcwyph2xoljyhaogjo7mcp,T. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
