id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2498490843,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-01-18T19:00:06.127Z,2023-01-18T19:55:32Z,3983811103,59,"1, 29, 23, 14, 19, 6, 21, 18, 27, 8, 10, 2, 5, 12, 17, 22, 28, 36, 39, 49",3983811111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983811105,130,8,3983811109,194,3vtjjrqof5z2tjj84ehadqc45,3983811107,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983811101,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3983905089,197,16074,3983811099,30,"e00004wkpfc8jawioejmpu1n9, e1t5rgvs2hwnldts6vn8agzc9, 7uxt9a7t22ij4reg1uire5uqd, awda32rw2clw0sjemf7rkcel1, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 6nb8hub5usi3iasywa2fjf1lh, 57btqxe5sy3ygzxpp55p4umdx, 3vtjjrqof5z2tjj84ehadqc45, 604osk9a3lxpfpkavuziqmn6x, a3ms8havadt1y9x381l325txx, 1vz038uyzmq8saskeeo0qhm8l, bl8667xvrhy0tft8x3lgopomh, dubi41xs74u89icfnn80vxx3p, 84hisj17nuwx4scnizuxap239, 6oq2axbijb2qrhw86l7erxmcq, 5wengf05apke7rv3kms186j56, 9fvo9v5e9r0ptibied6ejv3zd, e5eiuko5p1yms97xndrvcr0bu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498490865,2,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-01-18T19:00:09.892Z,2023-01-18T20:05:59Z,3983811223,59,"13, 17, 3, 19, 26, 6, 7, 28, 14, 22, 11, 2, 4, 5, 9, 10, 15, 21, 44, 77",3983906295,197,406,3983811225,130,8,3983811219,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, dbebh5mvzowjrp7h4qvzxvaol, 5nsag404623qznyyizl8yuwkq, 9ipux4xiejibplsbbhqz8d5gp, m2c4lckkcr7yilnqxrrsgh2i, 19m0uqmf1otcekssb7tbrl1m2, djgqihf08sxqh0zt2xe2xzv1l, c9pmcoyzgtgcnlc63cl4283bp, 9ikkppq7uewf36gahgz0kzaol, 1rz6bw398na1i3t29rop7ikt1, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, 9c927a1i8iqblent14xat7aad, 4wic6z72nwmhkheme209fcmp5, 6ebb2xcovp1tx5nv5yyncb7x1, 5frs9u0spep2j3gszu06awo9h, a7uo47nehqo2irfllck81uqxh, 710poxssyhhnb3q3vr3hsvdhw",3983811229,194,9ipux4xiejibplsbbhqz8d5gp,3983811231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983811227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983811221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511103,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-01-18T20:01:03.863Z,2023-01-18T20:01:05Z,3983911437,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511111,3,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-01-18T20:01:03.863Z,2023-01-19T03:41:32Z,3983911469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511133,4,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50.1,49.7,2023-01-18T20:01:03.884Z,2023-01-19T03:58:15Z,3983911613,140,27.9,3983911615,141,55.2,3984264803,178,,3983911619,213,3.0,3983911611,56,Back,3983911621,279,S,3983911617,212,23.6,,,,c9pmcoyzgtgcnlc63cl4283bp,O. Édouard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511141,5,1,1,0,2,1c8m2ko0wxq1asfkuykurdr0y,1,27.9,55,2023-01-18T20:01:06.386Z,2023-01-19T03:58:19Z,3983911679,56,Back,3983911681,140,29.1,3983911687,213,4.8,3983911685,212,16.1,3984264807,178,,3983911683,141,31.4,,,,,,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511157,6,1,1,0,4,1c8m2ko0wxq1asfkuykurdr0y,1,30.3,30.4,2023-01-18T20:01:08.552Z,2023-01-19T03:58:28Z,3983911761,155,,3983911779,213,6.3,3983911769,141,29.4,3984264841,178,,3983911765,140,62.0,3983911773,212,33.3,3983911783,1,,3983911763,56,Center,5nsag404623qznyyizl8yuwkq,C. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511161,7,44,1,0,7,1c8m2ko0wxq1asfkuykurdr0y,1,63.6,34.2,2023-01-18T20:01:10.894Z,2023-01-19T07:02:18Z,3983911791,286,,3983922659,233,3,3983911789,56,Center,,,,,,,,,,,,,,,,c9pmcoyzgtgcnlc63cl4283bp,O. Édouard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511153,3,44,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,0,36.4,65.8,2023-01-18T20:01:10.895Z,2023-01-19T03:58:31Z,3983922675,233,7,3983911747,56,Back,3983911749,285,,,,,,,,,,,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511169,8,1,1,0,7,1c8m2ko0wxq1asfkuykurdr0y,0,62,29.4,2023-01-18T20:01:10.962Z,2023-01-19T07:02:19Z,3983911843,212,8.3,3983911835,168,,3984264867,388,,3983911841,141,29.0,3983911837,56,Center,3983911839,140,69.9,3983911845,213,6.3,3983911833,3,,c9pmcoyzgtgcnlc63cl4283bp,O. Édouard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511173,4,1,1,0,7,6eqit8ye8aomdsrrq0hk3v7gh,0,26.8,69,2023-01-18T20:01:11.674Z,2023-01-19T03:58:40Z,3983911855,141,89.3,3983911853,140,46.6,3983911851,56,Back,3983911849,157,,3983911857,212,25.0,3983911859,213,0.6,3984264887,178,,3983911861,1,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511185,9,1,1,0,10,1c8m2ko0wxq1asfkuykurdr0y,0,53.4,10.4,2023-01-18T20:01:14.357Z,2023-01-19T03:58:48Z,3983911933,141,0.0,3983911935,212,17.0,3983911929,56,Right,3984264921,388,,3983911927,3,,3983911931,140,67.6,3983911937,213,5.8,,,,ezrn62nekq3wpw1qs1yu1ezmd,N. Clyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498511207,5,5,1,0,12,6eqit8ye8aomdsrrq0hk3v7gh,1,37.2,101.8,2023-01-18T20:01:15.876Z,2023-01-19T03:58:50Z,3983912039,347,,3983923343,233,10,3983912037,56,Back,,,,,,,,,,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
