id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/14/value,qualifier/9/value,qualifier/15/value,qualifier/17/value
2533567719,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-04-15T13:00:06.157Z,2023-04-15T13:00:06Z,4189956727,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, 29f3jvukalzylzr19t9phgxgq, 5hu4oy1jz8k1c3ajuiueoo2ga, 2unorlgh6lxy19g0pgydg65ed, 2nz313c0ot91untg011l3pc6h, 3trkre1c81pzretsjsi8jk6sq, 8rfgwq7hbi4a3imda845vdyvp, 6s577yqayjceifu1e05f280yd, 9rm3r46uzxlmuqnp0jo4danhm, 4pyehox7p3z64c4l3k8yoyfv9, csinkvzxcphggdjeflmo173zd, 6psklvi66inwws7buzf16yjft, 50y6nq2eok9lnmldevkamkkwl, dl8x6fzdexn8r0sj65vgcgq8l, 5pbnl8ssfcrxf9lfg1pl3vxzp, 9l7ph5603tbb7xwyxpvjg22fp, e83zd56y74k8uecxqyo5xw7v9, 5he3j18ix8tre84r8uls8ytm2, f1lellpt59ka10kyngi7vsqy2",4189956741,194,2nz313c0ot91untg011l3pc6h,4189956745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956737,130,2,4189956743,197,4986,4189956735,59,"1, 22, 24, 35, 15, 23, 27, 5, 29, 12, 21, 4, 7, 10, 11, 25, 28, 37, 59, 64",4189956739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533567753,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-04-15T13:00:10.225Z,2023-04-15T13:58:14Z,4189956893,197,16651,4189956899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956859,30,"4iijb6llnz28unsz4rirr3umt, 9xfrrmf19uv4i69ge0kg1hh7u, 2nzefp5pwvldt2ttmxfeakamt, 8ju1opnca42o8i00wq3onzmqd, d9a62lhx21b0ym73rxd6mw8h5, 66939rcic8zhw13nlcniiq4t1, bs7iyv9ys61m88qh4rvb0tpzp, dtol82tjlq48bs0s70sisguz9, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, 1h3mduwlaf89ebwtqxuegsodm, bxjc2heo4ve54cyvw98qcck45, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, 34b0oqo4725okjxxngin9piw9, ebzt12h6z4a9mok0rohagmzf9, ek0k9s7axizns3vtzyy3z5nu, 84xefpsrml48n7czpnruzxkru, 9k8gysrsy1a261nhcszo4aoyx, 68n1ydedtlw2s6toghw9qiprd",4189956865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189956873,59,"1, 2, 3, 6, 5, 16, 10, 8, 17, 19, 9, 11, 13, 14, 15, 22, 24, 26, 27, 30",4189956887,194,8ju1opnca42o8i00wq3onzmqd,4189956877,130,4,4189956881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626869,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-04-15T14:00:15.993Z,2023-04-15T14:00:16Z,4190263093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626907,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-04-15T14:00:15.993Z,2023-04-15T20:16:45Z,4190263293,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626931,3,1,1,0,0,7yx5dqhhphyvfisohikodajhv,1,49.8,49.9,2023-04-15T14:00:15.994Z,2023-04-15T20:21:21Z,4190263423,279,S,4190263425,278,,4192570115,178,,4190263421,213,2.3,4190263419,212,6.0,4190263415,140,46.1,4190263417,141,56.6,4190263413,56,Back,8ju1opnca42o8i00wq3onzmqd,C. Nørgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533626985,4,1,1,0,0,7yx5dqhhphyvfisohikodajhv,1,46.1,56.6,2023-04-15T14:00:16.956Z,2023-04-15T20:21:25Z,4190263691,213,5.6,4190263693,1,,4190263685,140,80.8,4190263687,141,9.1,4192570403,178,,4190263689,212,48.7,4190263681,155,,4190263683,56,Right,dtol82tjlq48bs0s70sisguz9,M. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627035,5,1,1,0,6,7yx5dqhhphyvfisohikodajhv,1,80.8,9.7,2023-04-15T14:00:22.599Z,2023-04-15T20:21:28Z,4192570715,178,,4190263943,140,67.5,4190263947,212,14.1,4190263945,141,6.8,4190263949,213,3.3,4190263941,56,Right,,,,,,,v78uhwxgzojcec8lsdvucusp,B. Mbeumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627075,6,1,1,0,9,7yx5dqhhphyvfisohikodajhv,1,66.7,6.7,2023-04-15T14:00:25.118Z,2023-04-15T20:21:31Z,4190264117,213,1.9,4190264115,212,11.0,4192570935,178,,4190264111,140,62.9,4190264103,56,Center,4190264113,141,21.7,,,,,,,9xfrrmf19uv4i69ge0kg1hh7u,A. Hickey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627183,7,1,1,0,11,7yx5dqhhphyvfisohikodajhv,0,71.2,31.3,2023-04-15T14:00:27.337Z,2023-04-15T20:21:33Z,4192571093,178,,4190264573,196,,4190264583,213,1.1,4190264575,56,Left,4190264585,1,,4190264577,140,91.9,4190264581,212,48.9,4190264579,141,95.7,8ju1opnca42o8i00wq3onzmqd,C. Nørgaard,4190264571,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627177,3,49,1,0,16,b9si1jn1lfxfund69e9ogcu2n,1,7.2,4.9,2023-04-15T14:00:32.489Z,2023-04-15T20:21:39Z,,,,,,,,,,,,,,,,,,,,,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
