id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,assist
2494311901,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-12-31T11:30:13.540Z,2022-12-31T15:24:23Z,3961805609,197,4986,3961802073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961802081,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3961802075,59,"1, 22, 64, 27, 4, 23, 11, 8, 29, 28, 10, 3, 6, 9, 13, 17, 19, 24, 37, 59",3961802079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961802077,130,8,3961802071,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 3trkre1c81pzretsjsi8jk6sq, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, dl8x6fzdexn8r0sj65vgcgq8l, 8kw1y8mzxtwl4fv8qkc8hoc7p, 6s577yqayjceifu1e05f280yd, 9l7ph5603tbb7xwyxpvjg22fp, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, 5v5jv44a8y2n7p1tb8jsxt2ei, 5wa8lzp50ccfhxg3j4f65gt79, ee0c6prj79s48erjp7bgbr3dh, 7pmigpf4yfi6dfih8e1ogdwb9, 7wzwqegxhekjwq361dd2nidp1, 29f3jvukalzylzr19t9phgxgq, e83zd56y74k8uecxqyo5xw7v9, 5he3j18ix8tre84r8uls8ytm2",3961802083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494311911,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-12-31T11:30:17.319Z,2022-12-31T11:37:00Z,3961802117,194,3vtjjrqof5z2tjj84ehadqc45,3961802111,130,8,3961802107,59,"1, 29, 12, 18, 19, 23, 21, 14, 9, 8, 49, 2, 5, 10, 17, 22, 33, 34, 36, 73",3961802119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961802105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961802103,30,"e00004wkpfc8jawioejmpu1n9, e1t5rgvs2hwnldts6vn8agzc9, bl8667xvrhy0tft8x3lgopomh, 6nb8hub5usi3iasywa2fjf1lh, 3dph74ixutmbpscaon0b25sl, 7uxt9a7t22ij4reg1uire5uqd, v22q59d00b5v78rgx7v8z3vu, awda32rw2clw0sjemf7rkcel1, 3ikhefktnj44ys7rqjzr5q09h, 3vtjjrqof5z2tjj84ehadqc45, e5eiuko5p1yms97xndrvcr0bu, a3ms8havadt1y9x381l325txx, 1vz038uyzmq8saskeeo0qhm8l, 604osk9a3lxpfpkavuziqmn6x, dubi41xs74u89icfnn80vxx3p, 84hisj17nuwx4scnizuxap239, 6q0c4aylpwtjwb0fonmlyjaax, 6gruusc463fdln5uz1uzhne8l, 5wengf05apke7rv3kms186j56, cgm6zre07l5qauif32jtfqsk4",3961802115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961805715,197,16074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320303,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-12-31T12:31:10.705Z,2022-12-31T19:11:05Z,3961834827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320307,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-12-31T12:31:10.705Z,2022-12-31T12:31:11Z,3961834829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320313,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,50,50,2022-12-31T12:31:10.714Z,2022-12-31T21:20:44Z,3961834851,212,15.4,3962234725,178,,3961834845,56,Back,3961834855,279,S,3961834849,141,51.5,3961834853,213,3.1,3961834847,140,35.4,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320319,4,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,34.2,53.1,2022-12-31T12:31:11.527Z,2022-12-31T21:21:06Z,3961834891,212,7.2,3961834887,140,36.2,3961834889,141,63.3,3961834893,213,1.3,3962234759,178,,3961834885,56,Back,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320321,5,1,1,0,2,6eqit8ye8aomdsrrq0hk3v7gh,1,36.2,63.6,2022-12-31T12:31:12.705Z,2022-12-31T21:24:06Z,3961834901,141,51.5,3962234767,178,,3961834897,56,Back,3961834905,213,4.4,3961834903,212,8.6,3961834899,140,33.8,,,,,,,awda32rw2clw0sjemf7rkcel1,C. Eriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320323,6,1,1,0,2,6eqit8ye8aomdsrrq0hk3v7gh,1,35,53.4,2022-12-31T12:31:13.523Z,2022-12-31T21:24:28Z,3961834923,213,1.5,3961834921,212,8.5,3961834919,141,65.8,3961834917,140,35.6,3961834915,56,Back,3962234783,178,,,,,,,,6nb8hub5usi3iasywa2fjf1lh,Casemiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320337,8,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,37.3,71.1,2022-12-31T12:31:14.299Z,2022-12-31T21:24:54Z,3961834993,213,2.8,3962235003,178,,3961834985,56,Back,3961834989,141,76.9,3961834991,212,10.4,3961834987,140,28.1,,,,,,,awda32rw2clw0sjemf7rkcel1,C. Eriksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320329,7,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,29.6,66.6,2022-12-31T12:31:17.138Z,2022-12-31T20:13:27Z,3961834955,141,73.2,3961834953,140,38.9,3961834951,56,Back,3961834957,212,10.7,3961834959,213,0.4,3962234993,178,,,,,,,,7uxt9a7t22ij4reg1uire5uqd,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
