id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,assist,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2469578239,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-10-09T12:00:12.512Z,2022-10-09T12:00:12Z,3831236905,30,"8szyip8c62bier901hmpqc7vt, dn3llv8xjdbbndltfym5ar561, b275i2lg3anqae5lv9gmrzmqx, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 8rrcscn29rs1gk8mi1pwpu92i, 7dbzcwyph2xoljyhaogjo7mcp, 6q6i9x4w4vcdwwmiwq8k6sixh, 4hmivvhmplqof776e9tbqg251, 6kih58n0fzlod6c792xpey57t, 983mn5yig2f4upkq9e97hx87p, 7sdbx7mzjxhvofvke9mp26kbu, 9trvbmdwo8fkndwjz9mr1bfmx, 9ao7l82r1xd2rjnvv5u6plcr9, a7k01exbkdcshdjzq049ywkq, 9z2j13bl5yh4i1vyofautc9yi, 3ojnucluy7h8fgk2myyo0zx4a, 7oikovl62nfxs6z54dzd85gx5, 1r5zkfhxkrrgzhd0k0huxtas5",3831236907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831236913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831236915,194,6clj9dk6hdeaomo6yi7vcsv6d,3831236911,130,8,3831236917,197,4773,3831236919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831236909,59,"1, 25, 21, 8, 5, 6, 7, 12, 9, 19, 11, 2, 10, 13, 14, 18, 29, 30, 42, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578249,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-09T12:00:14.057Z,2022-10-09T12:00:14Z,3831236971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831236975,130,4,3831236977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831236973,59,"13, 2, 15, 28, 16, 6, 7, 10, 22, 9, 11, 3, 4, 5, 14, 19, 21, 23, 44, 45",3831236983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831236969,30,"8k88isvd2hwr5e4gn9oxzr2t, 1rz6bw398na1i3t29rop7ikt1, 6ebb2xcovp1tx5nv5yyncb7x1, 19m0uqmf1otcekssb7tbrl1m2, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, m2c4lckkcr7yilnqxrrsgh2i, 4wic6z72nwmhkheme209fcmp5, c9pmcoyzgtgcnlc63cl4283bp, 9c927a1i8iqblent14xat7aad, 9ikkppq7uewf36gahgz0kzaol, 6dqnwhx0eglxhelidxg0dphm2, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, djgqihf08sxqh0zt2xe2xzv1l, dbebh5mvzowjrp7h4qvzxvaol, 5frs9u0spep2j3gszu06awo9h, 1j33u4pcdl987f0pm1hpkynai, a7uo47nehqo2irfllck81uqxh, cuyd2ma98m6iq8e8va1bqlxey",3831236981,197,406,3831236979,194,1rz6bw398na1i3t29rop7ikt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636751,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-09T13:01:11.680Z,2022-10-09T21:00:03Z,3831508843,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636777,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-10-09T13:01:11.680Z,2022-10-09T13:01:13Z,3831508943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636795,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50,50,2022-10-09T13:01:11.814Z,2022-10-09T21:21:18Z,3831509069,212,7.1,3831509067,141,53.3,3831509073,279,S,3831509065,140,43.6,3831509063,56,Back,3833769739,178,,3831509071,213,2.8,,,,4wic6z72nwmhkheme209fcmp5,E. Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636855,4,1,1,0,1,1c8m2ko0wxq1asfkuykurdr0y,1,43.4,52.4,2022-10-09T13:01:12.946Z,2022-10-09T21:21:24Z,3831509431,140,30.2,3831509435,212,15.0,3831509437,213,3.5,3831509433,141,44.0,3833770153,178,,3831509427,56,Back,,,,,,,m2c4lckkcr7yilnqxrrsgh2i,M. Olise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636875,5,1,1,0,3,1c8m2ko0wxq1asfkuykurdr0y,0,30.7,47.5,2022-10-09T13:01:15.354Z,2022-10-09T21:21:30Z,3831509557,141,93.3,3831509555,140,63.4,3831509553,56,Left,3831509561,213,0.7,3833770581,178,,3831509559,212,46.4,3831509547,155,,3831509563,1,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636915,3,1,1,0,6,48gk2hpqtsl6p9sx9kjhaydq4,1,39,9.4,2022-10-09T13:01:18.130Z,2022-10-09T21:21:34Z,3833770807,388,,3831509721,141,13.5,3831509725,213,0.2,3831509719,140,56.4,3831509723,212,18.5,3831509717,56,Right,3831509711,3,,,,,dn3llv8xjdbbndltfym5ar561,R. Kristensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470079537,913,43,1,0,8,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-10-09T13:01:19.777Z,2022-10-09T22:04:47Z,3833927683,233,1036,3833927795,144,67,,,,,,,,,,,,,,,,,,,6q6i9x4w4vcdwwmiwq8k6sixh,P. Bamford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470079535,1036,43,1,0,8,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-10-09T13:01:19.778Z,2022-10-09T22:04:46Z,3833927709,233,913,3833927783,144,67,,,,,,,,,,,,,,,,,,,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
