id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/16/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/19/value
2484545201,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-11-12T14:00:08.609Z,2022-11-12T15:03:33Z,3910172109,30,"e8dina16u5kt5ho4u5igtmimt, a559ewan4122b6orx6d0f6s16, 9o1vesnpfiucpoq35ihhpstex, ceerfv28fygp7m2euv5n5uu39, ed4w2l6hglrrxu2a75bn0tt5h, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, xu7mykgl15kaib3olilmsez9, 7qgt7sht6py670pt6t4wjhqay, 4n782p6eaok71ai7ecj1jo1jp, 6og6s61vrg51rfqxk9cipylzp, 8mjj0wgufggpc1ai2dk21h90p, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, 9nq9bocnqq6bu8ho4m26qmkt1, cpd8prwzxf0rzevtk33fpryt, anpfg5yoixkfqipv6yj45h3sa, ad85phz3qiv2g2zl18kczvrze",3910172119,194,e8dina16u5kt5ho4u5igtmimt,3910172115,130,4,3910172117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172121,197,409,3910172113,59,"1, 3, 19, 27, 30, 2, 17, 8, 20, 7, 11, 5, 10, 13, 15, 16, 23, 26, 47, 56",3910172111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484545211,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-11-12T14:00:11.820Z,2022-11-12T15:02:27Z,3910172183,59,"1, 15, 33, 4, 3, 25, 16, 8, 21, 9, 29, 2, 10, 14, 17, 19, 20, 22, 32, 45",3910172181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910172191,197,2071,3910172189,194,80bmtj7l07ohb2h475w955n9,3910172185,130,2,3910172193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910172179,30,"12l99v9rpet6ug6n121tg6ay1, 80bmtj7l07ohb2h475w955n9, 918sxflcvngsy0xvc9dh3jaei, djelmk2oafas355n2u0d1bumt, e6la6wx7o6x7k4srpq8tdsafp, 95pzsjfh0wf6isp6qpf9lddyh, b3gobhr43y8oxpafvp4f8rgmh, 6gxyeuqjnyj9bl4n8kz14sv6d, efq6i6kz6ca3u91snwmptef2t, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, y51k2gwbs4xmkao0mnaaa76d, cr4c6htcw2jewsvboj6s8p045, 2u0613a3yx2fk1pefmb722rbp, bzjzvw54k5cmo93wdkjv89knp, 4fsvhj2hcujfwrz0kjo76u1g5, b187awt0wdxh20fx1rn5vgewa, 2ubxzcc4zioelrh0cvxnae4lx, 8cmkqkrjme3wb0gegzn1e6xre, 4c6r0dil3544i5odctdima162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596961,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-11-12T15:01:06.801Z,2022-11-12T22:15:49Z,3910440611,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484596953,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-11-12T15:01:06.801Z,2022-11-12T15:01:07Z,3910440559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597021,3,1,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,49.9,49.7,2022-11-12T15:01:06.822Z,2022-11-12T22:24:43Z,3910440829,141,56.0,3912723089,178,,3910440825,140,27.7,3910440845,279,S,3910440821,56,Back,3910440839,213,3.0,3910440835,212,23.7,,,,xu7mykgl15kaib3olilmsez9,N. Maupay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597043,4,1,1,0,2,ehd2iemqmschhj2ec0vayztzz,0,27.7,56,2022-11-12T15:01:09.400Z,2022-11-12T22:24:47Z,3910440945,155,,3910440949,140,63.6,3910440951,141,77.2,3910440947,56,Center,3910440953,212,40.4,3912723135,178,,3910440957,1,,3910440955,213,0.4,ed4w2l6hglrrxu2a75bn0tt5h,C. Coady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597089,3,1,1,0,4,1pse9ta7a45pi2w2grjim70ge,0,34.3,23.3,2022-11-12T15:01:11.434Z,2022-11-12T22:24:51Z,3910441099,56,Back,3910441103,141,34.6,3910441097,3,,3910441101,140,44.1,3910441109,213,0.6,3910441105,212,12.8,3912723197,388,,,,,djelmk2oafas355n2u0d1bumt,L. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597139,5,1,1,0,6,ehd2iemqmschhj2ec0vayztzz,0,54.4,65.1,2022-11-12T15:01:13.427Z,2022-11-12T22:24:53Z,3910441335,141,72.0,3910441337,212,14.3,3912723207,388,,3910441333,140,67.3,3910441331,56,Center,3910441341,213,0.3,3910441329,3,,,,,ceerfv28fygp7m2euv5n5uu39,I. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597131,4,49,1,0,8,1pse9ta7a45pi2w2grjim70ge,1,33.5,28.3,2022-11-12T15:01:15.097Z,2022-11-12T22:24:56Z,,,,,,,,,,,,,,,,,,,,,,,,,e6la6wx7o6x7k4srpq8tdsafp,J. Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597157,5,1,1,0,8,1pse9ta7a45pi2w2grjim70ge,1,33.5,28.3,2022-11-12T15:01:15.133Z,2022-11-12T22:24:58Z,3910441411,56,Center,3910441413,140,50.7,3910441417,212,18.9,3910441419,213,0.3,3910441415,141,36.3,3912723309,178,,3910441409,155,,,,,e6la6wx7o6x7k4srpq8tdsafp,J. Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
