id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/18/value
2453862191,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-08-31T18:00:06.720Z,2022-08-31T18:55:59Z,3747577109,59,"1, 66, 26, 3, 2, 4, 19, 14, 9, 11, 23, 7, 13, 17, 21, 28, 32, 43, 47, 95",3747577117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747755335,197,4975,3747577115,194,25yu90pekqr1lhs098f3uxy39,3747577111,130,4,3747577105,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 7mms3tmwizhtvzakotl4hv0et, 29dp5gmu5xbd04mozwxq5tjh1, dxze3b3fsfl814bjcs7q6wcet, dz2rfsmhib89jwilpuub10qcq, 25yu90pekqr1lhs098f3uxy39, 6b9erfx1rf9nff83300tntadx, 5ilkkfbsss0bxd6ttdlqg0uz9, 5ch0r2awkzjfd4hv6kbw6c9gp, 3xqbru6q5dvtrhv6coe7retp1, 2r4ox2h5r7doo3ys9ynm2nbo5, 3kdl679ra6mlobdg09xqf7fft, 3kwkd3b95n8qzqtq4idxav45x, 6z1du1o69dgamvu2m8yi97dre, kvchpptoxgvcyiv358w9gtzp, aqjq5mpg6qgnaf1exel9usjys, 8ckml3ywxcyv3w7978rki88vd, b9hf18logq24r1nyutfg4ud7u",3747577113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747577107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453862201,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-08-31T18:00:10.009Z,2022-08-31T18:58:34Z,3747577145,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 7g5elxh8h34yj55h9heydhzv9, 9pv566tidfz21e00y4t0mbap5, 7z5ugeh3ejhwa3c8tg7idkpud, 6f1ljb0an6d0g4nbap6xgxsyd, 5tbabvk43ljv3z3wd9mh0y8r9, c589fk8pfqvbukvtdqu1yhjv9, 7x6mnev1ob4u5ffmdsvusb4rt, bijr1ghojrxc61se7ebt72f9x, 7gcvzjdbqxe5jw1zn07ie4dsl, 4jwkz8almo2997hvp09zl0p9l, dxxc4dioaioidmvamkzqr4b85, 8lst9t1pyjhibrxh7xxl3wn9x, 96yg5g3b9o4gqbo2p299h4gdl, 23oysjfutg5xy1f3o9bapnmxh, cjdycctu96jilvbvnl7ndh9sl, 37d7oej48pb143o5eilue1hhx, cnoomjxp6tna0mx2ycuptgixh, exzca2akgjl00jfd2hzh33h7t",3747753083,197,420,3747577153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747577147,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747577149,59,"22, 2, 13, 36, 6, 33, 28, 7, 14, 24, 21, 4, 5, 11, 12, 19, 20, 23, 26, 32",3747577155,194,7z5ugeh3ejhwa3c8tg7idkpud,3747577151,130,4,3747577157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896611,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-08-31T19:00:18.328Z,2022-09-01T05:18:00Z,3747770921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896637,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-08-31T19:00:18.328Z,2022-08-31T19:00:20Z,3747771055,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896661,3,1,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,50.1,50,2022-08-31T19:00:18.368Z,2022-09-01T06:17:41Z,3747771179,213,3.2,3747771167,56,Back,3749031515,178,,3747771181,279,S,3747771171,140,32.0,3747771175,141,48.1,3747771177,212,19.0,,,,dz2rfsmhib89jwilpuub10qcq,H. Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896701,4,1,1,0,2,c8h9bw1l82s06h77xxrelzhur,0,32.8,48.1,2022-08-31T19:00:20.974Z,2022-09-01T06:17:44Z,3747771421,213,0.6,3747771413,56,Left,3747771419,212,54.6,3747771417,141,90.9,3747771415,140,76.8,3747771423,1,,3749031575,178,,3747771411,155,,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896717,3,44,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,26.2,8.8,2022-08-31T19:00:23.785Z,2022-09-01T08:37:31Z,3747771533,285,,3747771531,56,Back,3747771565,233,5,,,,,,,,,,,,,,,,7z5ugeh3ejhwa3c8tg7idkpud,J. Lascelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896713,5,44,1,0,5,c8h9bw1l82s06h77xxrelzhur,0,73.8,91.2,2022-08-31T19:00:23.786Z,2022-09-01T06:17:49Z,3747771505,286,,3747771501,56,Left,3747771621,233,3,,,,,,,,,,,,,,,,5ch0r2awkzjfd4hv6kbw6c9gp,L. Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896725,4,1,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,0,29.1,8.5,2022-08-31T19:00:23.864Z,2022-09-01T08:37:31Z,3747771587,213,6.3,3747771579,56,Back,3747771585,212,11.2,3747771581,140,39.8,3747771583,141,8.2,3747771577,3,,3749031771,388,,,,,7z5ugeh3ejhwa3c8tg7idkpud,J. Lascelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896749,6,1,1,0,7,c8h9bw1l82s06h77xxrelzhur,1,65.1,91.2,2022-08-31T19:00:25.764Z,2022-09-01T06:17:57Z,3747771709,140,75.9,3747771715,213,5.7,3747771711,141,80.3,3747771705,155,,3747771713,212,13.5,3749031947,388,,3747771707,56,Left,,,,25yu90pekqr1lhs098f3uxy39,J. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
