id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/17/value,qualifier/20/value
2493192759,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-12-26T11:30:07.131Z,2022-12-26T12:32:35Z,3955857329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955857321,30,"8wz5pdydepr5kzcichz17pv4l, 31wf775s975qy3il33oora8k5, 2gsq05yyxwe4f8t79j6d49q6t, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 5gb7v3m0qisn24c7h49xn250p, 1g15ehziupxnsy1kvl3pqmbc9, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, ombvyo6p3p5khkn91vubvpat, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, cjd62gwj9ptwrrtu6y6xnpeui, anxby26pfxpu4u5bfy9nbuvah, cag3gzjcv8erx3zpp2lidzcvd, btf0dch35aww78bzillh2jgx6, 7qy1hiitksyuaa9l0irxg240l, 6ge15340tp9n57m88z6rli6i2",3955857333,197,16884,3955857325,59,"20, 2, 14, 34, 15, 25, 38, 5, 10, 21, 7, 1, 4, 6, 11, 12, 19, 29, 33, 42",3955857323,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955857331,194,b9g4qurpll4wizajo95c406hh,3955857335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955857327,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493192765,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-12-26T11:30:12.037Z,2022-12-26T11:30:12Z,3955857357,59,"1, 30, 3, 16, 5, 13, 8, 27, 17, 19, 6, 4, 7, 10, 11, 14, 18, 23, 24, 34",3955857365,197,2058,3955857359,130,12,3955857355,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955857367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955857353,30,"4iijb6llnz28unsz4rirr3umt, 68n1ydedtlw2s6toghw9qiprd, 2nzefp5pwvldt2ttmxfeakamt, 66939rcic8zhw13nlcniiq4t1, d9a62lhx21b0ym73rxd6mw8h5, 45zetxtrvjb3muvcrr9b5it3p, dtol82tjlq48bs0s70sisguz9, 9k8gysrsy1a261nhcszo4aoyx, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, 8ju1opnca42o8i00wq3onzmqd, 6272debmua73jpg30up9gp04p, eg2jk0f0l2l1gurwwn2au6nyt, bs7iyv9ys61m88qh4rvb0tpzp, bxjc2heo4ve54cyvw98qcck45, 2xgvd7xovqcd6q30m59dbi11x, 4j6a6qec8m58zgojpbv8wxnf9, 7j36oy8n0tu8ps0haqb4es48a, ek0k9s7axizns3vtzyy3z5nu, 6o4pt3ffe9ogxcbdv694sr5uy",3955857361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955857363,194,8ju1opnca42o8i00wq3onzmqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196341,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-12-26T12:31:04.704Z,2022-12-26T12:31:04Z,3955878003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196343,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-12-26T12:31:04.704Z,2022-12-26T19:14:54Z,3955878005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196355,3,1,1,0,0,22doj4sgsocqpxw45h607udje,1,50,50,2022-12-26T12:31:04.731Z,2022-12-26T19:27:09Z,3956974673,178,,3955878071,56,Back,3955878073,140,30.6,3955878075,141,51.2,3955878079,213,3.1,3955878077,212,20.4,3955878081,279,S,,,,dlf31m2lrfl0biop1demgvh7t,D. Kulusevski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196363,4,1,1,0,3,22doj4sgsocqpxw45h607udje,1,33,50.6,2022-12-26T12:31:07.900Z,2022-12-26T19:27:20Z,3955878115,155,,3955878119,140,66.8,3955878125,213,0.6,3956974775,178,,3955878117,56,Left,3955878127,1,,3955878121,141,89.9,3955878123,212,44.4,az7wa6km1zhvsb8y4mndlogyd,E. Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196369,5,1,1,0,5,22doj4sgsocqpxw45h607udje,0,66.6,90.3,2022-12-26T12:31:10.145Z,2022-12-26T19:27:37Z,3955878163,141,82.7,3955878161,140,78.9,3955878167,213,5.9,3955878159,56,Left,3956974949,388,,3955878165,212,13.9,3955878157,3,,,,,12ekwo6gbza410blv4b4r7ydx,Son Heung-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196385,3,49,1,0,6,7yx5dqhhphyvfisohikodajhv,1,19.9,16.1,2022-12-26T12:31:11.215Z,2022-12-26T19:27:54Z,,,,,,,,,,,,,,,,,,,,,,,,,45zetxtrvjb3muvcrr9b5it3p,M. Jørgensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493196395,4,1,1,0,6,7yx5dqhhphyvfisohikodajhv,1,19.5,27.2,2022-12-26T12:31:11.241Z,2022-12-26T19:28:00Z,3955878287,212,12.0,3955878289,213,5.2,3956975227,178,,3955878285,141,11.2,3955878283,140,24.4,3955878281,56,Back,,,,,,,45zetxtrvjb3muvcrr9b5it3p,M. Jørgensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493417151,913,67,1,0,7,7yx5dqhhphyvfisohikodajhv,1,23.6,11.6,2022-12-26T12:31:12.568Z,2022-12-26T20:50:33Z,3957076711,233,1339,,,,,,,,,,,,,,,,,,,,,,68n1ydedtlw2s6toghw9qiprd,M. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
