id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2478898757,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-29T15:30:03.036Z,2022-10-29T15:30:03Z,3880608187,130,8,3880608185,59,"17, 14, 33, 26, 31, 13, 7, 6, 9, 18, 20, 1, 2, 4, 5, 8, 10, 21, 30, 38",3880608193,197,4967,3880608181,30,"2f79rc4i712sxstahjkq6pxp1, ch8dgambei1xbzmikkglg3c9h, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, 1ehvdoglquy9ldibpvajw34d1, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 2qy2d8xkwkbeyw5v8ljlzb845, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, cgvp2cli2gi4cnyl62kt80r11, dkwkmrmpb7rq4e660efcu5hat, 94zmvxw7yw020w43dn0qiclbd, afef63w1s01vagw51lo85qcd0",3880608195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880608183,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880608191,194,b1el7j39v2pgvl9zodd9usded,3880608189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478898859,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-29T15:30:07.177Z,2022-10-29T16:30:38Z,3880608771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880608775,130,8,3880608777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880608773,59,"1, 23, 19, 8, 30, 2, 10, 27, 9, 17, 11, 3, 4, 5, 7, 15, 16, 20, 26, 37",3880608783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880608781,197,16491,3880608779,194,9nq9bocnqq6bu8ho4m26qmkt1,3880608769,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 9o1vesnpfiucpoq35ihhpstex, do3duah478rhz9cg2icde4h9m, ed4w2l6hglrrxu2a75bn0tt5h, 35jaxclh329duzefna708jk5x, 8mjj0wgufggpc1ai2dk21h90p, ceerfv28fygp7m2euv5n5uu39, 374kcix9j7e1cob4uxmfncwyd, 8kb5h8df97ju107n9ibigo1cl, 4n782p6eaok71ai7ecj1jo1jp, a559ewan4122b6orx6d0f6s16, 4njl5iqybub0cxbhjh2xbft9l, 6og6s61vrg51rfqxk9cipylzp, 7qgt7sht6py670pt6t4wjhqay, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, 15948izygnu32cu1pw6h5wp9l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974643,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-10-29T16:30:52.089Z,2022-10-30T00:07:51Z,3881015965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974637,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-29T16:30:52.089Z,2022-10-29T16:30:53Z,3881015893,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974651,3,1,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,49.9,49.7,2022-10-29T16:30:52.115Z,2022-10-30T02:55:21Z,3881016017,279,S,3881016015,213,3.1,3881016011,141,50.1,3881016007,56,Back,3882319367,178,,3881016013,212,13.2,3881016009,140,37.3,,,,8mjj0wgufggpc1ai2dk21h90p,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974771,4,1,1,0,6,ehd2iemqmschhj2ec0vayztzz,1,35.9,46.9,2022-10-29T16:30:59.056Z,2022-10-30T02:55:22Z,3881016613,213,0.6,3881016603,155,,3881016605,56,Left,3881016607,140,78.5,3881016611,212,55.9,3881016615,1,,3881016609,141,96.2,3882319371,178,,ed4w2l6hglrrxu2a75bn0tt5h,C. Coady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974779,5,44,1,0,9,ehd2iemqmschhj2ec0vayztzz,1,78.6,93.3,2022-10-29T16:31:02.004Z,2022-10-30T03:39:45Z,3881016647,56,Left,3881016649,286,,3881016889,233,3,,,,,,,,,,,,,,,,374kcix9j7e1cob4uxmfncwyd,D. Calvert-Lewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974803,3,44,1,0,9,hzqh7z0mdl3v7gwete66syxp,0,21.4,6.7,2022-10-29T16:31:02.005Z,2022-10-30T02:55:24Z,3881016911,233,5,3881016795,285,,3881016793,56,Back,,,,,,,,,,,,,,,,ch8dgambei1xbzmikkglg3c9h,B. De Cordova-Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974793,6,1,1,0,9,ehd2iemqmschhj2ec0vayztzz,0,78.5,96.2,2022-10-29T16:31:02.027Z,2022-10-30T03:39:45Z,3882319405,388,,3881016723,141,81.6,3881016725,212,12.0,3881016727,213,5.3,3881016721,140,85.0,3881016719,56,Left,3881016717,3,,,,,374kcix9j7e1cob4uxmfncwyd,D. Calvert-Lewin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478974831,4,1,1,0,11,hzqh7z0mdl3v7gwete66syxp,0,16.3,16.9,2022-10-29T16:31:03.381Z,2022-10-30T02:55:25Z,3881083455,1,,3881083453,157,,3882319417,178,,3881016967,141,0.0,3881016975,213,5.8,3881016971,212,28.6,3881016961,56,Back,3881016963,140,40.6,chn2v9j6dqmuz2haoiuulbd91,I. Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
