id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value
2498702977,2,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-01-19T19:00:06.363Z,2023-01-19T20:00:51Z,3984926427,59,"31, 82, 6, 8, 5, 25, 26, 16, 9, 19, 10, 2, 3, 4, 7, 14, 17, 18, 20, 47",3984926433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984926423,30,"23637o19ff0sw18pqv8g96ndh, d0azo0spzov2hg6ul40l58e3u, 7jn9kl5wq29d41ekc2fz2rs2d, 9wbf00lybk9fqablaqwg5cn2t, 3gem1jrrkgye0omb88fk1lsk5, almf0gtdjmsdm5zhyot1hvydx, exiribcpg9vnuq9ekhlk74dlh, dqfk7czrayirrvonirtk2mk15, atzboo800gv7gic2rgvgo0kq1, 9ikkuxd19avliz1khcrm82gyy, 72nph557ee2a9tdky8rvk12vp, e9wu8dcamrtj3ftbx3nmhusid, 2t5s4f41jefzuzth0bhcixtcl, 99d29g8af71vt1hrur06qvy7d, 29pq64smaxdwlraopnxoleqxh, 7fmpgkx58o9pivo2bbnxxkt05, c2jqa9vozhqu7x79h5rr2n1ed, 5d6d4oc2rpau0mbbbt2dmtzv9, b3974hgsmyff5xtq7qf1onhlh, 693z0rzfh3m0h0wsma9v8c9ux",3984926431,130,8,3984926437,194,9wbf00lybk9fqablaqwg5cn2t,3984962835,197,4978,3984926439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984926425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498702995,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-01-19T19:00:12.560Z,2023-01-19T20:00:07Z,3984926525,59,"1, 12, 14, 33, 15, 17, 5, 30, 10, 21, 7, 2, 6, 9, 19, 20, 25, 29, 34, 38",3984926531,194,ombvyo6p3p5khkn91vubvpat,3984926523,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3984926533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984926521,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 4zxrdmwphkxvkvo6bt30uanrp, 3wp8fuk07m1ph1fpmbqe7tf55, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 31wf775s975qy3il33oora8k5, 4k0ni039sbjs4sqipk4v7k79x, c5zmr0m17riujelm4up44etih, cag3gzjcv8erx3zpp2lidzcvd, 8wz5pdydepr5kzcichz17pv4l, 5gb7v3m0qisn24c7h49xn250p, btf0dch35aww78bzillh2jgx6, 3gsprcdyogabeb8lr2y0bmytx, 1g15ehziupxnsy1kvl3pqmbc9",3984926527,130,17,3984926529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3984972537,197,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712807,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-01-19T20:00:09.611Z,2023-01-19T20:00:09Z,3984972591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712809,3,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-01-19T20:00:09.611Z,2023-01-20T02:41:21Z,3984972593,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712815,3,1,1,0,0,22doj4sgsocqpxw45h607udje,1,50.1,50,2023-01-19T20:00:09.621Z,2023-01-20T03:13:11Z,3984972615,141,57.3,3985202897,178,,3984972619,213,2.9,3984972621,279,S,3984972613,140,31.6,3984972611,56,Back,3984972617,212,20.0,,,,dlf31m2lrfl0biop1demgvh7t,D. Kulusevski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712823,4,1,1,0,3,22doj4sgsocqpxw45h607udje,0,32.5,58.7,2023-01-19T20:00:12.615Z,2023-01-20T03:13:16Z,3984972665,1,,3984972657,140,70.5,3984972653,155,,3985202919,178,,3984972663,213,0.5,3984972659,141,87.8,3984972661,212,44.5,3984972655,56,Left,az7wa6km1zhvsb8y4mndlogyd,E. Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712829,4,44,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,31.8,20.2,2023-01-19T20:00:15.015Z,2023-01-20T04:12:28Z,3984972679,285,,3984972681,233,5,3984972677,56,Back,,,,,,,,,,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712825,5,44,1,0,5,22doj4sgsocqpxw45h607udje,0,68.2,79.8,2023-01-19T20:00:15.016Z,2023-01-20T03:13:20Z,3984972671,286,,3984972669,56,Left,3984972699,233,4,,,,,,,,,,,,,,,,12ekwo6gbza410blv4b4r7ydx,Son Heung-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712833,5,1,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,0,33.8,27.9,2023-01-19T20:00:15.095Z,2023-01-20T04:12:28Z,3984972705,140,44.7,3984972711,213,5.2,3984972709,212,23.3,3985203009,388,,3984972703,56,Back,3984972701,3,,3984972707,141,0.0,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712837,6,5,1,0,8,22doj4sgsocqpxw45h607udje,1,57.3,102,2023-01-19T20:00:18.561Z,2023-01-20T03:13:34Z,3984972717,56,Left,3984972719,347,,3984972721,233,6,,,,,,,,,,,,,,,,12ekwo6gbza410blv4b4r7ydx,Son Heung-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712835,6,5,1,0,8,a3nyxabgsqlnqfkeg41m6tnpp,0,42.7,-2,2023-01-19T20:00:18.561Z,2023-01-20T03:13:34Z,3984972713,56,Back,3984972715,347,,3984972737,233,6,,,,,,,,,,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712861,7,1,1,0,11,22doj4sgsocqpxw45h607udje,1,59.3,100,2023-01-19T20:00:20.825Z,2023-01-20T03:13:38Z,3984972797,212,30.9,3984972791,56,Back,3984972801,1,,3984972793,140,30.5,3984972799,213,3.3,3984972789,107,,3984972795,141,92.6,,,,7qy1hiitksyuaa9l0irxg240l,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712869,8,1,1,0,18,22doj4sgsocqpxw45h607udje,1,24.8,60.6,2023-01-19T20:00:28.207Z,2023-01-20T03:13:46Z,3984972825,140,25.9,3984972829,212,17.3,3985203111,178,,3984972823,56,Back,3984972831,213,4.8,3984972827,141,35.2,,,,,,,az7wa6km1zhvsb8y4mndlogyd,E. Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712887,9,1,1,0,22,22doj4sgsocqpxw45h607udje,1,26.9,36.9,2023-01-19T20:00:31.632Z,2023-01-20T03:13:51Z,3984972951,212,32.8,3984972949,141,85.1,3984972947,140,26.1,3985203137,178,,3984972955,1,,3984972953,213,1.6,3984972945,56,Back,,,,2w7i4jfw5wgh3j2wuworoumeh,C. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712895,10,1,1,0,25,22doj4sgsocqpxw45h607udje,1,27.5,88.4,2023-01-19T20:00:34.799Z,2023-01-20T03:14:00Z,3984972985,56,Left,3984972989,141,94.5,3984972983,155,,3984972993,213,0.1,3985203183,178,,3984972987,140,54.5,3984972991,212,28.7,,,,7qy1hiitksyuaa9l0irxg240l,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498712901,11,1,1,0,26,22doj4sgsocqpxw45h607udje,1,54.7,94.6,2023-01-19T20:00:36.355Z,2023-01-20T03:14:03Z,3985203201,388,,3984973015,212,9.6,3984973007,3,,3984973011,140,46.9,3984973017,213,3.7,3984973009,56,Back,3984973013,141,87.2,,,,2gsq05yyxwe4f8t79j6d49q6t,I. Perišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
