id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value,qualifier/18/value
2494337183,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-12-31T14:00:03.176Z,2022-12-31T14:00:03Z,3961924753,194,65z99j774kjnbf7vm0u2q0jit,3961924751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961924755,197,420,3961924747,59,"22, 2, 33, 39, 5, 4, 36, 28, 20, 24, 7, 6, 9, 10, 11, 12, 19, 23, 26, 32",3961924749,130,4,3961924743,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, 5tbabvk43ljv3z3wd9mh0y8r9, cjdycctu96jilvbvnl7ndh9sl, bijr1ghojrxc61se7ebt72f9x, c589fk8pfqvbukvtdqu1yhjv9, 7z5ugeh3ejhwa3c8tg7idkpud, 66r7rq9kcoyow46ovmhzrtec5, doctoq9o6be1yap6je75w0vrp, 8lst9t1pyjhibrxh7xxl3wn9x, 96yg5g3b9o4gqbo2p299h4gdl, 23oysjfutg5xy1f3o9bapnmxh, 37d7oej48pb143o5eilue1hhx, cnoomjxp6tna0mx2ycuptgixh, exzca2akgjl00jfd2hzh33h7t",3961924757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961924745,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494337199,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-12-31T14:00:06.651Z,2022-12-31T15:06:32Z,3961924879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961924877,30,"8szyip8c62bier901hmpqc7vt, 983mn5yig2f4upkq9e97hx87p, b275i2lg3anqae5lv9gmrzmqx, 7dbzcwyph2xoljyhaogjo7mcp, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 8rrcscn29rs1gk8mi1pwpu92i, ao2tl1brzen40y5leuuc3b5qt, 4hmivvhmplqof776e9tbqg251, 6kih58n0fzlod6c792xpey57t, 9z2j13bl5yh4i1vyofautc9yi, 9rfwfsz5cmckyjripqgtbc7op, 4r6jcuotjs6rz8iwu20996z85, 7sdbx7mzjxhvofvke9mp26kbu, 9ao7l82r1xd2rjnvv5u6plcr9, ax5fuknlz3zc3fcesya61iod1, dn3llv8xjdbbndltfym5ar561, 3ojnucluy7h8fgk2myyo0zx4a, 7oikovl62nfxs6z54dzd85gx5, 1r5zkfhxkrrgzhd0k0huxtas5",3961924885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961924883,130,8,3961924881,59,"1, 2, 21, 12, 5, 6, 7, 4, 19, 11, 29, 3, 8, 10, 14, 22, 25, 30, 42, 43",3961924889,197,16497,3961924887,194,6clj9dk6hdeaomo6yi7vcsv6d,3961924891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348575,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-12-31T15:02:59.200Z,2022-12-31T21:46:10Z,3961985833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348571,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-12-31T15:02:59.200Z,2022-12-31T15:02:59Z,3961985819,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348583,3,1,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,50.1,50.1,2022-12-31T15:02:59.202Z,2022-12-31T22:32:07Z,3961985861,56,Back,3961985863,140,31.1,3961985871,279,S,3961985865,141,44.3,3962267253,178,,3961985869,213,3.3,3961985867,212,20.3,,,,4hmivvhmplqof776e9tbqg251,Rodrigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348591,4,1,1,0,2,48gk2hpqtsl6p9sx9kjhaydq4,0,31.8,44.6,2022-12-31T15:03:01.634Z,2022-12-31T22:32:11Z,3961985905,212,44.6,3961985903,141,92.6,3961985901,140,60.7,3961985899,56,Left,3961985897,155,,3962267261,178,,3961985907,213,0.8,3961985909,1,,1zumt9vkrqd8d3p3eqtwezi6t,R. Koch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348603,6,43,1,0,4,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-12-31T15:03:03.613Z,2022-12-31T15:10:34Z,3961985985,213,5.3,3961985981,141,81.7,3961997083,144,1,3961985983,212,9.9,3961985979,140,66.7,3961985977,56,Left,3961985975,3,0,,,,b275i2lg3anqae5lv9gmrzmqx,P. Struijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348589,3,44,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,36.2,8.2,2022-12-31T15:03:04.491Z,2023-01-01T02:16:03Z,3961985959,233,5,3961985893,56,Back,3961985895,285,,,,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494348595,5,44,1,0,5,48gk2hpqtsl6p9sx9kjhaydq4,0,63.8,91.8,2022-12-31T15:03:04.492Z,2022-12-31T22:32:55Z,3961985927,286,,3961985929,233,3,3961985925,56,Left,,,,,,,,,,,,,,,,b275i2lg3anqae5lv9gmrzmqx,P. Struijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494349699,41,8,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,32.8,5.6,2022-12-31T15:03:04.536Z,2023-01-01T02:16:03Z,3961991273,56,Back,3962236359,384,,3961996937,15,,3962287143,388,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
