id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2454848835,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-09-03T13:00:03.389Z,2022-09-03T13:00:03Z,3752855971,59,"17, 2, 33, 26, 4, 13, 14, 6, 9, 18, 7, 1, 5, 10, 12, 20, 21, 27, 30, 31",3752855977,194,b1el7j39v2pgvl9zodd9usded,3752855979,197,16757,3752855981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752855975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752855969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752855967,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, b27pmpcvny40pkcx87tdddsyd, ah7iqgru0htz9lh1bff94cjbp, 1ehvdoglquy9ldibpvajw34d1, 46jsa691lantlbcfqm1rtnlcl, 8jf11l2tivq8jpw0fblgdvh05, cgvp2cli2gi4cnyl62kt80r11, 8u8he2dwkbgjf3yo8jsltq9qt, afcwu800ox2u5zx6xaiygg1qt, dkwkmrmpb7rq4e660efcu5hat, fwu0bja02waqct7l682s5mfp, 94zmvxw7yw020w43dn0qiclbd, chn2v9j6dqmuz2haoiuulbd91",3752855973,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454848849,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-09-03T13:00:06.631Z,2022-09-03T14:00:52Z,3752856047,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752856049,59,"1, 12, 19, 34, 15, 17, 30, 5, 10, 9, 7, 2, 4, 6, 14, 20, 21, 25, 33, 38",3752856053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752856045,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, cag3gzjcv8erx3zpp2lidzcvd, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 3wp8fuk07m1ph1fpmbqe7tf55, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, c5zmr0m17riujelm4up44etih, 12ekwo6gbza410blv4b4r7ydx, 31wf775s975qy3il33oora8k5, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, 2gsq05yyxwe4f8t79j6d49q6t, 8wz5pdydepr5kzcichz17pv4l, dlf31m2lrfl0biop1demgvh7t, 5gb7v3m0qisn24c7h49xn250p, 7qy1hiitksyuaa9l0irxg240l, 1g15ehziupxnsy1kvl3pqmbc9",3752856051,130,17,3752856057,197,4,3752856055,194,ombvyo6p3p5khkn91vubvpat,3752856059,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897787,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-09-03T14:00:29.084Z,2022-09-03T14:00:29Z,3753109217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897827,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-09-03T14:00:29.084Z,2022-09-03T22:11:00Z,3753109419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897883,3,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50,50,2022-09-03T14:00:29.138Z,2022-09-03T22:16:59Z,3753109675,212,20.6,3753109679,279,S,3755835049,178,,3753109671,140,30.6,3753109677,213,3.0,3753109673,141,54.3,3753109669,56,Back,,,,ah7iqgru0htz9lh1bff94cjbp,Andreas Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454897943,4,1,1,0,3,hzqh7z0mdl3v7gwete66syxp,1,30.3,53.4,2022-09-03T14:00:32.342Z,2022-09-03T22:17:08Z,3753109899,213,5.6,3753109901,1,,3753109895,141,8.0,3753109897,212,49.4,3753109891,56,Right,3753109889,155,,3753109893,140,67.0,3755835197,178,,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898019,5,1,1,0,5,hzqh7z0mdl3v7gwete66syxp,0,67,8,2022-09-03T14:00:35.068Z,2022-09-03T22:17:15Z,3753110229,141,36.1,3753110225,56,Center,3753110233,213,1.0,3753110227,140,79.0,3755835913,388,,3753110223,3,,3753110231,212,22.9,,,,b27pmpcvny40pkcx87tdddsyd,A. Mitrović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898059,3,1,1,0,8,22doj4sgsocqpxw45h607udje,1,21.5,65.4,2022-09-03T14:00:37.367Z,2022-09-03T22:17:19Z,3753110435,212,7.8,3753110437,213,6.2,3753110431,140,28.9,3753110425,3,,3753110433,141,64.8,3753110429,56,Back,3755836067,388,,,,,az7wa6km1zhvsb8y4mndlogyd,E. Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898079,4,1,1,0,9,22doj4sgsocqpxw45h607udje,0,31.1,59.4,2022-09-03T14:00:38.844Z,2022-09-03T22:17:22Z,3753110523,56,Back,3753110531,212,4.8,3755836263,388,,3753110533,213,0.2,3753110525,140,35.6,3753110529,141,60.6,3753110521,3,,,,,c5zmr0m17riujelm4up44etih,Richarlison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454898251,6,1,1,0,12,hzqh7z0mdl3v7gwete66syxp,1,66,45.1,2022-09-03T14:00:41.118Z,2022-09-03T22:17:25Z,3753111349,56,Center,3753111353,141,74.9,3755836395,178,,3753111357,213,1.9,3753111351,140,59.1,3753111355,212,21.5,,,,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
