id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2476945259,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-24T18:05:30.040Z,2022-10-24T20:05:09Z,3870261023,130,8,3870261027,194,80bmtj7l07ohb2h475w955n9,3870261025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870261021,59,"13, 2, 15, 4, 6, 25, 10, 8, 9, 29, 16, 1, 3, 14, 17, 19, 21, 22, 32, 33",3870261019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870261029,197,16926,3870261017,30,"1um5sa7iogc29aadvkabadyad, y51k2gwbs4xmkao0mnaaa76d, 80bmtj7l07ohb2h475w955n9, djelmk2oafas355n2u0d1bumt, bvlkh4zxfuo5frhj7ogpnecbt, 95pzsjfh0wf6isp6qpf9lddyh, cr4c6htcw2jewsvboj6s8p045, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, b3gobhr43y8oxpafvp4f8rgmh, 12l99v9rpet6ug6n121tg6ay1, e6la6wx7o6x7k4srpq8tdsafp, 2u0613a3yx2fk1pefmb722rbp, bzjzvw54k5cmo93wdkjv89knp, 4fsvhj2hcujfwrz0kjo76u1g5, efq6i6kz6ca3u91snwmptef2t, 2ubxzcc4zioelrh0cvxnae4lx, 8cmkqkrjme3wb0gegzn1e6xre, 918sxflcvngsy0xvc9dh3jaei",3870261033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476945273,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-24T18:05:33.180Z,2022-10-24T19:04:24Z,3870261103,59,"1, 2, 3, 41, 4, 24, 20, 28, 7, 12, 22, 5, 8, 9, 10, 13, 21, 32, 33, 35",3870261111,197,4983,3870261107,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870261113,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870261101,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870261105,130,8,3870261109,194,6jgocc12bori2wygyu07c082x,3870261097,30,"eagrmpe9ft8daly57l1ja8lhx, 6gq38x5xbyz0moa1sk0aw082x, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 9qdm0nxg1g046olii48z3crf9, cm0gwoyh5rdb216fx685a7l5h, d542ijpf3j9hdrtt1mfe6vwlx, 6wwagkprtmcadu8p6klcu2uhh, 4ml8pyt3rxwxakjxslg0c8kb9, 44zyk38a8ffdjr5bmj355bt2h, exviw7gzg5p3vaiwaq4ujw9ud, 4ryipy52oscxkv71ws0os5w5, 6aix9yu384pv1caanqiol231l, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 9eaevg9okpy4gcm6yofg7vbv9, bmk0efhzrno1sgr3g8yijoa8l, c9fm58xo515iedprum1zmnp49, 8qezzr83ofw7htqufohg2fwlx, 28f271b9dr7hknp0s82mlu5lh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981787,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-24T19:00:51.851Z,2022-10-25T04:08:20Z,3870458015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981783,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-24T19:00:51.851Z,2022-10-24T19:00:52Z,3870458011,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981847,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,50.2,50,2022-10-24T19:00:51.943Z,2022-10-25T04:21:01Z,3870458353,56,Back,3870458357,141,53.1,3870458355,140,14.4,3870458359,212,37.6,3870458363,1,,3870458365,279,S,3870887499,178,,3870458361,213,3.1,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981869,4,1,1,0,5,1pse9ta7a45pi2w2grjim70ge,0,14.9,50,2022-10-24T19:00:57.665Z,2022-10-25T04:21:08Z,3870458509,140,80.5,3870887569,178,,3870458519,1,,3870458503,157,,3870458517,213,0.1,3870458515,212,69.3,3870458513,141,61.8,3870458505,56,Center,1um5sa7iogc29aadvkabadyad,Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476982603,28,49,1,0,11,4txjdaqveermfryvbfrr4taf7,1,22.5,31,2022-10-24T19:01:03.591Z,2022-10-25T04:21:15Z,,,,,,,,,,,,,,,,,,,,,,,,,6gq38x5xbyz0moa1sk0aw082x,B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981919,3,1,1,0,11,4txjdaqveermfryvbfrr4taf7,0,17.4,32.6,2022-10-24T19:01:03.599Z,2022-10-25T04:21:20Z,3870458811,213,5.9,3870458815,1,,3870458805,141,3.1,3870458801,140,63.4,3870458797,56,Right,3870458807,212,52.3,3870458789,157,,3870887679,178,,6gq38x5xbyz0moa1sk0aw082x,B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476981943,5,1,1,0,16,1pse9ta7a45pi2w2grjim70ge,1,38.1,92.3,2022-10-24T19:01:08.845Z,2022-10-25T04:21:27Z,3870887759,388,,3870458937,56,Back,3870458935,155,,3870458939,140,45.8,3870458943,212,8.4,3870458945,213,0.3,3870458941,141,95.9,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476983589,55,49,1,0,17,1pse9ta7a45pi2w2grjim70ge,1,37.6,91.8,2022-10-24T19:01:09.330Z,2022-10-25T04:21:20Z,,,,,,,,,,,,,,,,,,,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
