id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2481701529,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-11-05T14:00:05.444Z,2022-11-05T14:01:05Z,3895340305,59,"31, 5, 7, 16, 25, 6, 17, 8, 19, 20, 10, 3, 9, 14, 18, 21, 26, 47, 80, 82",3895340303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895340311,194,9wbf00lybk9fqablaqwg5cn2t,3895340307,130,4,3895340309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340301,30,"23637o19ff0sw18pqv8g96ndh, 3gem1jrrkgye0omb88fk1lsk5, 29pq64smaxdwlraopnxoleqxh, dqfk7czrayirrvonirtk2mk15, almf0gtdjmsdm5zhyot1hvydx, 7jn9kl5wq29d41ekc2fz2rs2d, c2jqa9vozhqu7x79h5rr2n1ed, 9wbf00lybk9fqablaqwg5cn2t, 9ikkuxd19avliz1khcrm82gyy, b3974hgsmyff5xtq7qf1onhlh, 72nph557ee2a9tdky8rvk12vp, 2t5s4f41jefzuzth0bhcixtcl, atzboo800gv7gic2rgvgo0kq1, 7fmpgkx58o9pivo2bbnxxkt05, 5d6d4oc2rpau0mbbbt2dmtzv9, d4tdx2ctadv6kc3tbq4as8bmx, exiribcpg9vnuq9ekhlk74dlh, 693z0rzfh3m0h0wsma9v8c9ux, dl10343h8yopcgerzur5samwa, d0azo0spzov2hg6ul40l58e3u",3895343133,197,4978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481701593,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-11-05T14:00:09.743Z,2022-11-05T14:00:58Z,3895340501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895340509,194,b1el7j39v2pgvl9zodd9usded,3895342773,197,16757,3895340507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340505,130,8,3895340503,59,"17, 2, 33, 26, 31, 13, 8, 6, 30, 18, 20, 1, 3, 4, 5, 10, 21, 25, 27, 38",3895340511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895340499,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, dlpk0a4jgiswcm2r75uh1czpx, a9k2946gt4hcqw8jpi6ow3jdh, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 8oyxr0sr61uhi2gm6bbtjdy39, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, cgvp2cli2gi4cnyl62kt80r11, dkwkmrmpb7rq4e660efcu5hat, 5q5q7pp5zwdy0x1vnutgeomad, fwu0bja02waqct7l682s5mfp, afef63w1s01vagw51lo85qcd0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758377,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-11-05T15:00:23.494Z,2022-11-05T21:08:46Z,3895634225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758219,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2022-11-05T15:00:23.494Z,2022-11-05T15:01:16Z,3895633469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845421,271,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50,49.9,2022-11-05T15:00:23.503Z,2022-11-05T21:55:13Z,3896084941,213,2.9,3896084937,141,56.1,3897616097,178,,3896084935,140,29.9,3896084933,56,Back,3896084939,212,21.5,3896084943,279,S,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845955,272,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,0,33.7,62,2022-11-05T15:00:26.216Z,2022-11-05T21:55:17Z,3896087805,213,5.5,3896087795,155,,3896087803,212,46.4,3897616175,178,,3896087807,1,,3896087801,141,15.5,3896087799,140,66.0,3896087797,56,Right,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845615,497,44,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,30.2,79,2022-11-05T15:00:29.045Z,2022-11-06T00:28:03Z,3896085991,285,,3896085989,56,Back,3896087999,233,273,,,,,,,,,,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845985,273,44,1,0,5,hzqh7z0mdl3v7gwete66syxp,0,69.8,21,2022-11-05T15:00:29.046Z,2022-11-05T21:55:23Z,3896088049,233,497,3896087927,286,,3896087925,56,Right,,,,,,,,,,,,,,,,94zmvxw7yw020w43dn0qiclbd,Carlos Vinícius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845701,498,1,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,31.3,81.3,2022-11-05T15:00:29.120Z,2022-11-06T00:28:03Z,3897616351,388,,3896086459,141,88.1,3896086465,213,0.7,3896086463,212,7.5,3896086455,56,Back,3896086453,3,,3896086457,140,36.9,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481845889,499,49,1,0,6,a3nyxabgsqlnqfkeg41m6tnpp,1,34.9,88.8,2022-11-05T15:00:30.287Z,2022-11-05T21:55:30Z,,,,,,,,,,,,,,,,,,,,,,,,,72nph557ee2a9tdky8rvk12vp,J. Grealish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
