id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2446074643,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-08-14T12:00:05.574Z,2022-08-15T12:46:08Z,3706189129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3706189125,59,"1, 5, 3, 41, 4, 2, 28, 8, 9, 20, 22, 7, 10, 12, 13, 14, 32, 35, 50",3706189135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706189131,194,6jgocc12bori2wygyu07c082x,3706189123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3706189133,197,9810,3706189121,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 9qdm0nxg1g046olii48z3crf9, 6gq38x5xbyz0moa1sk0aw082x, 6wwagkprtmcadu8p6klcu2uhh, 6aix9yu384pv1caanqiol231l, 3c7vnmec038bhz5rq36ywi2fp, d542ijpf3j9hdrtt1mfe6vwlx, exviw7gzg5p3vaiwaq4ujw9ud, 4ml8pyt3rxwxakjxslg0c8kb9, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, 9eaevg9okpy4gcm6yofg7vbv9, f2pknjv2uohldehbp39j0so2d, c9fm58xo515iedprum1zmnp49, 28f271b9dr7hknp0s82mlu5lh, b9r05m1ycqz9flphsbnf56i5m",3706189127,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446074673,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-14T12:00:08.082Z,2022-08-14T13:01:22Z,3706189261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706189255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706189259,197,4782,3706189247,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706189257,194,1tuivl8zdnsaz8vbed2z582qx,3706189251,59,"1, 7, 15, 26, 19, 4, 5, 14, 11, 20, 9, 2, 3, 6, 13, 16, 17, 18, 33, 41",3706189243,30,"5z8ycnd0smdkumi5fgtzf7c9h, 3mgjcyaseuexxlssgatjgsand, 1vklxifs8qpj71s4reu3pkw5x, 12cgiy0t282ywdbr5j78hrxsl, 9rf5uk6c2wce30b9wkmu3iuad, 1tuivl8zdnsaz8vbed2z582qx, 95uxoznu15m2xywirv43rcmol, dcq0nu7mmecab5djjwg0n8ktm, 5f72vvw62zdlyrj3mwux2udat, 1l228p52d8wdf8qhfxqu8rca, 55eiicx10oqok1601fqyovt1x, esb4b21x729db8od4c4xt8ciy, av7e2wk5ub7qnh3sqcvssvh79, 7clxo8giuja0f0hw9jbto3mjt, 8bhdwi4p824s82bbzkh2vy6t, 8kfciybd6filv663ebckuerjd, mpzi06x1j85ahwkrbsa20kmi, n79bsuv2ldsrh1ieiu096tp1, 6u0e93rc0hv1mc7ch7tfij85, c88j7c4v5raimwoeh7dc7xlka",3706189253,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112003,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-14T13:00:12.063Z,2022-08-14T21:05:51Z,3706361585,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446111983,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-08-14T13:00:12.063Z,2022-08-14T13:00:12Z,3706361519,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112041,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,49.9,49.9,2022-08-14T13:00:12.152Z,2022-08-14T21:29:09Z,3708275173,178,,3706361779,141,26.5,3706361785,279,S,3706361775,56,Back,3706361781,212,23.9,3706361783,213,3.9,3706361777,140,32.9,,,,exviw7gzg5p3vaiwaq4ujw9ud,S. Benrahma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112073,4,1,1,0,2,4txjdaqveermfryvbfrr4taf7,0,29.4,32.4,2022-08-14T13:00:15.017Z,2022-08-14T21:29:14Z,3706361889,213,5.9,3708275345,178,,3706361885,141,10.3,3706361879,157,,3706361891,1,,3706361887,212,43.3,3706361883,140,68.1,3706361881,56,Right,9qdm0nxg1g046olii48z3crf9,K. Zouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112109,3,1,1,0,5,1qtaiy11gswx327s0vkibf70n,1,24.7,86,2022-08-14T13:00:17.893Z,2022-08-14T21:29:45Z,3706362043,212,10.9,3706362037,56,Back,3706362041,141,75.9,3706362035,3,,3706362039,140,32.7,3708275613,388,,3706362045,213,5.6,,,,12cgiy0t282ywdbr5j78hrxsl,S. McKenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112139,4,1,1,0,7,1qtaiy11gswx327s0vkibf70n,1,32.7,75.9,2022-08-14T13:00:19.895Z,2022-08-14T21:29:51Z,3706362179,212,4.5,3708276609,178,,3706362175,140,30.0,3706362171,3,,3706362173,56,Back,3706362181,213,2.3,3706362177,141,81.0,,,,5f72vvw62zdlyrj3mwux2udat,J. Lingard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112145,5,49,1,0,9,1qtaiy11gswx327s0vkibf70n,1,30,81,2022-08-14T13:00:21.073Z,2022-08-14T21:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,dcq0nu7mmecab5djjwg0n8ktm,L. O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112159,6,3,1,0,10,1qtaiy11gswx327s0vkibf70n,0,38.9,88.4,2022-08-14T13:00:22.988Z,2022-08-14T21:30:08Z,3706362235,56,Back,3708277143,178,,3706362381,286,,3707435091,465,,3708093791,233,5,,,,,,,,,,dcq0nu7mmecab5djjwg0n8ktm,L. O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
