id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2460598289,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-09-16T18:00:01.905Z,2022-09-16T18:00:02Z,3783451779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783451777,197,397,3783451769,59,"1, 18, 27, 44, 4, 5, 7, 41, 11, 31, 23, 6, 8, 9, 10, 16, 17, 19, 25, 32",3783451767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783451773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783451771,130,9,3783451775,194,btvuam6p4391am219taqtcted,3783451765,30,"3zl1q2gk6tdmzirsyfgm38no5, 7paw998ux29k7hx4t1g0wu85x, e8gz0tmmdh1ql8qrn1ncrvnpx, blth4klpu88kgh73abpjlgusp, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, btvuam6p4391am219taqtcted, bhsh1n3qfg8awmctxlh8k7yzt, 5m0j33eoa5c8pqlr0tdf7undh, 4jyrztlaueae7eg18kuvxa489, 3vxh219sef8mooilemi8xbs9h, 7j84ozqdpgupzxevbxemi5tyh, d394go61g90f1u6bddu1narit, ashza2qkgnak7wb3vuz5bnzyt, l0qqn9tlgov91p5d1zzdupcl, 172klpuv2h1enskc8fz79xg45, eb48g14m2erkf7yzqz8gj4u6t, bq2q90k6q53nlf53et7j46cid, 4myy5br8yj5678xlji3up1ryt, 1emj0rlthc8syfleox4c39kut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460598303,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-09-16T18:00:04.681Z,2022-09-17T00:31:20Z,3783451853,130,8,3783451861,194,7r6vds5j65fohi1k28cnqjqvp,3783451865,197,425,3783451849,59,"31, 2, 15, 27, 37, 22, 19, 8, 10, 24, 9, 1, 4, 6, 7, 17, 18, 23, 28, 32",3783451857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3783451845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3783451841,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 6xdgasd4dvfgg4n23jw38473d, 7zkku0gboniozaks9yx0ous8a, 2r1u01vlym0nwcwx86bwbuusq, e382powtgetwn8npxf9nqeaga, 7r6vds5j65fohi1k28cnqjqvp, 59ujnkvl7rlffomi2bqpsmbpx, 6tckvu2rw7ns18dq7dim0sout, dusjrdiyxfadenwx4pjr7catx, d3p7p18i2ybzlwz5p5gjdd239, 4042kk7ylrs378rh26b7mh42x, 6gymgqxnu2zavuxgp6amm3zkl, 37bmb84zex63yoipqwj01bcgl, axnmil0bg1giwhoa31tks7ljp, 1qcj2upaz0xa98zkc835djo8a, 67oh9fkwrut68eegfjf5emaui, ebazcy0x20885rn9qx2acoi6s, 2oijcg6e36mwy3ie1num5wclx",3783451869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650351,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-09-16T19:00:07.876Z,2022-09-16T23:58:41Z,3783742041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650347,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2022-09-16T19:00:07.876Z,2022-09-16T19:00:08Z,3783742029,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650369,3,1,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,50,50,2022-09-16T19:00:08.044Z,2022-09-17T00:24:56Z,3783742119,56,Back,3784293587,178,,3783742129,279,S,3783742127,213,3.2,3783742121,140,38.1,3783742123,141,48.1,3783742125,212,12.6,,,,59ujnkvl7rlffomi2bqpsmbpx,C. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650373,4,1,1,0,1,d5ydtvt96bv7fq04yqm2w2632,1,36.5,49.1,2022-09-16T19:00:09.833Z,2022-09-17T00:24:59Z,3784293697,178,,3783742151,212,11.0,3783742153,213,3.9,3783742147,140,29.2,3783742149,141,37.4,3783742145,56,Back,,,,,,,6xdgasd4dvfgg4n23jw38473d,I. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650391,5,1,1,0,3,d5ydtvt96bv7fq04yqm2w2632,1,29,37.1,2022-09-16T19:00:11.488Z,2022-09-17T00:25:03Z,3783742257,140,29.0,3783742259,141,24.0,3783742255,56,Back,3783742261,212,8.9,3784293843,178,,3783742263,213,4.7,,,,,,,7zkku0gboniozaks9yx0ous8a,A. Bella-Kotchap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650439,6,1,1,0,5,d5ydtvt96bv7fq04yqm2w2632,0,29.9,21,2022-09-16T19:00:13.457Z,2022-09-17T00:25:07Z,3784293943,178,,3783742499,155,,3783742505,141,17.1,3783742503,140,77.3,3783742501,56,Right,3783742507,212,49.8,3783742509,213,6.2,3783742511,1,,2uiza5b6fbum38chxtvmnkzqh,K. Walker-Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650441,3,44,1,0,8,b496gs285it6bheuikox6z9mj,1,30.5,81.9,2022-09-16T19:00:16.102Z,2022-09-17T01:10:27Z,3783742521,285,,3783742569,233,7,3783742519,56,Back,,,,,,,,,,,,,,,,2smmv9hdoiet7necaf00ol51x,T. Mings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460650443,7,44,1,0,8,d5ydtvt96bv7fq04yqm2w2632,0,69.5,18.1,2022-09-16T19:00:16.103Z,2022-09-17T00:25:12Z,3783742531,286,,3783742529,56,Right,3783742633,233,3,,,,,,,,,,,,,,,,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
