id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2484855463,7,1,1,1,14,9q0arba2kbnywth8bkxlhgmdr,0,86.1,60.5,2022-11-12T17:33:15.266Z,2022-11-13T01:53:42Z,3911807183,213,5.5,3911807179,141,42.2,3911807181,212,16.9,3911807169,3,,3912905049,388,,3911807173,56,Center,3911807177,140,97.0,3911807171,168,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484855479,4,52,1,1,16,7vn2i2kd35zuetw6b38gw9jsz,1,3.2,50.9,2022-11-12T17:33:16.883Z,2022-11-13T01:53:52Z,3912412315,377,,3912905189,178,,,,,,,,,,,,,,,,,,,,9s9i1a7hdq5bud8ma2dqi295h,N. Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484855563,5,1,1,1,20,7vn2i2kd35zuetw6b38gw9jsz,1,15.4,62.1,2022-11-12T17:33:20.962Z,2022-11-13T01:53:54Z,3911807703,213,0.9,3911807695,56,Back,3911807693,123,,3911807697,140,27.6,3911807701,212,21.5,3912905257,178,,3911807699,141,87.5,,,,9s9i1a7hdq5bud8ma2dqi295h,N. Pope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484855567,6,4,1,1,24,7vn2i2kd35zuetw6b38gw9jsz,1,37.2,93.7,2022-11-12T17:33:25.575Z,2022-11-13T01:54:01Z,3911807743,233,8,3911807729,152,,3911807725,294,,3911807731,286,,3911807723,13,,3911807727,56,Back,,,,,,,9pv566tidfz21e00y4t0mbap5,S. Longstaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484855553,8,4,1,1,24,9q0arba2kbnywth8bkxlhgmdr,0,62.8,6.3,2022-11-12T17:33:25.576Z,2022-11-13T01:54:00Z,3911807633,56,Right,3911807753,233,6,3911807637,285,,3911807631,294,,3911807635,152,,3911807629,13,,3912905333,178,,,,,e6jaaazxqeczj6ziaj0qnqpxx,R. Loftus-Cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856065,7,1,1,2,8,7vn2i2kd35zuetw6b38gw9jsz,1,37.6,93.1,2022-11-12T17:34:09.441Z,2022-11-13T01:54:05Z,3911810145,212,57.7,3911810139,56,Center,3911810141,140,81.8,3911810149,1,,3911810135,155,,3911810147,213,5.6,3911810143,141,42.7,3912905395,178,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,3911810133,5,,3911810137,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856067,8,44,1,2,11,7vn2i2kd35zuetw6b38gw9jsz,1,80.4,44.7,2022-11-12T17:34:12.414Z,2022-11-13T04:59:21Z,3911810187,233,9,3911810155,56,Center,3911810157,286,,,,,,,,,,,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856043,9,44,1,2,11,9q0arba2kbnywth8bkxlhgmdr,0,19.6,55.3,2022-11-12T17:34:12.415Z,2022-11-13T01:54:11Z,3911810099,285,,3911810191,233,8,3911810095,56,Back,,,,,,,,,,,,,,,,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856075,9,1,1,2,11,7vn2i2kd35zuetw6b38gw9jsz,0,81.8,42.7,2022-11-12T17:34:12.441Z,2022-11-13T04:59:21Z,3911810205,141,58.1,3911810199,3,,3911810201,56,Center,3911810207,212,11.3,3911810203,140,85.9,3912905509,388,,3911810209,213,1.2,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856081,10,12,1,2,12,9q0arba2kbnywth8bkxlhgmdr,1,15.2,47.8,2022-11-12T17:34:13.528Z,2022-11-13T01:54:24Z,3911810231,140,25.2,3911810235,212,15.0,3911810233,141,63.6,3911810237,213,0.8,3912905591,388,,3911810229,56,Back,3911810239,15,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
