id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value
2474283499,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-10-19T17:30:17.391Z,2022-10-19T17:30:17Z,3856156187,197,4975,3856156175,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, 3kwkd3b95n8qzqtq4idxav45x, 25yu90pekqr1lhs098f3uxy39, 29dp5gmu5xbd04mozwxq5tjh1, dxze3b3fsfl814bjcs7q6wcet, 5ilkkfbsss0bxd6ttdlqg0uz9, dbvpo938uwe0s420lospkethx, 5e300bc3sbmy6iqpvmic34qju, 6b9erfx1rf9nff83300tntadx, 6z1du1o69dgamvu2m8yi97dre, 7mms3tmwizhtvzakotl4hv0et, 3xqbru6q5dvtrhv6coe7retp1, 9twvo5p1ge4zfgy5hcu0nsvdh, 3kdl679ra6mlobdg09xqf7fft, dz2rfsmhib89jwilpuub10qcq, eziqega9e25bg939pfh4vjp3p, 31q177jwvtfisk6irzsu4eiqy, 8ckml3ywxcyv3w7978rki88vd, dpw4s6nbkfcrjlqxxgf9j5yhh",3856156177,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3856156185,194,25yu90pekqr1lhs098f3uxy39,3856156183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856156179,59,"1, 66, 21, 14, 2, 4, 11, 6, 27, 9, 28, 3, 7, 15, 17, 19, 26, 42, 47, 62",3856156181,130,2,3856156189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474283559,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-19T17:30:21.151Z,2022-10-19T21:45:02Z,3856156499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856156495,194,6jgocc12bori2wygyu07c082x,3856156487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3856156491,130,2,3856156485,30,"eagrmpe9ft8daly57l1ja8lhx, 6gq38x5xbyz0moa1sk0aw082x, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 9qdm0nxg1g046olii48z3crf9, cm0gwoyh5rdb216fx685a7l5h, 44zyk38a8ffdjr5bmj355bt2h, 6wwagkprtmcadu8p6klcu2uhh, 4ml8pyt3rxwxakjxslg0c8kb9, d542ijpf3j9hdrtt1mfe6vwlx, 6aix9yu384pv1caanqiol231l, 4ryipy52oscxkv71ws0os5w5, 3c7vnmec038bhz5rq36ywi2fp, ebj88k2kxp7r1x6lmrqacuaj9, 9eaevg9okpy4gcm6yofg7vbv9, bmk0efhzrno1sgr3g8yijoa8l, exviw7gzg5p3vaiwaq4ujw9ud, c9fm58xo515iedprum1zmnp49, 8qezzr83ofw7htqufohg2fwlx, 28f271b9dr7hknp0s82mlu5lh",3856156489,59,"1, 2, 3, 41, 4, 24, 12, 28, 7, 20, 8, 5, 9, 10, 13, 21, 22, 32, 33, 35",3856156493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856156497,197,16625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320775,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-10-19T18:30:35.506Z,2022-10-20T01:58:46Z,3856363425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320763,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2022-10-19T18:30:35.506Z,2022-10-19T18:30:35Z,3856363367,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320809,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,50.1,49.7,2022-10-19T18:30:35.526Z,2022-10-20T02:06:37Z,3856363609,279,S,3856363599,56,Back,3856363601,140,27.9,3856363603,141,77.0,3856363605,212,29.8,3857255119,178,,3856363607,213,2.5,,,,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320867,4,1,1,0,3,4txjdaqveermfryvbfrr4taf7,0,28,78,2022-10-19T18:30:39.101Z,2022-10-20T02:06:38Z,3856363897,141,94.4,3856363895,140,86.8,3856363893,56,Left,3856363901,213,0.2,3856363891,155,,3857255175,178,,3856363899,212,62.7,3856363903,1,,9w5o8b18ffu4qr4bdnfrk4ogl,A. Cresswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320885,3,49,1,0,8,c8h9bw1l82s06h77xxrelzhur,1,16.8,11.3,2022-10-19T18:30:44.090Z,2022-10-20T02:06:53Z,,,,,,,,,,,,,,,,,,,,,,,,,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320925,4,1,1,0,8,c8h9bw1l82s06h77xxrelzhur,1,16.8,11.3,2022-10-19T18:30:44.147Z,2022-10-20T02:06:59Z,3856364203,56,Back,3857255333,178,,3856364209,141,12.0,3856364217,213,0.0,3856364205,140,28.3,3856364199,157,,3856364221,1,,3856364213,212,12.1,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320931,5,61,1,0,10,c8h9bw1l82s06h77xxrelzhur,0,28.3,12,2022-10-19T18:30:46.252Z,2022-10-20T02:07:08Z,3856364245,56,Back,3857255533,178,,,,,,,,,,,,,,,,,,,,6b9erfx1rf9nff83300tntadx,Roberto Firmino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474488783,881,67,1,0,11,4txjdaqveermfryvbfrr4taf7,1,49.1,82.2,2022-10-19T18:30:47.229Z,2022-10-20T05:32:10Z,3857288153,233,989,,,,,,,,,,,,,,,,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474488777,989,67,1,0,11,c8h9bw1l82s06h77xxrelzhur,0,50.9,17.8,2022-10-19T18:30:47.230Z,2022-10-20T02:38:25Z,3857288161,233,881,,,,,,,,,,,,,,,,,,,,,,5e300bc3sbmy6iqpvmic34qju,D. Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320959,5,1,1,0,11,4txjdaqveermfryvbfrr4taf7,0,54.7,82.1,2022-10-19T18:30:47.247Z,2022-10-20T05:32:11Z,3857255639,178,,3856364381,140,61.4,3856364383,141,79.4,3856364379,56,Left,3856364385,212,7.3,3856364387,213,6.0,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320963,6,1,1,0,13,c8h9bw1l82s06h77xxrelzhur,1,32.1,15.5,2022-10-19T18:30:48.859Z,2022-10-20T02:07:22Z,3856364393,56,Back,3856364399,212,3.3,3857255721,388,,3856364391,3,,3856364401,213,2.9,3856364397,141,16.8,3856364395,140,29.1,,,,6b9erfx1rf9nff83300tntadx,Roberto Firmino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320983,7,1,1,0,14,c8h9bw1l82s06h77xxrelzhur,1,31.7,17.6,2022-10-19T18:30:49.634Z,2022-10-20T02:07:28Z,3856364483,155,,3856364495,212,26.5,3856364497,213,1.1,3856364487,140,44.1,3856364491,141,51.5,3857255803,178,,3856364485,56,Back,,,,25yu90pekqr1lhs098f3uxy39,J. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320991,8,44,1,0,16,c8h9bw1l82s06h77xxrelzhur,1,45.8,54,2022-10-19T18:30:51.900Z,2022-10-20T05:32:11Z,3856364661,233,6,3856364515,56,Back,3856364517,285,,,,,,,,,,,,,,,,,6z1du1o69dgamvu2m8yi97dre,Fábio Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321011,6,44,1,0,16,4txjdaqveermfryvbfrr4taf7,0,54.2,46,2022-10-19T18:30:51.901Z,2022-10-20T02:07:33Z,3856364695,233,8,3856364625,56,Center,3856364629,286,,,,,,,,,,,,,,,,,44zyk38a8ffdjr5bmj355bt2h,F. Downes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320999,9,1,1,0,16,c8h9bw1l82s06h77xxrelzhur,1,44.1,51.5,2022-10-19T18:30:51.932Z,2022-10-20T05:32:11Z,3856364563,141,50.3,3856364561,140,42.6,3856364559,56,Back,3856364567,213,3.6,3856364557,3,,3857256093,388,,3856364639,156,,3856364565,212,1.8,6z1du1o69dgamvu2m8yi97dre,Fábio Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321067,10,1,1,0,17,c8h9bw1l82s06h77xxrelzhur,1,42,52.5,2022-10-19T18:30:52.977Z,2022-10-20T02:07:46Z,3856364927,212,29.2,3856364925,141,88.7,3856364923,140,56.9,3857256179,178,,3856364921,56,Left,3856364929,213,1.0,,,,,,,dbvpo938uwe0s420lospkethx,Thiago Alcântara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321139,11,1,1,0,23,c8h9bw1l82s06h77xxrelzhur,1,58.1,90,2022-10-19T18:30:58.666Z,2022-10-20T02:07:50Z,3856365359,141,81.5,3856365361,212,14.1,3856365363,213,3.6,3856365355,56,Back,3857256243,178,,3856365357,140,45.9,,,,,,,3kwkd3b95n8qzqtq4idxav45x,K. Tsimikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321167,12,1,1,0,24,c8h9bw1l82s06h77xxrelzhur,1,44.4,80.9,2022-10-19T18:31:00.468Z,2022-10-20T02:07:56Z,3856365487,212,19.9,3856365485,141,59.4,3856365483,140,31.6,3857256297,178,,3856365481,56,Back,3856365489,213,4.0,,,,,,,dbvpo938uwe0s420lospkethx,Thiago Alcântara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321197,13,1,1,0,27,c8h9bw1l82s06h77xxrelzhur,1,31.5,58.1,2022-10-19T18:31:02.971Z,2022-10-20T02:08:02Z,3856365679,141,37.0,3856365683,213,4.8,3856365681,212,14.4,3856365675,56,Back,3857256347,178,,3856365677,140,32.5,,,,,,,dxze3b3fsfl814bjcs7q6wcet,V. van Dijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321213,14,1,1,0,30,c8h9bw1l82s06h77xxrelzhur,1,33.6,28.5,2022-10-19T18:31:05.770Z,2022-10-20T02:08:08Z,3856365807,213,4.4,3856365805,212,8.7,3857256461,178,,3856365803,141,16.4,3856365799,56,Back,3856365801,140,30.9,,,,,,,29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321261,15,1,1,0,32,c8h9bw1l82s06h77xxrelzhur,1,30.9,16.4,2022-10-19T18:31:07.980Z,2022-10-20T02:08:14Z,3856365997,212,25.9,3856365995,141,49.1,3856365993,140,18.2,3856365991,56,Back,3857256581,178,,3856365999,213,2.1,,,,,,,19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321325,16,1,1,0,35,c8h9bw1l82s06h77xxrelzhur,1,18.2,49.1,2022-10-19T18:31:11.010Z,2022-10-20T02:08:19Z,3856366335,140,29.1,3856366341,213,1.2,3856366337,141,93.2,3856366343,1,,3856366339,212,32.1,3856366333,56,Back,3857256633,178,,,,,dxze3b3fsfl814bjcs7q6wcet,V. van Dijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474321371,17,1,1,0,39,c8h9bw1l82s06h77xxrelzhur,1,27.6,91.1,2022-10-19T18:31:14.663Z,2022-10-20T02:08:23Z,3857256673,178,,3856366583,56,Back,3856366589,212,18.4,3856366587,141,68.5,3856366591,213,4.1,3856366585,140,18.0,,,,,,,3kwkd3b95n8qzqtq4idxav45x,K. Tsimikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
