id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2533797241,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-04-15T15:30:15.631Z,2023-04-15T16:50:05Z,4191156199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191156185,30,"23637o19ff0sw18pqv8g96ndh, dqfk7czrayirrvonirtk2mk15, b3974hgsmyff5xtq7qf1onhlh, 7fmpgkx58o9pivo2bbnxxkt05, 2t5s4f41jefzuzth0bhcixtcl, 3gem1jrrkgye0omb88fk1lsk5, exiribcpg9vnuq9ekhlk74dlh, c2jqa9vozhqu7x79h5rr2n1ed, atzboo800gv7gic2rgvgo0kq1, e9wu8dcamrtj3ftbx3nmhusid, 72nph557ee2a9tdky8rvk12vp, 99d29g8af71vt1hrur06qvy7d, 7jn9kl5wq29d41ekc2fz2rs2d, 9wbf00lybk9fqablaqwg5cn2t, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, d4tdx2ctadv6kc3tbq4as8bmx, almf0gtdjmsdm5zhyot1hvydx, dl10343h8yopcgerzur5samwa, d0azo0spzov2hg6ul40l58e3u",4191156201,194,c2jqa9vozhqu7x79h5rr2n1ed,4191156189,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191156195,59,"31, 16, 20, 14, 3, 5, 26, 17, 9, 2, 10, 4, 6, 8, 18, 19, 21, 25, 80, 82",4191156197,130,24,4191156205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191156203,197,4978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533797409,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-15T15:30:21.438Z,2023-04-15T16:32:07Z,4191157029,130,17,4191157031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191157023,30,"bm9qgspytvdwy514kk6ytztg5, p87gxg8kc9ta6iipqt5fxmtx, bwai2k262meugz2fj7s2g58iy, ayyswiouwrh2yn1j75owovob9, dfqpevw7bneap02x7mxo74pgp, 72d5uxwcmvhd6mzthxuvev1sl, 6tma6gvgf6xphc5gm2el35vbp, eo4uva2gnx08xdazfaqzyz2dx, 6v1o4s2acog9guff3folo1jh1, a1yoz8f4985o166nzcyigpj2t, 2bkp1lcaxmvwoanxwo0775cdl, 5h2biadv4hd2ntcd7zo2c8639, 51xwrb0qit04oz9x01p2gghjp, enyatxtjef9lacem6c8cc1mmt, otz9c2ifww514ummo10nfoix, 7wu5l9m2kt30c4nifxdi3btg5, 8prtj2o0lz1zbzpuw4ah4qhud, 70jmsf551d1sspqnm8t5lrch5, 79nno03ww57p02dz5o0g60rqi, b6gva8y8bdyy7bmv6se449ap6",4191157035,197,16682,4191157025,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191157033,194,eo4uva2gnx08xdazfaqzyz2dx,4191157037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191157027,59,"31, 27, 16, 4, 15, 3, 25, 8, 9, 10, 22, 1, 14, 18, 20, 24, 26, 33, 37, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872393,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-04-15T16:30:47.349Z,2023-04-15T16:30:49Z,4191557509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872389,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-04-15T16:30:47.349Z,2023-04-16T00:20:12Z,4191557501,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872465,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,50.1,50,2023-04-15T16:30:47.360Z,2023-04-16T00:58:10Z,4191557877,56,Back,4191557881,141,48.4,4191557887,279,S,4193351991,178,,4191557883,212,28.5,4191557885,213,3.2,4191557879,140,23.0,,,,b3974hgsmyff5xtq7qf1onhlh,Bernardo Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872501,4,1,1,0,8,a3nyxabgsqlnqfkeg41m6tnpp,1,34.5,58.4,2023-04-15T16:30:55.556Z,2023-04-16T00:58:14Z,4191558001,56,Back,4191558009,213,5.1,4191558005,141,17.9,4191558003,140,44.7,4191558007,212,29.5,4193352295,178,,,,,,,,23637o19ff0sw18pqv8g96ndh,Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872671,5,1,1,0,13,a3nyxabgsqlnqfkeg41m6tnpp,1,55.9,25.7,2023-04-15T16:31:00.520Z,2023-04-16T00:58:51Z,4191558765,213,2.0,4191558763,212,22.9,4191558757,56,Back,4191558761,141,56.7,4191558759,140,47.5,4193354901,178,,,,,,,,e9wu8dcamrtj3ftbx3nmhusid,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872759,6,1,1,0,19,a3nyxabgsqlnqfkeg41m6tnpp,1,56.1,54.5,2023-04-15T16:31:06.866Z,2023-04-16T00:58:55Z,4193355259,178,,4191559249,141,32.8,4191559253,213,4.9,4191559245,56,Center,4191559251,212,15.0,4191559247,140,58.5,,,,,,,2t5s4f41jefzuzth0bhcixtcl,Rúben Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872823,7,1,1,0,25,a3nyxabgsqlnqfkeg41m6tnpp,1,63.5,43.6,2023-04-15T16:31:12.517Z,2023-04-16T00:58:58Z,4193355505,178,,4191559523,141,61.2,4191559525,212,12.4,4191559527,213,1.8,4191559521,140,60.4,4191559519,56,Center,,,,,,,3gem1jrrkgye0omb88fk1lsk5,J. Stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872865,8,1,1,0,29,a3nyxabgsqlnqfkeg41m6tnpp,1,60.3,51.9,2023-04-15T16:31:17.061Z,2023-04-16T00:59:00Z,4191559783,213,5.1,4193355679,178,,4191559779,141,22.4,4191559771,56,Center,4191559775,140,68.0,4191559781,212,21.6,,,,,,,2t5s4f41jefzuzth0bhcixtcl,Rúben Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
