id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/13/value,keyPass,qualifier/16/value
2494139819,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-12-30T19:00:14.452Z,2022-12-30T19:57:09Z,3960899043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960899039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960899037,130,4,3960899041,194,25yu90pekqr1lhs098f3uxy39,3960899033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3960981333,197,4975,3960899035,59,"1, 66, 26, 14, 32, 4, 19, 6, 27, 11, 15, 2, 5, 8, 13, 21, 28, 42, 43, 50",3960899031,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, eziqega9e25bg939pfh4vjp3p, 25yu90pekqr1lhs098f3uxy39, kvchpptoxgvcyiv358w9gtzp, dxze3b3fsfl814bjcs7q6wcet, dz2rfsmhib89jwilpuub10qcq, dbvpo938uwe0s420lospkethx, 5e300bc3sbmy6iqpvmic34qju, 5ilkkfbsss0bxd6ttdlqg0uz9, 9twvo5p1ge4zfgy5hcu0nsvdh, 29dp5gmu5xbd04mozwxq5tjh1, 2zfjgh5747ge9r9q0thbk123t, 6onkmsi77t7bvk9tpha472vv9, 2r4ox2h5r7doo3ys9ynm2nbo5, 3kwkd3b95n8qzqtq4idxav45x, 6z1du1o69dgamvu2m8yi97dre, 31q177jwvtfisk6irzsu4eiqy, aqjq5mpg6qgnaf1exel9usjys, 5fn9m086q3b5kdgt055bol638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494139851,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-12-30T19:00:21.148Z,2022-12-30T20:09:37Z,3960899195,130,8,3960899191,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3960899193,59,"1, 27, 33, 42, 18, 3, 17, 25, 20, 22, 7, 4, 8, 9, 11, 14, 23, 24, 31, 34",3960899187,30,"5h2biadv4hd2ntcd7zo2c8639, p87gxg8kc9ta6iipqt5fxmtx, 70jmsf551d1sspqnm8t5lrch5, egi71rvlclvis07nzbvjhl9m1, enyatxtjef9lacem6c8cc1mmt, 72d5uxwcmvhd6mzthxuvev1sl, drwacyyicuhy3heg4j0ipqj85, 6tma6gvgf6xphc5gm2el35vbp, otz9c2ifww514ummo10nfoix, 2bkp1lcaxmvwoanxwo0775cdl, 18paf5a7rfe4kutxjl4cwd695, ayyswiouwrh2yn1j75owovob9, eo4uva2gnx08xdazfaqzyz2dx, 6v1o4s2acog9guff3folo1jh1, xm50j2dki5ml1gzx3y0i0zbp, 51xwrb0qit04oz9x01p2gghjp, 4316y525qbk02gs9l3fm8z8b9, 7wu5l9m2kt30c4nifxdi3btg5, bm9qgspytvdwy514kk6ytztg5, dhx0lu8rw0jupzzmbvqe8txwp",3960978461,197,16498,3960899197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960899201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960899199,194,6tma6gvgf6xphc5gm2el35vbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157225,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-12-30T20:01:56.184Z,2022-12-30T20:01:56Z,3960995375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157235,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2022-12-30T20:01:56.184Z,2022-12-31T05:05:44Z,3960995409,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157269,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,49.9,49.7,2022-12-30T20:01:56.188Z,2022-12-31T04:46:26Z,3961477327,178,,3960995595,213,3.1,3960995589,140,29.8,3960995591,141,51.9,3960995593,212,21.2,3960995587,56,Back,3960995597,279,S,,,,6tma6gvgf6xphc5gm2el35vbp,W. Ndidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157283,4,1,1,0,2,avxknfz4f6ob0rv9dbnxdzde0,1,35.9,47.2,2022-12-30T20:01:58.778Z,2022-12-31T05:13:24Z,3960995655,141,92.3,3960995651,56,Left,3960995661,1,,3960995653,140,65.5,3961477641,178,,3961395871,157,,3960995657,212,43.7,3960995659,213,0.8,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157311,5,1,1,0,4,avxknfz4f6ob0rv9dbnxdzde0,1,68.5,91.9,2022-12-30T20:02:00.926Z,2022-12-31T05:13:32Z,3960995827,212,9.3,3960995829,213,5.2,3961477741,178,,3960995825,141,80.0,3960995821,56,Left,3960995823,140,72.8,,,,,,,18paf5a7rfe4kutxjl4cwd695,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157319,6,1,1,0,7,avxknfz4f6ob0rv9dbnxdzde0,1,77.4,88.2,2022-12-30T20:02:03.786Z,2022-12-31T05:13:37Z,3960995863,56,Left,3960995865,140,66.1,3960995871,213,2.8,3960995869,212,12.6,3961477817,178,,3960995867,141,94.4,,,,,,,otz9c2ifww514ummo10nfoix,P. Daka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157345,7,1,1,0,9,avxknfz4f6ob0rv9dbnxdzde0,1,65.1,92.1,2022-12-30T20:02:05.689Z,2022-12-31T05:13:41Z,3960996029,141,73.8,3961477861,178,,3960996027,140,60.0,3960996033,213,4.3,3960996031,212,13.5,3960996025,56,Center,,,,,,,2bkp1lcaxmvwoanxwo0775cdl,K. Dewsbury-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494157357,8,1,1,0,11,avxknfz4f6ob0rv9dbnxdzde0,1,62,77.3,2022-12-30T20:02:07.342Z,2022-12-31T05:13:45Z,3960996093,56,Center,3960996095,140,59.5,3960996099,212,9.7,3960996101,213,4.4,3960996097,141,63.5,3961477915,178,,,,,,,,egi71rvlclvis07nzbvjhl9m1,B. Soumaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
