id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2518493501,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-03-11T16:30:13.945Z,2023-03-12T09:32:41Z,4089148085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089148083,197,406,4089148081,194,3xthf6r5hvlx8oje4rqcs3it,4089148077,130,4,4089148079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089148075,59,"13, 17, 3, 4, 16, 6, 8, 15, 11, 7, 9, 2, 5, 10, 14, 22, 26, 29, 41, 44",4089148073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089148071,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 6dqnwhx0eglxhelidxg0dphm2, 3xthf6r5hvlx8oje4rqcs3it, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, 375gnysvjk9bvq02ex1lkmynd, 6ebb2xcovp1tx5nv5yyncb7x1, 9ikkppq7uewf36gahgz0kzaol, m2c4lckkcr7yilnqxrrsgh2i, 9c927a1i8iqblent14xat7aad, 1rz6bw398na1i3t29rop7ikt1, z0btpgav68n4lqoht3ax3845, 4wic6z72nwmhkheme209fcmp5, djgqihf08sxqh0zt2xe2xzv1l, c9pmcoyzgtgcnlc63cl4283bp, 5nsag404623qznyyizl8yuwkq, 9dnne0ny6o6d5c6w3ayoo4vvu, c6pfpm73pimu0fdt32g86xyei, a7uo47nehqo2irfllck81uqxh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518493621,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-03-11T16:30:17.950Z,2023-03-11T16:30:18Z,4089148717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089148721,197,16396,4089148719,194,9wbf00lybk9fqablaqwg5cn2t,4089148723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089148709,30,"23637o19ff0sw18pqv8g96ndh, 3gem1jrrkgye0omb88fk1lsk5, 7jn9kl5wq29d41ekc2fz2rs2d, 9wbf00lybk9fqablaqwg5cn2t, almf0gtdjmsdm5zhyot1hvydx, 2t5s4f41jefzuzth0bhcixtcl, 693z0rzfh3m0h0wsma9v8c9ux, dqfk7czrayirrvonirtk2mk15, atzboo800gv7gic2rgvgo0kq1, b3974hgsmyff5xtq7qf1onhlh, 72nph557ee2a9tdky8rvk12vp, e9wu8dcamrtj3ftbx3nmhusid, 99d29g8af71vt1hrur06qvy7d, 7fmpgkx58o9pivo2bbnxxkt05, c2jqa9vozhqu7x79h5rr2n1ed, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, exiribcpg9vnuq9ekhlk74dlh, dl10343h8yopcgerzur5samwa, d0azo0spzov2hg6ul40l58e3u",4089148715,130,8,4089148713,59,"31, 5, 6, 8, 25, 3, 47, 16, 9, 20, 10, 2, 4, 14, 17, 18, 19, 26, 80, 82",4089148711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563451,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-03-11T17:30:44.695Z,2023-03-12T00:01:43Z,4089524299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563293,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-03-11T17:30:44.695Z,2023-03-11T17:30:44Z,4089523433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563375,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,50.1,50,2023-03-11T17:30:44.711Z,2023-03-12T01:03:54Z,4089523853,141,51.2,4089523855,212,34.3,4089523851,140,17.4,4089523861,279,S,4089523859,1,,4090947551,178,,4089523857,213,3.1,4089523849,56,Back,9wbf00lybk9fqablaqwg5cn2t,İ. Gündoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563403,4,1,1,0,8,a3nyxabgsqlnqfkeg41m6tnpp,1,29.1,58.2,2023-03-11T17:30:53.560Z,2023-03-12T01:03:59Z,4089524059,141,10.1,4089524061,212,65.3,4089524063,213,5.8,4089524065,1,,4089524053,155,,4090947795,178,,4089524055,56,Right,4089524057,140,82.9,23637o19ff0sw18pqv8g96ndh,Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563409,5,44,1,0,11,a3nyxabgsqlnqfkeg41m6tnpp,1,80.4,13.2,2023-03-11T17:30:56.650Z,2023-03-12T01:58:29Z,4089524097,56,Right,4089524099,286,,4089524955,233,3,,,,,,,,,,,,,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563463,3,44,1,0,11,1c8m2ko0wxq1asfkuykurdr0y,0,19.6,86.8,2023-03-11T17:30:56.651Z,2023-03-12T01:04:03Z,4089524365,285,,4089524961,233,5,4089524361,56,Back,,,,,,,,,,,,,,,,9c927a1i8iqblent14xat7aad,J. Ayew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563419,6,1,1,0,12,a3nyxabgsqlnqfkeg41m6tnpp,1,83.1,11.2,2023-03-11T17:30:56.725Z,2023-03-12T01:58:29Z,4089524147,141,27.4,4089524151,213,2.3,4089524149,212,14.9,4089524143,56,Center,4089524145,140,73.5,4090948109,388,,4089524141,3,,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518563421,7,43,1,0,14,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-03-11T17:30:58.695Z,2023-03-11T17:41:26Z,4089524159,56,Right,4089566525,144,61,,,,,,,,,,,,,,,,,,,b3974hgsmyff5xtq7qf1onhlh,Bernardo Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
