id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2468775789,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-08T13:00:17.670Z,2022-10-08T14:39:45Z,3826895291,197,11560,3826895285,130,8,3826895281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826895279,30,"6j3wbk9xlq4om4m8ih6b3tyvp, bvw1jgmhfyc896gfi6uj0skwl, 7c2wnewpcf1idj6ghj6gu0wyd, 9id859f7xnqwj0jazjzkbjzdh, 5e2zgfe3ltc6qbnoqdfshqsph, b1srdmp4cmwl9k768h8a2ixn9, c83h08n0vnjvfgglyefy03h0p, e6jaaazxqeczj6ziaj0qnqpxx, ed20ebhqi5c32vbbsze8r6yuh, 8nh6qf9i1d0qw7nx4wk25qzth, 93soe2rjn0z874cc9ofcesgkp, ehopba709zukxj4vgcync942d, actvnm36s31zf8wh8hjikzlqt, 22s7hpp9k5ihtc2pwiaytdp05, e9l5r0txzrjbenli05rn3k4wl, 6e6ttu4unqctb2addbnp5cyga, 7usl4495egoptlrd762f0arbp, 8r547g1qv706wo9iqr5unfnpx, dczrgxyolp7lcz413wkz7ap61, 5ql70wwevaoqpxabylew5f696",3826895293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826895289,194,bvw1jgmhfyc896gfi6uj0skwl,3826895287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826895283,59,"1, 28, 32, 5, 14, 26, 23, 12, 29, 19, 10, 8, 9, 16, 17, 18, 21, 22, 24, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468775845,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-08T13:00:25.707Z,2022-10-08T14:01:13Z,3826895611,59,"1, 22, 19, 27, 23, 24, 37, 28, 29, 10, 17, 3, 11, 13, 14, 25, 59, 64, 77",3826895615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3826895621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826895617,194,9l7ph5603tbb7xwyxpvjg22fp,3826895613,130,8,3826895607,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, 7wzwqegxhekjwq361dd2nidp1, 3trkre1c81pzretsjsi8jk6sq, 2nz313c0ot91untg011l3pc6h, 29f3jvukalzylzr19t9phgxgq, e83zd56y74k8uecxqyo5xw7v9, 9l7ph5603tbb7xwyxpvjg22fp, 6s577yqayjceifu1e05f280yd, 50y6nq2eok9lnmldevkamkkwl, 7pmigpf4yfi6dfih8e1ogdwb9, 9jxhgh1vhc531ho0ez5alfazu, dl8x6fzdexn8r0sj65vgcgq8l, ee0c6prj79s48erjp7bgbr3dh, 8i3y6fo1y3gizq05j2im17c6i, ehv4rise2fx4u1wepwtwllb6x, 5he3j18ix8tre84r8uls8ytm2, f1lellpt59ka10kyngi7vsqy2, dez3rm7q89xk157fwnc3tgqcq",3826895609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3826895619,197,4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823797,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2022-10-08T14:00:32.875Z,2022-10-08T22:02:59Z,3827143639,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823809,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-10-08T14:00:32.875Z,2022-10-08T14:00:33Z,3827143669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823849,3,1,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,50.1,50.1,2022-10-08T14:00:32.913Z,2022-10-08T22:34:05Z,3827143835,140,32.0,3827143843,279,S,3827143833,56,Back,3827143841,213,2.8,3827143837,141,61.4,3829738121,178,,3827143839,212,20.5,,,,8nh6qf9i1d0qw7nx4wk25qzth,M. Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823931,4,1,1,0,2,9q0arba2kbnywth8bkxlhgmdr,0,35,60.6,2022-10-08T14:00:35.605Z,2022-10-08T22:34:13Z,3827144209,140,64.0,3829738381,178,,3827144213,212,38.6,3827144217,1,,3827144207,56,Left,3827144205,155,,3827144211,141,95.6,3827144215,213,0.7,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823907,3,44,1,0,5,b9si1jn1lfxfund69e9ogcu2n,1,33.7,3.8,2022-10-08T14:00:38.184Z,2022-10-09T01:24:30Z,3827144115,285,,3827144113,56,Back,3827144315,233,5,,,,,,,,,,,,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823939,5,44,1,0,5,9q0arba2kbnywth8bkxlhgmdr,0,66.3,96.2,2022-10-08T14:00:38.185Z,2022-10-08T22:34:23Z,3827144257,286,,3827144347,233,3,3827144255,56,Left,,,,,,,,,,,,,,,,ed20ebhqi5c32vbbsze8r6yuh,K. Havertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823937,4,1,1,0,5,b9si1jn1lfxfund69e9ogcu2n,0,32.5,2.9,2022-10-08T14:00:38.196Z,2022-10-09T01:24:30Z,3827144253,213,5.6,3827144251,212,4.3,3827144249,141,0.0,3827144245,56,Back,3827144247,140,35.7,3827144243,3,,3829738931,388,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823947,5,5,1,0,6,b9si1jn1lfxfund69e9ogcu2n,0,34.8,-1.1,2022-10-08T14:00:39.187Z,2022-10-08T22:34:34Z,3827144295,56,Back,3827144949,233,6,3827144297,347,,,,,,,,,,,,,,,,,3fhoof7n4sjaizvotcmypb9at,Nélson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
