id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/18/value
2497169217,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-01-14T14:00:01.975Z,2023-01-16T10:20:16Z,3976802519,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 9w5o8b18ffu4qr4bdnfrk4ogl, 6jgocc12bori2wygyu07c082x, 3o0zpl9cnmna2hyk595ja0xrd, bmk0efhzrno1sgr3g8yijoa8l, 6wwagkprtmcadu8p6klcu2uhh, at7mm2zrj2hjhu4bnq1f9noix, 3c7vnmec038bhz5rq36ywi2fp, d542ijpf3j9hdrtt1mfe6vwlx, 6aix9yu384pv1caanqiol231l, 6gq38x5xbyz0moa1sk0aw082x, 9qdm0nxg1g046olii48z3crf9, 4ml8pyt3rxwxakjxslg0c8kb9, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, exviw7gzg5p3vaiwaq4ujw9ud, cm0gwoyh5rdb216fx685a7l5h, 8qezzr83ofw7htqufohg2fwlx, 28f271b9dr7hknp0s82mlu5lh",3976802527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802525,130,4,3976802521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976802533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802523,59,"1, 5, 3, 41, 27, 21, 28, 11, 9, 20, 8, 2, 4, 7, 10, 12, 22, 24, 33, 35",3976802531,197,4983,3976802529,194,6jgocc12bori2wygyu07c082x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169257,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-01-14T14:00:04.618Z,2023-01-16T10:18:39Z,3976802747,197,4986,3976802745,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3976802737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976802735,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, dl8x6fzdexn8r0sj65vgcgq8l, 3trkre1c81pzretsjsi8jk6sq, 9rm3r46uzxlmuqnp0jo4danhm, 9l7ph5603tbb7xwyxpvjg22fp, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, 8rfgwq7hbi4a3imda845vdyvp, 5wa8lzp50ccfhxg3j4f65gt79, ee0c6prj79s48erjp7bgbr3dh, 7wzwqegxhekjwq361dd2nidp1, 29f3jvukalzylzr19t9phgxgq, e83zd56y74k8uecxqyo5xw7v9, 5he3j18ix8tre84r8uls8ytm2, dez3rm7q89xk157fwnc3tgqcq",3976802739,59,"1, 22, 64, 8, 4, 23, 11, 27, 12, 28, 10, 3, 5, 9, 13, 19, 24, 37, 59, 77",3976802741,130,8,3976802749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976802743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211597,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-01-14T15:00:06.701Z,2023-01-14T21:24:29Z,3977029513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211603,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-01-14T15:00:06.701Z,2023-01-14T15:00:09Z,3977029535,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211629,3,1,1,0,0,4txjdaqveermfryvbfrr4taf7,1,49.9,50.1,2023-01-14T15:00:06.766Z,2023-01-14T21:35:06Z,3978599841,178,,3977029647,212,17.7,3977029645,141,53.1,3977029649,213,3.0,3977029643,140,33.2,3977029651,279,S,3977029641,56,Back,,,,6aix9yu384pv1caanqiol231l,Pablo Fornals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211669,4,1,1,0,2,4txjdaqveermfryvbfrr4taf7,0,36.5,50,2023-01-14T15:00:09.603Z,2023-01-14T21:35:30Z,3977029861,141,21.3,3977029863,212,42.4,3977029853,56,Center,3977029849,155,,3977029867,1,,3977029865,213,5.8,3977029857,140,72.3,3978600763,178,,6jgocc12bori2wygyu07c082x,D. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211677,3,44,1,0,5,b9si1jn1lfxfund69e9ogcu2n,1,29.1,77.8,2023-01-14T15:00:12.620Z,2023-01-14T23:54:51Z,3977029893,285,,3977029915,233,5,3977029891,56,Back,,,,,,,,,,,,,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211673,5,44,1,0,5,4txjdaqveermfryvbfrr4taf7,0,70.9,22.2,2023-01-14T15:00:12.621Z,2023-01-14T21:35:36Z,3977029885,286,,3977029883,56,Center,3977030001,233,3,,,,,,,,,,,,,,,,3c7vnmec038bhz5rq36ywi2fp,M. Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211703,4,1,1,0,5,b9si1jn1lfxfund69e9ogcu2n,1,30.7,76.5,2023-01-14T15:00:12.653Z,2023-01-14T23:54:52Z,3977029969,56,Back,3977029967,3,,3977029975,141,95.3,3977029979,213,1.2,3978601083,388,,3977029971,140,36.0,3977029977,212,13.9,,,,2nz313c0ot91untg011l3pc6h,M. Kilman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211755,5,49,1,0,8,b9si1jn1lfxfund69e9ogcu2n,1,36,95.3,2023-01-14T15:00:14.703Z,2023-01-14T21:35:55Z,,,,,,,,,,,,,,,,,,,,,,,,,50y6nq2eok9lnmldevkamkkwl,Daniel Podence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
