id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2494887749,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-01-03T18:45:08.658Z,2023-01-03T18:46:28Z,3964812877,59,"22, 2, 33, 39, 5, 4, 36, 28, 9, 24, 7, 1, 6, 10, 11, 12, 19, 20, 23, 32",3964812879,130,4,3964812881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3964812883,194,65z99j774kjnbf7vm0u2q0jit,3964812885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3964812875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3964812873,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, 5tbabvk43ljv3z3wd9mh0y8r9, 66r7rq9kcoyow46ovmhzrtec5, bijr1ghojrxc61se7ebt72f9x, c589fk8pfqvbukvtdqu1yhjv9, 7w4l5mrrrg66wvdd8ndb5zb9x, 7z5ugeh3ejhwa3c8tg7idkpud, doctoq9o6be1yap6je75w0vrp, 8lst9t1pyjhibrxh7xxl3wn9x, 96yg5g3b9o4gqbo2p299h4gdl, 23oysjfutg5xy1f3o9bapnmxh, cjdycctu96jilvbvnl7ndh9sl, 37d7oej48pb143o5eilue1hhx, exzca2akgjl00jfd2hzh33h7t",3964815531,197,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494887767,1,34,16,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-01-03T18:45:11.745Z,2023-01-03T18:46:34Z,3964812957,30,"6yovfcug6e9hykfauqy0fq67d, cnmlhoum9aahwqruxgmz2gcfd, 3l7amac6wdv9yztupg7ur3kl, dydwiixiims98cx2iihfuf8wl, 65rqu55qbzswixgqw2efna06i, 8libvn3hxypz8x7gm4mr7kj55, b1lcxeihx8z6pfv1jef4j5jh1, 6264xjr1y00yu7b9j2pknalzp, 2im16cd31tgg3yac3c8c18jbp, 8tc7dcuwdeqbjgt7vw5p38xgq, 7ocm7nugzwos59il1pm4eub8q, 8i5ee4fmkqhl1rcuo31qomxud, 57gg79gxvcfqtaoi0ruog7wmh, 2922aevmtpw4qvcwohmxmqtbd, 4qrvwap878sl5dz5n3o8mr71m, 375gnysvjk9bvq02ex1lkmynd, 3imsbq3n9zgkzp668lsbklg45, 98hc25d8y4c7o985f3li1y7ai, hwcrfg4h2ystqbd11qlmj015, 4m5w23fmydm3or1ff42hgeqne",3964812967,194,b1lcxeihx8z6pfv1jef4j5jh1,3964815681,197,15758,3964812961,59,"1, 4, 35, 5, 12, 6, 8, 34, 14, 7, 11, 3, 16, 18, 21, 23, 25, 27, 30, 43",3964812959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3964812963,130,4,3964812965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3964812969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900659,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2023-01-03T19:45:08.693Z,2023-01-03T19:45:08Z,3964884111,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900663,2,32,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-01-03T19:45:08.693Z,2023-01-04T01:20:55Z,3964884127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900671,3,1,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,49.8,49.6,2023-01-03T19:45:08.707Z,2023-01-04T01:26:47Z,3964884167,141,47.0,3964884163,56,Back,3964884165,140,32.3,3964884169,212,18.5,3965057289,178,,3964884171,213,3.2,3964884173,279,S,,,,9pv566tidfz21e00y4t0mbap5,S. Longstaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900683,4,1,1,0,2,7vn2i2kd35zuetw6b38gw9jsz,1,32.3,50.9,2023-01-03T19:45:11.244Z,2023-01-04T01:26:52Z,3965057297,178,,3964884207,140,35.2,3964884205,56,Back,3964884211,212,16.5,3964884209,141,74.7,3964884213,213,1.4,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900699,5,1,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,1,36.9,76.4,2023-01-03T19:45:14.154Z,2023-01-04T01:26:55Z,3964884297,141,47.8,3964884301,212,20.1,3964884305,213,4.5,3964884295,140,32.1,3964884293,56,Back,3965057313,178,,,,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900713,6,1,1,0,8,7vn2i2kd35zuetw6b38gw9jsz,1,29.1,45.5,2023-01-03T19:45:17.029Z,2023-01-04T01:27:01Z,3964884389,140,31.0,3965057321,178,,3964884387,56,Back,3964884391,141,72.9,3964884393,212,18.7,3964884395,213,1.5,,,,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900721,7,1,1,0,11,7vn2i2kd35zuetw6b38gw9jsz,1,32.4,76.1,2023-01-03T19:45:20.034Z,2023-01-04T01:27:04Z,3964884439,212,13.9,3964884441,213,1.2,3964884437,141,95.3,3964884435,140,36.9,3964884433,56,Back,3965057329,178,,,,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494900733,8,1,1,0,14,7vn2i2kd35zuetw6b38gw9jsz,0,37.6,96.2,2023-01-03T19:45:22.927Z,2023-01-04T01:27:07Z,3965057337,178,,3964884521,213,5.9,3964884517,141,66.1,3964884525,1,,3964884511,155,,3964884515,140,89.5,3964884513,56,Center,3964884519,212,58.2,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
