id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/13/value,qualifier/16/value,qualifier/18/value
2493214867,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-12-26T14:00:01.993Z,2022-12-26T15:00:49Z,3955980403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955980413,197,4986,3955980401,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, csinkvzxcphggdjeflmo173zd, 2nz313c0ot91untg011l3pc6h, 5he3j18ix8tre84r8uls8ytm2, 9l7ph5603tbb7xwyxpvjg22fp, 6s577yqayjceifu1e05f280yd, dl8x6fzdexn8r0sj65vgcgq8l, 50y6nq2eok9lnmldevkamkkwl, 9jxhgh1vhc531ho0ez5alfazu, 5wa8lzp50ccfhxg3j4f65gt79, ee0c6prj79s48erjp7bgbr3dh, 7pmigpf4yfi6dfih8e1ogdwb9, 29f3jvukalzylzr19t9phgxgq, ehv4rise2fx4u1wepwtwllb6x, 3trkre1c81pzretsjsi8jk6sq, e83zd56y74k8uecxqyo5xw7v9, bneorqmd5k8h08fcaiapmhox6",3955980407,130,4,3955980415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980405,59,"1, 22, 64, 8, 4, 23, 59, 28, 29, 11, 10, 3, 9, 13, 17, 24, 25, 27, 37, 81",3955980411,194,8kw1y8mzxtwl4fv8qkc8hoc7p,3955980409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493214879,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-12-26T14:00:05.302Z,2022-12-26T15:28:49Z,3955980523,194,e8dina16u5kt5ho4u5igtmimt,3955980509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955980505,30,"e8dina16u5kt5ho4u5igtmimt, a559ewan4122b6orx6d0f6s16, 9o1vesnpfiucpoq35ihhpstex, do3duah478rhz9cg2icde4h9m, d4vdrtte9kb9qmlkrx1rvgk45, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, ceerfv28fygp7m2euv5n5uu39, xu7mykgl15kaib3olilmsez9, 8mjj0wgufggpc1ai2dk21h90p, 7qgt7sht6py670pt6t4wjhqay, 4njl5iqybub0cxbhjh2xbft9l, 4n782p6eaok71ai7ecj1jo1jp, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, 8ro3lpzufz8ea9pa2j1jivqad, 9nq9bocnqq6bu8ho4m26qmkt1, cpd8prwzxf0rzevtk33fpryt, 4nk3po2hbfahzgq57g8k4cg6h, anpfg5yoixkfqipv6yj45h3sa",3955980517,130,4,3955980527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955980513,59,"1, 3, 19, 8, 13, 2, 17, 27, 20, 10, 7, 4, 11, 15, 16, 22, 23, 26, 29, 47",3955980525,197,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235813,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-12-26T15:00:43.579Z,2022-12-27T13:23:07Z,3956096269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235823,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2022-12-26T15:00:43.579Z,2022-12-26T15:00:44Z,3956096313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235839,3,1,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,50,50,2022-12-26T15:00:43.595Z,2022-12-27T00:40:17Z,3956096399,279,S,3957281115,178,,3956096397,213,3.2,3956096391,140,37.6,3956096395,212,13.0,3956096393,141,49.3,3956096389,56,Back,,,,xu7mykgl15kaib3olilmsez9,N. Maupay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235867,4,1,1,0,1,ehd2iemqmschhj2ec0vayztzz,1,38,43.7,2022-12-26T15:00:45.498Z,2022-12-27T00:40:21Z,3956096533,141,3.4,3956096535,212,27.7,3956096537,213,4.9,3956096531,140,41.8,3956096529,56,Back,3957281141,178,,,,,,,,do3duah478rhz9cg2icde4h9m,A. Onana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235895,5,1,1,0,5,ehd2iemqmschhj2ec0vayztzz,1,34.7,15,2022-12-26T15:00:48.660Z,2022-12-27T00:40:24Z,3956096663,56,Back,3956096667,141,28.3,3957281153,178,,3956096665,140,12.4,3956096671,213,2.8,3956096669,212,25.1,,,,,,,a559ewan4122b6orx6d0f6s16,N. Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235925,6,1,1,0,8,ehd2iemqmschhj2ec0vayztzz,1,12.4,28.3,2022-12-26T15:00:51.868Z,2022-12-27T00:40:27Z,3956096775,212,20.9,3956096777,213,2.0,3956096771,140,4.1,3956096769,56,Back,3956096773,141,56.3,3957281171,178,,,,,,,,d4vdrtte9kb9qmlkrx1rvgk45,Y. Mina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235955,7,1,1,0,9,ehd2iemqmschhj2ec0vayztzz,1,4.1,56.3,2022-12-26T15:00:53.421Z,2022-12-27T00:40:31Z,3957281193,178,,3956096881,1,,3956096879,213,0.4,3956096873,140,34.4,3956096869,157,,3956096877,212,35.0,3956096871,56,Back,3956096875,141,77.8,e8dina16u5kt5ho4u5igtmimt,J. Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493235961,8,44,1,0,12,ehd2iemqmschhj2ec0vayztzz,1,35.4,77,2022-12-26T15:00:56.281Z,2022-12-27T00:58:50Z,3956096915,285,,3956096913,56,Back,3956097009,233,3,,,,,,,,,,,,,,,,ceerfv28fygp7m2euv5n5uu39,I. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
