id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2506124475,1,34,16,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-02-11T11:30:10.700Z,2023-02-11T11:30:10Z,4023874463,130,17,4023874471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023874459,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4023874469,197,4983,4023874461,59,"1, 5, 33, 27, 21, 24, 11, 41, 9, 20, 22, 2, 8, 10, 12, 18, 28, 47, 49",4023874465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4023874467,194,6jgocc12bori2wygyu07c082x,4023874457,30,"eagrmpe9ft8daly57l1ja8lhx, 4ryipy52oscxkv71ws0os5w5, 8qezzr83ofw7htqufohg2fwlx, 3o0zpl9cnmna2hyk595ja0xrd, bmk0efhzrno1sgr3g8yijoa8l, cm0gwoyh5rdb216fx685a7l5h, at7mm2zrj2hjhu4bnq1f9noix, 6jgocc12bori2wygyu07c082x, 3c7vnmec038bhz5rq36ywi2fp, d542ijpf3j9hdrtt1mfe6vwlx, exviw7gzg5p3vaiwaq4ujw9ud, 6gq38x5xbyz0moa1sk0aw082x, 6aix9yu384pv1caanqiol231l, ebj88k2kxp7r1x6lmrqacuaj9, 44zyk38a8ffdjr5bmj355bt2h, ashza2qkgnak7wb3vuz5bnzyt, 6wwagkprtmcadu8p6klcu2uhh, 4cdgbq2ls5tc6dcxrkqesu0kq, 7k7o8g8r453gp1hvqaia1rywa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506124555,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-02-11T11:30:27.429Z,2023-02-11T11:30:27Z,4023874969,197,4965,4023874959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4023874971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023874963,130,8,4023874957,30,"6j3wbk9xlq4om4m8ih6b3tyvp, dczrgxyolp7lcz413wkz7ap61, 7c2wnewpcf1idj6ghj6gu0wyd, 1zxwich342p8fholev7ddkwh6, c6pqhaqusk8s1c2m21i5wtrkl, 5g5wwp5luxo1rz1kp6chvz0x6, e3il1t1s5lrn4g8t85fcm40oa, e6jaaazxqeczj6ziaj0qnqpxx, ed20ebhqi5c32vbbsze8r6yuh, 4z60ztggqxzfbp8w9ijoqefop, ay02byqc6zdrh5xy3d4fy5qay, 9l3cvbbgw484v7la0bjv43mj9, 5e2zgfe3ltc6qbnoqdfshqsph, 8nh6qf9i1d0qw7nx4wk25qzth, 7usl4495egoptlrd762f0arbp, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, 6ita8t40qk3b85mrqpq71gjys, bvw1jgmhfyc896gfi6uj0skwl, 5ql70wwevaoqpxabylew5f696",4023874967,194,c6pqhaqusk8s1c2m21i5wtrkl,4023874965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4023874961,59,"1, 24, 32, 5, 6, 4, 31, 12, 29, 11, 15, 13, 14, 19, 21, 22, 23, 27, 28, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151803,2,32,1,0,0,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-02-11T12:31:52.578Z,2023-02-11T18:27:20Z,4024010397,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151771,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-02-11T12:31:52.578Z,2023-02-11T12:31:52Z,4024010255,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151849,3,1,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,50,50,2023-02-11T12:31:52.724Z,2023-02-11T18:33:03Z,4026124601,178,,4024010587,212,19.1,4024010585,141,41.0,4024010581,56,Back,4024010589,213,3.5,4024010591,279,S,4024010583,140,32.8,,,,4z60ztggqxzfbp8w9ijoqefop,João Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151889,4,1,1,0,4,9q0arba2kbnywth8bkxlhgmdr,0,35.1,35.5,2023-02-11T12:31:57.301Z,2023-02-11T18:33:33Z,4026127003,178,,4024010769,155,,4024010777,212,39.1,4024010781,1,,4024010775,141,53.7,4024010771,56,Center,4024010779,213,0.3,4024010773,140,70.4,c6pqhaqusk8s1c2m21i5wtrkl,Thiago Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151885,3,44,1,0,7,4txjdaqveermfryvbfrr4taf7,1,28.1,48.6,2023-02-11T12:32:00.334Z,2023-02-11T20:47:40Z,4024010759,56,Back,4024010825,233,5,4024010761,285,,,,,,,,,,,,,,,,,bmk0efhzrno1sgr3g8yijoa8l,A. Ogbonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151893,5,44,1,0,7,9q0arba2kbnywth8bkxlhgmdr,0,71.9,51.4,2023-02-11T12:32:00.335Z,2023-02-11T18:33:36Z,4024010881,233,3,4024010795,56,Center,4024010797,286,,,,,,,,,,,,,,,,,4z60ztggqxzfbp8w9ijoqefop,João Félix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151905,4,1,1,0,7,4txjdaqveermfryvbfrr4taf7,1,28.9,45.6,2023-02-11T12:32:00.415Z,2023-02-11T20:47:40Z,4024010853,56,Back,4024010863,212,8.4,4024010859,141,47.4,4026127385,388,,4024010857,140,36.8,4024010851,3,,4024010865,213,0.1,,,,bmk0efhzrno1sgr3g8yijoa8l,A. Ogbonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506151911,5,49,1,0,8,4txjdaqveermfryvbfrr4taf7,1,34.4,52.1,2023-02-11T12:32:00.890Z,2023-02-11T18:33:44Z,,,,,,,,,,,,,,,,,,,,,,,,,at7mm2zrj2hjhu4bnq1f9noix,Lucas Paquetá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
