id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2476156883,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-10-23T12:00:41.076Z,2022-10-23T13:06:19Z,3866051353,59,"1, 2, 18, 6, 4, 5, 11, 32, 9, 10, 31, 7, 8, 16, 19, 20, 23, 25, 35, 41",3866051355,130,8,3866051361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866359051,197,397,3866051357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866051351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866051359,194,3zl1q2gk6tdmzirsyfgm38no5,3866051349,30,"3zl1q2gk6tdmzirsyfgm38no5, 1e9txzr9hqz94xtun6byo0vs9, 7paw998ux29k7hx4t1g0wu85x, 7j84ozqdpgupzxevbxemi5tyh, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, 5m0j33eoa5c8pqlr0tdf7undh, 1emj0rlthc8syfleox4c39kut, ashza2qkgnak7wb3vuz5bnzyt, l0qqn9tlgov91p5d1zzdupcl, 4jyrztlaueae7eg18kuvxa489, btvuam6p4391am219taqtcted, d394go61g90f1u6bddu1narit, 172klpuv2h1enskc8fz79xg45, bq2q90k6q53nlf53et7j46cid, 1tbc8iokapjgu8zjrc1knq28l, 3vxh219sef8mooilemi8xbs9h, 4myy5br8yj5678xlji3up1ryt, 7gaf68yeu28zp80kkb0tqgpd6, bhsh1n3qfg8awmctxlh8k7yzt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476156951,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-23T12:00:45.815Z,2022-10-23T13:04:04Z,3866051657,30,"4iijb6llnz28unsz4rirr3umt, 68n1ydedtlw2s6toghw9qiprd, 2nzefp5pwvldt2ttmxfeakamt, d9a62lhx21b0ym73rxd6mw8h5, 45zetxtrvjb3muvcrr9b5it3p, 32bvxwhceid2xdcfx6cd8a8d1, 34b0oqo4725okjxxngin9piw9, dtol82tjlq48bs0s70sisguz9, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, 9k8gysrsy1a261nhcszo4aoyx, eg2jk0f0l2l1gurwwn2au6nyt, bs7iyv9ys61m88qh4rvb0tpzp, bxjc2heo4ve54cyvw98qcck45, 2xgvd7xovqcd6q30m59dbi11x, 66939rcic8zhw13nlcniiq4t1, ek0k9s7axizns3vtzyy3z5nu, 84xefpsrml48n7czpnruzxkru, d1x9pweudkl8eo360kvdc838q, 6o4pt3ffe9ogxcbdv694sr5uy",3866051661,59,"1, 30, 3, 5, 13, 20, 15, 8, 17, 19, 27, 7, 10, 11, 14, 16, 24, 26, 32, 34",3866051669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866390847,197,2058,3866051663,130,12,3866051665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866051659,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3866051667,194,b36foqukxn8obd969q6sea7yt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219757,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2022-10-23T13:01:23.070Z,2022-10-23T20:01:31Z,3866372685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219771,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2022-10-23T13:01:23.070Z,2022-10-23T13:01:24Z,3866372805,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219809,3,1,1,0,0,b496gs285it6bheuikox6z9mj,1,50,50,2022-10-23T13:01:23.080Z,2022-10-23T20:06:45Z,3866373035,56,Back,3868475597,178,,3866373037,140,37.0,3866373045,279,S,3866373043,213,2.7,3866373039,141,59.4,3866373041,212,15.1,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219895,4,1,1,0,2,b496gs285it6bheuikox6z9mj,1,34,56.3,2022-10-23T13:01:25.988Z,2022-10-23T20:06:48Z,3866373427,213,4.2,3866373425,212,26.9,3866373423,141,21.3,3866373419,56,Back,3868475713,178,,3866373421,140,22.0,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219957,5,1,1,0,5,b496gs285it6bheuikox6z9mj,1,22,21.3,2022-10-23T13:01:28.828Z,2022-10-23T20:06:52Z,3866373717,213,5.4,3868475879,178,,3866373715,212,16.4,3866373709,56,Back,3866373713,141,3.2,3866373711,140,32.3,,,,,,,8qys6qtdwgsycxducl062zld5,E. Konsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476219965,6,1,1,0,7,b496gs285it6bheuikox6z9mj,0,32.3,3.2,2022-10-23T13:01:30.954Z,2022-10-23T20:06:56Z,3866373771,212,3.8,3866373769,141,3.2,3868476229,178,,3866373765,56,Back,3866373767,140,35.9,3866373773,213,0.0,3866373763,155,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476291959,346,61,1,0,8,7yx5dqhhphyvfisohikodajhv,1,61.8,98.1,2022-10-23T13:01:31.180Z,2022-10-23T20:07:01Z,3866762125,56,Left,3868476459,15,,3868476461,178,,,,,,,,,,,,,,,,,2nzefp5pwvldt2ttmxfeakamt,R. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476220143,7,1,1,0,15,b496gs285it6bheuikox6z9mj,1,71.1,5.5,2022-10-23T13:01:38.162Z,2022-10-23T20:07:04Z,3866374743,140,80.4,3868476727,178,,3866374747,141,3.5,3866374753,213,6.1,3866374741,56,Right,3866374749,212,9.9,,,,,,,5m0j33eoa5c8pqlr0tdf7undh,O. Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
