id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/9/value,assist,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2518262161,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-03-11T14:00:02.349Z,2023-03-11T15:36:44Z,4087941117,59,"1, 21, 27, 3, 15, 18, 22, 24, 20, 14, 10, 6, 7, 9, 25, 26, 31, 33, 37, 42",4087941121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087941113,30,"5h2biadv4hd2ntcd7zo2c8639, 33p3p5buydosugm9alv57o0r9, p87gxg8kc9ta6iipqt5fxmtx, 72d5uxwcmvhd6mzthxuvev1sl, dfqpevw7bneap02x7mxo74pgp, enyatxtjef9lacem6c8cc1mmt, 2bkp1lcaxmvwoanxwo0775cdl, 7wu5l9m2kt30c4nifxdi3btg5, otz9c2ifww514ummo10nfoix, 51xwrb0qit04oz9x01p2gghjp, a1yoz8f4985o166nzcyigpj2t, 7o49rb7fgi2ml87up7hh2z0t1, 18paf5a7rfe4kutxjl4cwd695, 6v1o4s2acog9guff3folo1jh1, 6tma6gvgf6xphc5gm2el35vbp, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, 70jmsf551d1sspqnm8t5lrch5, 79nno03ww57p02dz5o0g60rqi, egi71rvlclvis07nzbvjhl9m1",4087941119,130,13,4087941127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087941123,194,a1yoz8f4985o166nzcyigpj2t,4087941115,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087941125,197,16498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518262193,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-03-11T14:00:04.925Z,2023-03-11T15:01:08Z,4087941263,197,14892,4087941261,194,ehopba709zukxj4vgcync942d,4087941255,59,"1, 12, 21, 32, 26, 33, 5, 8, 15, 29, 11, 4, 10, 13, 14, 20, 22, 23, 30, 31",4087941265,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087941251,30,"6j3wbk9xlq4om4m8ih6b3tyvp, e6jaaazxqeczj6ziaj0qnqpxx, 7usl4495egoptlrd762f0arbp, 7c2wnewpcf1idj6ghj6gu0wyd, b1srdmp4cmwl9k768h8a2ixn9, 7yirx71oya71zjsgldj5ucqcq, 1zxwich342p8fholev7ddkwh6, ehopba709zukxj4vgcync942d, ay02byqc6zdrh5xy3d4fy5qay, ed20ebhqi5c32vbbsze8r6yuh, 4z60ztggqxzfbp8w9ijoqefop, 5g5wwp5luxo1rz1kp6chvz0x6, 93soe2rjn0z874cc9ofcesgkp, 9l3cvbbgw484v7la0bjv43mj9, 5e2zgfe3ltc6qbnoqdfshqsph, 2jc6sdkse1kxjztsgystidot1, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, 5ql70wwevaoqpxabylew5f696, e3il1t1s5lrn4g8t85fcm40oa",4087941259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087941257,130,13,4087941253,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321067,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2023-03-11T15:00:15.459Z,2023-03-11T21:34:53Z,4088247803,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321077,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-03-11T15:00:15.459Z,2023-03-11T15:00:16Z,4088247837,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321101,3,1,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,50,50,2023-03-11T15:00:15.496Z,2023-03-11T21:50:52Z,4088247925,141,46.7,4088247931,279,S,4088247929,213,3.3,4088247927,212,11.6,4088247923,140,39.2,4088247921,56,Back,4090520671,178,,,,,otz9c2ifww514ummo10nfoix,P. Daka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321199,4,1,1,0,2,avxknfz4f6ob0rv9dbnxdzde0,0,42.8,49,2023-03-11T15:00:17.660Z,2023-03-11T21:50:56Z,4088248379,141,100.0,4088248373,155,,4088248377,140,92.5,4090520873,178,,4088248375,56,Left,4088248385,1,,4088248383,213,0.6,4088248381,212,63.1,2bkp1lcaxmvwoanxwo0775cdl,K. Dewsbury-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321189,3,56,1,0,6,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-03-11T15:00:21.932Z,2023-03-11T21:51:00Z,4088248341,56,Back,,,,,,,,,,,,,,,,,,,,,,e6jaaazxqeczj6ziaj0qnqpxx,R. Loftus-Cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321361,4,5,1,0,7,9q0arba2kbnywth8bkxlhgmdr,1,9,-1.4,2023-03-11T15:00:22.774Z,2023-03-11T21:51:05Z,4088249145,56,Back,4088249147,347,,4088249185,233,5,,,,,,,,,,,,,,,,e6jaaazxqeczj6ziaj0qnqpxx,R. Loftus-Cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321203,5,5,1,0,7,avxknfz4f6ob0rv9dbnxdzde0,0,91,101.4,2023-03-11T15:00:22.774Z,2023-03-11T21:51:05Z,4088248401,347,,4088249201,233,4,4088248399,56,Left,,,,,,,,,,,,,,,,2bkp1lcaxmvwoanxwo0775cdl,K. Dewsbury-Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321385,5,1,1,0,17,9q0arba2kbnywth8bkxlhgmdr,0,10.7,0,2023-03-11T15:00:32.838Z,2023-03-11T21:51:11Z,4088249269,141,3.8,4088249263,107,,4088249267,140,21.9,4088249273,213,0.3,4088249271,212,12.3,4088249265,56,Back,,,,,,,e6jaaazxqeczj6ziaj0qnqpxx,R. Loftus-Cheek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
