id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2508057665,2,34,16,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-02-15T18:30:09.342Z,2023-02-15T19:26:51Z,4034105113,197,15758,4034000723,130,4,4034000725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4034000719,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4034000717,30,"6yovfcug6e9hykfauqy0fq67d, 2922aevmtpw4qvcwohmxmqtbd, 3l7amac6wdv9yztupg7ur3kl, 9id859f7xnqwj0jazjzkbjzdh, 65rqu55qbzswixgqw2efna06i, 8libvn3hxypz8x7gm4mr7kj55, b1lcxeihx8z6pfv1jef4j5jh1, 6264xjr1y00yu7b9j2pknalzp, 2im16cd31tgg3yac3c8c18jbp, 8tc7dcuwdeqbjgt7vw5p38xgq, 7ocm7nugzwos59il1pm4eub8q, 8i5ee4fmkqhl1rcuo31qomxud, cnmlhoum9aahwqruxgmz2gcfd, 8585juruxxi6z8ih6kfqvrj6x, 57gg79gxvcfqtaoi0ruog7wmh, 8qwpdf5jof7o6yy47v6iv11hx, 4qrvwap878sl5dz5n3o8mr71m, bzummkjt2ya27kvolzmqn91wp, hwcrfg4h2ystqbd11qlmj015, 2yoxu5l99k95yopdj4nufask4",4034000727,194,b1lcxeihx8z6pfv1jef4j5jh1,4034000721,59,"1, 18, 35, 20, 12, 6, 8, 34, 14, 7, 11, 3, 4, 15, 16, 19, 21, 24, 30, 85",4034000729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508057691,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-15T18:30:14.151Z,2023-02-15T22:41:32Z,4034000893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4034000885,30,"23637o19ff0sw18pqv8g96ndh, e9wu8dcamrtj3ftbx3nmhusid, b3974hgsmyff5xtq7qf1onhlh, dqfk7czrayirrvonirtk2mk15, 2t5s4f41jefzuzth0bhcixtcl, 7jn9kl5wq29d41ekc2fz2rs2d, exiribcpg9vnuq9ekhlk74dlh, c2jqa9vozhqu7x79h5rr2n1ed, atzboo800gv7gic2rgvgo0kq1, 9wbf00lybk9fqablaqwg5cn2t, 72nph557ee2a9tdky8rvk12vp, 99d29g8af71vt1hrur06qvy7d, 7fmpgkx58o9pivo2bbnxxkt05, 5d6d4oc2rpau0mbbbt2dmtzv9, 9ikkuxd19avliz1khcrm82gyy, d4tdx2ctadv6kc3tbq4as8bmx, almf0gtdjmsdm5zhyot1hvydx, 693z0rzfh3m0h0wsma9v8c9ux, dl10343h8yopcgerzur5samwa, d0azo0spzov2hg6ul40l58e3u",4034109957,197,4978,4034000895,194,9wbf00lybk9fqablaqwg5cn2t,4034000887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4034000889,59,"31, 2, 20, 16, 3, 6, 26, 17, 9, 8, 10, 4, 14, 18, 19, 21, 25, 47, 80, 82",4034000891,130,7,4034000897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078215,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-15T19:30:08.195Z,2023-02-15T19:30:08Z,4034113065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078219,3,32,1,0,0,4dsgumo7d4zupm2ugsvm4zm4d,1,0,0,2023-02-15T19:30:08.195Z,2023-02-16T02:47:43Z,4034113081,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078251,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,50.1,50,2023-02-15T19:30:08.266Z,2023-02-16T02:58:19Z,4034113227,141,47.6,4034113229,212,15.5,4034113225,140,35.4,4034924663,178,,4034113231,213,3.2,4034113223,56,Back,4034113233,279,S,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078259,4,1,1,0,2,a3nyxabgsqlnqfkeg41m6tnpp,1,34.5,47.9,2023-02-15T19:30:10.527Z,2023-02-16T02:58:23Z,4034924693,178,,4034113283,141,83.8,4034113277,56,Back,4034113279,140,32.3,4034113287,213,1.7,4034113285,212,24.5,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078289,5,1,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,32.1,85,2023-02-15T19:30:13.316Z,2023-02-16T02:58:29Z,4034113443,141,95.7,4034113439,56,Back,4034113447,213,0.6,4034924755,178,,4034113441,140,42.4,4034113445,212,13.0,,,,,,,7jn9kl5wq29d41ekc2fz2rs2d,N. Aké,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078313,6,1,1,0,7,a3nyxabgsqlnqfkeg41m6tnpp,1,37.4,95.1,2023-02-15T19:30:15.791Z,2023-02-16T02:58:32Z,4034113575,140,23.2,4034113577,141,92.9,4034113581,212,15.0,4034924785,178,,4034113573,56,Back,4034113585,213,3.2,,,,,,,72nph557ee2a9tdky8rvk12vp,J. Grealish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078347,7,1,1,0,10,a3nyxabgsqlnqfkeg41m6tnpp,1,21.8,87.7,2023-02-15T19:30:19.189Z,2023-02-16T02:58:37Z,4034113803,140,2.3,4034113805,141,72.4,4034113807,212,23.0,4034924835,178,,4034113801,56,Back,4034113809,213,3.6,,,,,,,7jn9kl5wq29d41ekc2fz2rs2d,N. Aké,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508078363,8,1,1,0,12,a3nyxabgsqlnqfkeg41m6tnpp,0,2.3,72.4,2023-02-15T19:30:20.909Z,2023-02-16T02:58:40Z,4034113903,56,Center,4034113913,1,,4034113907,141,65.2,4034113901,157,,4034113909,212,54.5,4034113905,140,54.0,4034113911,213,6.2,4034924879,178,,23637o19ff0sw18pqv8g96ndh,Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
