id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/17/value,assist,qualifier/19/value
2494710771,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-01-02T16:30:57.631Z,2023-01-02T16:30:57Z,3963887179,59,"1, 66, 21, 3, 5, 4, 19, 6, 27, 11, 15, 2, 8, 17, 26, 28, 32, 43, 47, 62",3963887187,197,17483,3963887185,194,dxze3b3fsfl814bjcs7q6wcet,3963887189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963887175,30,"53d0pvr7ylvfhp6p749iniqc5, 19z8jmren3eytg7fbuzqv73kl, 3kwkd3b95n8qzqtq4idxav45x, 7mms3tmwizhtvzakotl4hv0et, 2zfjgh5747ge9r9q0thbk123t, dxze3b3fsfl814bjcs7q6wcet, dz2rfsmhib89jwilpuub10qcq, dbvpo938uwe0s420lospkethx, 5e300bc3sbmy6iqpvmic34qju, 5ilkkfbsss0bxd6ttdlqg0uz9, 9twvo5p1ge4zfgy5hcu0nsvdh, 29dp5gmu5xbd04mozwxq5tjh1, 6onkmsi77t7bvk9tpha472vv9, 3kdl679ra6mlobdg09xqf7fft, eziqega9e25bg939pfh4vjp3p, 6z1du1o69dgamvu2m8yi97dre, kvchpptoxgvcyiv358w9gtzp, aqjq5mpg6qgnaf1exel9usjys, 8ckml3ywxcyv3w7978rki88vd, dpw4s6nbkfcrjlqxxgf9j5yhh",3963887177,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3963887183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963887181,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494710957,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-01-02T16:31:10.706Z,2023-01-02T16:31:10Z,3963888149,197,2058,3963888151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963888147,194,8ju1opnca42o8i00wq3onzmqd,3963888145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963888137,30,"4iijb6llnz28unsz4rirr3umt, 68n1ydedtlw2s6toghw9qiprd, 2nzefp5pwvldt2ttmxfeakamt, 66939rcic8zhw13nlcniiq4t1, d9a62lhx21b0ym73rxd6mw8h5, 45zetxtrvjb3muvcrr9b5it3p, dtol82tjlq48bs0s70sisguz9, 9k8gysrsy1a261nhcszo4aoyx, bxjc2heo4ve54cyvw98qcck45, v78uhwxgzojcec8lsdvucusp, 8ju1opnca42o8i00wq3onzmqd, eg2jk0f0l2l1gurwwn2au6nyt, bs7iyv9ys61m88qh4rvb0tpzp, 2xgvd7xovqcd6q30m59dbi11x, ebzt12h6z4a9mok0rohagmzf9, 7j36oy8n0tu8ps0haqb4es48a, ek0k9s7axizns3vtzyy3z5nu, a87w6l9zsbahdi4knm1347zs9, d1x9pweudkl8eo360kvdc838q, b91jtshzqg3p3gphwltekxxxw",3963888143,130,12,3963888141,59,"1, 30, 3, 16, 5, 13, 8, 27, 11, 19, 6, 7, 10, 14, 22, 23, 24, 29, 32, 35",3963888139,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734795,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-01-02T17:31:11.578Z,2023-01-02T23:48:00Z,3964014905,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734791,2,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-01-02T17:31:11.578Z,2023-01-02T17:31:11Z,3964014889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734797,3,1,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,50.2,50,2023-01-02T17:31:11.615Z,2023-01-02T23:55:41Z,3964014913,212,17.9,3964014909,140,34.2,3964014911,141,40.9,3964014907,56,Back,3964014915,213,3.5,3964014917,279,S,3964199751,178,,,,,dz2rfsmhib89jwilpuub10qcq,H. Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734801,4,1,1,0,3,c8h9bw1l82s06h77xxrelzhur,0,34.4,40.6,2023-01-02T17:31:14.590Z,2023-01-02T23:55:44Z,3964014991,213,0.6,3964199759,178,,3964014987,141,81.4,3964014985,140,76.9,3964014993,1,,3964014989,212,52.5,3964014983,56,Left,3964014981,155,,2zfjgh5747ge9r9q0thbk123t,I. Konaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734807,3,61,1,0,6,7yx5dqhhphyvfisohikodajhv,1,24.2,24.5,2023-01-02T17:31:17.959Z,2023-01-02T23:55:51Z,3964199775,15,,3964199777,178,,3964015015,56,Back,,,,,,,,,,,,,,,,45zetxtrvjb3muvcrr9b5it3p,M. Jørgensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734819,4,49,1,0,9,7yx5dqhhphyvfisohikodajhv,1,16.1,8.3,2023-01-02T17:31:20.595Z,2023-01-02T23:56:01Z,,,,,,,,,,,,,,,,,,,,,,,,,68n1ydedtlw2s6toghw9qiprd,M. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734843,5,1,1,0,9,7yx5dqhhphyvfisohikodajhv,0,15.4,10.6,2023-01-02T17:31:20.639Z,2023-01-02T23:56:03Z,3964015099,213,6.1,3964015101,1,,3964015097,212,45.0,3964015095,141,0.0,3964015091,56,Right,3964015093,140,57.5,3964015089,157,,3964199807,178,,68n1ydedtlw2s6toghw9qiprd,M. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494734881,5,5,1,0,11,c8h9bw1l82s06h77xxrelzhur,1,47.4,101.3,2023-01-02T17:31:23.153Z,2023-01-02T23:56:07Z,3964015277,56,Back,3964015281,233,6,3964015279,347,,,,,,,,,,,,,,,,,5e300bc3sbmy6iqpvmic34qju,D. Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
