id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2452463595,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-28T14:30:17.731Z,2022-08-28T15:33:43Z,3740095101,30,"5z8ycnd0smdkumi5fgtzf7c9h, 3mgjcyaseuexxlssgatjgsand, 1vklxifs8qpj71s4reu3pkw5x, 12cgiy0t282ywdbr5j78hrxsl, av7e2wk5ub7qnh3sqcvssvh79, 1tuivl8zdnsaz8vbed2z582qx, ece7xph4emgawvh7mr56319ex, dcq0nu7mmecab5djjwg0n8ktm, 5f72vvw62zdlyrj3mwux2udat, 1l228p52d8wdf8qhfxqu8rca, 55yy0p6johtu9nxk90zsfctt5, esb4b21x729db8od4c4xt8ciy, 25kl6261u9xft9cfvot8aezf9, 55eiicx10oqok1601fqyovt1x, 8bhdwi4p824s82bbzkh2vy6t, 8kfciybd6filv663ebckuerjd, mpzi06x1j85ahwkrbsa20kmi, a6m9jcx0e4l6krv1u0pbfuoyd, 19nlw3sa0khwz0el4wqc7zrp, 3ztcz2dgfniqv141w7xsky7zd",3740095115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740095113,197,4782,3740095107,130,17,3740095109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740095105,59,"1, 7, 15, 26, 3, 4, 22, 14, 11, 20, 10, 2, 8, 9, 13, 16, 17, 21, 23, 25",3740095111,194,1tuivl8zdnsaz8vbed2z582qx,3740095103,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452463617,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-08-28T14:30:20.934Z,2022-08-28T14:30:21Z,3740095235,194,ombvyo6p3p5khkn91vubvpat,3740095233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740095225,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, az7wa6km1zhvsb8y4mndlogyd, 4k0ni039sbjs4sqipk4v7k79x, 4zxrdmwphkxvkvo6bt30uanrp, 3wp8fuk07m1ph1fpmbqe7tf55, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 31wf775s975qy3il33oora8k5, c5zmr0m17riujelm4up44etih, cag3gzjcv8erx3zpp2lidzcvd, 8wz5pdydepr5kzcichz17pv4l, 9irgn82qm11logbhup51rg5wp, 5gb7v3m0qisn24c7h49xn250p, btf0dch35aww78bzillh2jgx6, 3gsprcdyogabeb8lr2y0bmytx, 1g15ehziupxnsy1kvl3pqmbc9",3740095229,59,"1, 12, 14, 33, 15, 6, 5, 30, 10, 21, 7, 2, 9, 19, 20, 24, 25, 29, 34, 38",3740095227,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740095231,130,17,3740095237,197,4,3740095239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498117,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-28T15:30:17.065Z,2022-08-28T20:55:43Z,3740281895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498121,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2022-08-28T15:30:17.065Z,2022-08-28T15:30:21Z,3740281907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498147,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,49.9,50.1,2022-08-28T15:30:17.105Z,2022-08-28T22:36:22Z,3740282035,279,S,3740282033,213,3.1,3740282025,56,Back,3742010095,178,,3740282029,141,51.8,3740282027,140,29.6,3740282031,212,21.3,,,,ece7xph4emgawvh7mr56319ex,R. Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498165,4,1,1,0,3,1qtaiy11gswx327s0vkibf70n,1,29.6,51.8,2022-08-28T15:30:20.070Z,2022-08-28T22:36:25Z,3740282159,1,,3740282157,213,0.7,3740282151,140,60.7,3740282149,56,Left,3740282147,155,,3740282153,141,88.7,3740282155,212,41.2,3742010219,178,,av7e2wk5ub7qnh3sqcvssvh79,S. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498173,5,44,1,0,5,1qtaiy11gswx327s0vkibf70n,1,65.5,88.6,2022-08-28T15:30:23.036Z,2022-08-29T01:50:52Z,3740282271,233,3,3740282211,286,,3740282209,56,Left,,,,,,,,,,,,,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498179,3,44,1,0,5,22doj4sgsocqpxw45h607udje,0,34.5,11.4,2022-08-28T15:30:23.037Z,2022-08-28T22:36:31Z,3740282325,233,5,3740282229,56,Back,3740282231,285,,,,,,,,,,,,,,,,,anxby26pfxpu4u5bfy9nbuvah,Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498189,6,1,1,0,6,1qtaiy11gswx327s0vkibf70n,1,60.7,88.7,2022-08-28T15:30:23.081Z,2022-08-29T01:50:52Z,3740282317,213,5.9,3740282311,140,67.5,3740282315,212,7.9,3740282313,141,83.9,3742010709,388,,3740282307,3,,3740282309,56,Left,,,,55yy0p6johtu9nxk90zsfctt5,M. Gibbs-White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498193,7,3,1,0,7,1qtaiy11gswx327s0vkibf70n,0,73.2,83.3,2022-08-28T15:30:24.229Z,2022-08-28T22:36:48Z,3742011113,178,,3740282331,56,Left,3740282785,233,5,3741448021,465,,3740282335,286,,,,,,,,,,,5f72vvw62zdlyrj3mwux2udat,J. Lingard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498287,5,7,1,0,7,22doj4sgsocqpxw45h607udje,0,26.8,16.7,2022-08-28T15:30:24.606Z,2022-08-28T22:36:54Z,3740971449,385,,3742011241,178,,3740282773,233,7,3740282767,56,Back,3740282769,285,,,,,,,,,,,4k0ni039sbjs4sqipk4v7k79x,D. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
