id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,assist,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/18/value
2530197443,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-04-08T13:00:12.026Z,2023-04-08T14:03:33Z,4172039057,30,"ombvyo6p3p5khkn91vubvpat, 77yaqzy45dxtzicao00jxrlgq, 2gsq05yyxwe4f8t79j6d49q6t, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 4zxrdmwphkxvkvo6bt30uanrp, 9bamtyvun46xn9e64lqn9ogyx, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 4k0ni039sbjs4sqipk4v7k79x, c5zmr0m17riujelm4up44etih, 4rktv6j9sioe0gmu7jt77fsh5, 8wz5pdydepr5kzcichz17pv4l, 5gb7v3m0qisn24c7h49xn250p, btf0dch35aww78bzillh2jgx6, 8y8d2dd469x9q0lc7qfyxypyh, b8pl56k1d1btqlucywp077vje, 7jpzrq4bpes3uc1pkh56sc0oa",4172039069,197,4,4172039071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172039067,194,ombvyo6p3p5khkn91vubvpat,4172039059,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172039063,130,17,4172039065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172039061,59,"1, 23, 14, 34, 15, 17, 5, 4, 10, 21, 7, 6, 9, 16, 20, 25, 29, 40, 45, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530197471,1,34,16,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2023-04-08T13:00:15.945Z,2023-04-08T14:05:42Z,4172039273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172039271,30,"31xsuz1icsj7zt1462swjpk2d, bh20puvz2w21mnag7ul1g3c9h, 87g6qlasqe627i5g7ir30j2sp, 3uc9z96xvain84leorf4ls962, jagvvzc7329tf2c64mnc251, 573hlc6devy50gjotyav9ql4a, 2wwo7wcxz4gfy0ubkzynvrsnp, 3k6znit6fd9mbfcnphlwyvj6d, c0yxqwkxqx1sty7abj1qwh9zp, am6ppbdrbz4ml3xsbty53o73d, aititrd343hal6ount0dp5zze, d9yxninyn4bac8f0ufxsnlqll, 6o9mxqdmxip6ik6w6zgd7k8ut, 1mf7tr17fqnddm23nx1z1tsh6, 6rutvrgco8li4nyz7tfayxb6x, 192qpmicfd10d7mutv5y762qy, 5okl8s3e8ad2add75m46ojo4p, b0dpz0ixcb9hiyurc87z0rotm, 2gj7h5fxuh4y0tbp6j308yk4q, 9drh3w3emxjf6aah8pstsdgr8",4172039281,194,jagvvzc7329tf2c64mnc251,4172039283,197,18594,4172039277,130,8,4172039275,59,"23, 34, 30, 25, 5, 6, 7, 13, 18, 10, 22, 1, 4, 20, 21, 26, 27, 28, 29, 40",4172039285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172039279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243221,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-04-08T14:03:26.323Z,2023-04-08T18:53:41Z,4172269595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243199,2,32,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,0,0,2023-04-08T14:03:26.323Z,2023-04-08T14:03:26Z,4172269469,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243253,3,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,49.9,50.3,2023-04-08T14:03:26.342Z,2023-04-08T19:23:29Z,4172269735,213,2.7,4173826797,178,,4172269737,279,S,4172269729,140,37.7,4172269731,141,58.7,4172269733,212,14.0,4172269727,56,Back,,,,c0yxqwkxqx1sty7abj1qwh9zp,D. Welbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243275,4,1,1,0,0,e5p0ehyguld7egzhiedpdnc3w,1,37.7,58.7,2023-04-08T14:03:27.292Z,2023-04-08T19:23:35Z,4172269839,140,36.2,4172269841,141,48.1,4172269843,212,7.4,4172269837,56,Back,4172269845,213,4.5,4173827177,178,,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243359,5,1,1,0,3,e5p0ehyguld7egzhiedpdnc3w,1,36.2,48.1,2023-04-08T14:03:29.485Z,2023-04-08T19:23:41Z,4172270217,141,61.0,4172270213,140,25.2,4172270211,56,Back,4172270223,213,2.5,4172270221,212,14.5,4173827627,178,,,,,,,,3k6znit6fd9mbfcnphlwyvj6d,P. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243389,6,1,1,0,5,e5p0ehyguld7egzhiedpdnc3w,1,25.2,61,2023-04-08T14:03:31.866Z,2023-04-08T19:23:50Z,4172270343,213,4.7,4172270339,141,35.4,4172270341,212,17.4,4173827971,178,,4172270335,56,Back,4172270337,140,24.8,,,,,,,573hlc6devy50gjotyav9ql4a,L. Colwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243423,7,1,1,0,8,e5p0ehyguld7egzhiedpdnc3w,1,24.8,35.4,2023-04-08T14:03:34.383Z,2023-04-08T19:23:55Z,4172270523,141,7.0,4173828559,178,,4172270521,140,31.5,4172270527,213,5.1,4172270519,56,Back,4172270525,212,20.6,,,,,,,jagvvzc7329tf2c64mnc251,L. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243463,8,1,1,0,10,e5p0ehyguld7egzhiedpdnc3w,1,31.5,7,2023-04-08T14:03:36.474Z,2023-04-08T19:24:03Z,4173829063,178,,4172270755,213,0.7,4172270747,56,Back,4172270753,212,8.5,4172270749,140,37.6,4172270751,141,15.2,,,,,,,bh20puvz2w21mnag7ul1g3c9h,J. Veltman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
