id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/11/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2521489855,1,34,16,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-18T14:00:15.385Z,2023-03-18T15:01:49Z,4105019827,130,2,4105019835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105019829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105019833,197,425,4105019825,59,"31, 2, 15, 8, 35, 37, 17, 45, 10, 32, 24, 1, 3, 9, 12, 18, 20, 22, 26, 27",4105019823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105019819,30,"8jw1c54yfsk2m13uyl5yi5hm2, 2uiza5b6fbum38chxtvmnkzqh, 67qku7vyvbw76086eu05nowd1, 7r6vds5j65fohi1k28cnqjqvp, 1tbc8iokapjgu8zjrc1knq28l, 7zkku0gboniozaks9yx0ous8a, axnmil0bg1giwhoa31tks7ljp, dgjl6ks0r7lbh09fe8cuwj7ro, 59ujnkvl7rlffomi2bqpsmbpx, 2oijcg6e36mwy3ie1num5wclx, 6tckvu2rw7ns18dq7dim0sout, d3p7p18i2ybzlwz5p5gjdd239, dzsd79k6345s9105mb2r4fqol, dusjrdiyxfadenwx4pjr7catx, 7wh91ajt4v3w9kfdpp5hf5mmt, 1qcj2upaz0xa98zkc835djo8a, 448wxnlqhqqf2hcecwut90n6y, 2r1u01vlym0nwcwx86bwbuusq, 18qxb54ol1s4mtgl7n3224ciy, 6xdgasd4dvfgg4n23jw38473d",4105019831,194,7r6vds5j65fohi1k28cnqjqvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521489923,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-03-18T14:00:21.629Z,2023-03-18T14:00:21Z,4105020127,194,b9g4qurpll4wizajo95c406hh,4105020129,197,16884,4105020121,59,"20, 23, 33, 34, 15, 17, 4, 5, 10, 9, 7, 6, 12, 14, 16, 21, 25, 27, 29, 40",4105020117,30,"8wz5pdydepr5kzcichz17pv4l, 77yaqzy45dxtzicao00jxrlgq, 7qy1hiitksyuaa9l0irxg240l, 3gsprcdyogabeb8lr2y0bmytx, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 9bamtyvun46xn9e64lqn9ogyx, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, c5zmr0m17riujelm4up44etih, 12ekwo6gbza410blv4b4r7ydx, 4k0ni039sbjs4sqipk4v7k79x, anxby26pfxpu4u5bfy9nbuvah, 2gsq05yyxwe4f8t79j6d49q6t, 4rktv6j9sioe0gmu7jt77fsh5, dlf31m2lrfl0biop1demgvh7t, 5gb7v3m0qisn24c7h49xn250p, 8c1r97aweyfc0woefvlfy2l05, btf0dch35aww78bzillh2jgx6, 8y8d2dd469x9q0lc7qfyxypyh",4105020125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105020123,130,17,4105020119,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105020131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557393,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-03-18T15:00:07.123Z,2023-03-18T15:00:07Z,4105368965,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557413,2,32,1,0,0,d5ydtvt96bv7fq04yqm2w2632,1,0,0,2023-03-18T15:00:07.123Z,2023-03-18T23:20:06Z,4105369059,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557455,3,1,1,0,0,22doj4sgsocqpxw45h607udje,1,50,50,2023-03-18T15:00:07.165Z,2023-03-18T23:45:20Z,4105369281,56,Back,4105369289,213,3.1,4105369291,279,S,4105369287,212,21.6,4107972697,178,,4105369283,140,29.4,4105369285,141,50.9,,,,c5zmr0m17riujelm4up44etih,Richarlison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557511,4,1,1,0,3,22doj4sgsocqpxw45h607udje,1,29.9,50.9,2023-03-18T15:00:10.775Z,2023-03-18T23:45:24Z,4105369497,213,0.2,4105369489,56,Center,4105369487,155,,4105369499,1,,4105369491,140,65.1,4105369495,212,37.8,4105369493,141,62.7,4107973479,178,,az7wa6km1zhvsb8y4mndlogyd,E. Dier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557519,5,1,1,0,5,22doj4sgsocqpxw45h607udje,0,65.1,62.7,2023-03-18T15:00:13.003Z,2023-03-18T23:45:29Z,4105369541,212,10.4,4105369537,140,73.7,4105369543,213,5.8,4105369535,56,Center,4107973797,388,,4105369539,141,55.1,,,,,,,12ekwo6gbza410blv4b4r7ydx,Son Heung-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557527,3,49,1,0,7,d5ydtvt96bv7fq04yqm2w2632,1,25.5,47,2023-03-18T15:00:14.231Z,2023-03-18T23:45:31Z,,,,,,,,,,,,,,,,,,,,,,,,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557661,4,1,1,0,7,d5ydtvt96bv7fq04yqm2w2632,1,25.5,47,2023-03-18T15:00:14.523Z,2023-03-18T23:45:36Z,4105370131,213,5.8,4105370123,56,Back,4105370125,140,45.5,4105370121,157,,4105370129,212,23.6,4105370133,1,,4105370127,141,31.3,4107974093,178,,67qku7vyvbw76086eu05nowd1,R. Perraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557671,5,61,1,0,12,d5ydtvt96bv7fq04yqm2w2632,1,46.2,33.8,2023-03-18T15:00:19.571Z,2023-03-18T23:45:44Z,4107974559,21,,4107974561,178,,4105370179,56,Back,,,,,,,,,,,,,,,,2oijcg6e36mwy3ie1num5wclx,T. Walcott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557749,6,1,1,0,13,d5ydtvt96bv7fq04yqm2w2632,1,43.9,44.3,2023-03-18T15:00:20.477Z,2023-03-18T23:45:50Z,4105370535,140,49.9,4105370541,213,0.1,4105370531,56,Back,4107974861,178,,4105370539,212,6.3,4105370537,141,45.4,,,,,,,7r6vds5j65fohi1k28cnqjqvp,J. Ward-Prowse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557761,7,1,1,0,14,d5ydtvt96bv7fq04yqm2w2632,1,48.9,44.3,2023-03-18T15:00:21.163Z,2023-03-18T23:45:58Z,4107975283,178,,4105370593,141,51.5,4105370597,212,6.3,4105370589,140,52.6,4105370587,56,Center,4105370599,213,0.9,,,,,,,59ujnkvl7rlffomi2bqpsmbpx,C. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
