id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2533567791,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-15T13:00:15.146Z,2023-04-15T14:02:57Z,4189957097,197,4967,4189957085,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, 661b6x35l9b9uieqbcq7el1hx, b1el7j39v2pgvl9zodd9usded, dlpk0a4jgiswcm2r75uh1czpx, a9k2946gt4hcqw8jpi6ow3jdh, dkwkmrmpb7rq4e660efcu5hat, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 8jf11l2tivq8jpw0fblgdvh05, cgvp2cli2gi4cnyl62kt80r11, f0drogjsrwqv3hyjxuqcnk8vd, zo32khapaj950oma9gipptxx, ch8dgambei1xbzmikkglg3c9h, cdrzpuj49ploquvdolgh5c3bp, 94zmvxw7yw020w43dn0qiclbd, chn2v9j6dqmuz2haoiuulbd91",4189957093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189957099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189957087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189957091,130,8,4189957095,194,b1el7j39v2pgvl9zodd9usded,4189957089,59,"17, 2, 33, 26, 4, 13, 8, 6, 21, 18, 20, 1, 5, 10, 11, 12, 14, 28, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533567833,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-04-15T13:00:20.270Z,2023-04-15T14:00:44Z,4189957331,194,e8dina16u5kt5ho4u5igtmimt,4189957327,130,2,4189957329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189957321,30,"e8dina16u5kt5ho4u5igtmimt, 8ro3lpzufz8ea9pa2j1jivqad, 9o1vesnpfiucpoq35ihhpstex, 15948izygnu32cu1pw6h5wp9l, 6og6s61vrg51rfqxk9cipylzp, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, ceerfv28fygp7m2euv5n5uu39, xu7mykgl15kaib3olilmsez9, 4n782p6eaok71ai7ecj1jo1jp, 7qgt7sht6py670pt6t4wjhqay, a559ewan4122b6orx6d0f6s16, 4njl5iqybub0cxbhjh2xbft9l, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, cpd8prwzxf0rzevtk33fpryt, ed4w2l6hglrrxu2a75bn0tt5h, 4b3axlxopby87f4luevihgwdl, ad85phz3qiv2g2zl18kczvrze, 433fwn94e2najnmvvg9u47oyc",4189957335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189957323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189957325,59,"1, 22, 19, 37, 5, 2, 17, 27, 20, 11, 7, 3, 4, 13, 15, 26, 30, 50, 56, 59",4189957333,197,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627517,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-04-15T14:00:52.985Z,2023-04-15T21:28:32Z,4190266211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627495,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-04-15T14:00:52.985Z,2023-04-15T14:00:53Z,4190266083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627529,3,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50,50,2023-04-15T14:00:53.064Z,2023-04-15T22:40:36Z,4190266261,279,S,4190266259,213,3.1,4190266257,212,7.7,4190266251,56,Back,4190266253,140,42.7,4192902465,178,,4190266255,141,50.0,,,,ah7iqgru0htz9lh1bff94cjbp,Andreas Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627543,4,1,1,0,1,hzqh7z0mdl3v7gwete66syxp,1,42.7,50,2023-04-15T14:00:54.503Z,2023-04-15T22:40:39Z,4190266321,141,49.4,4190266325,213,6.2,4190266323,212,4.2,4190266317,56,Back,4190266319,140,46.7,4192902555,178,,,,,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627569,5,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,1,46.3,49.4,2023-04-15T14:00:55.129Z,2023-04-15T22:40:43Z,4190266425,141,57.3,4190266433,213,1.4,4190266419,56,Back,4192902663,178,,4190266421,140,47.1,4190266429,212,5.4,,,,,,,ah7iqgru0htz9lh1bff94cjbp,Andreas Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627599,6,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,0,47.1,57.3,2023-04-15T14:00:55.668Z,2023-04-15T22:40:45Z,4192902717,178,,4190266551,140,59.0,4190266557,212,31.4,4190266549,56,Right,4190266563,213,5.1,4190266553,141,14.9,,,,,,,afcwu800ox2u5zx6xaiygg1qt,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627637,3,49,1,0,4,ehd2iemqmschhj2ec0vayztzz,1,43.9,92.9,2023-04-15T14:00:57.781Z,2023-04-15T22:40:50Z,,,,,,,,,,,,,,,,,,,,,,,,,7qgt7sht6py670pt6t4wjhqay,D. McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627733,4,1,1,0,6,ehd2iemqmschhj2ec0vayztzz,0,45.7,93.3,2023-04-15T14:00:59.688Z,2023-04-15T22:40:55Z,4190267205,141,83.3,4192903039,178,,4190267203,140,88.4,4190267201,56,Left,4190267211,1,,4190267207,212,45.3,4190267209,213,6.1,4190267199,155,,7qgt7sht6py670pt6t4wjhqay,D. McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627761,7,49,1,0,10,hzqh7z0mdl3v7gwete66syxp,1,14,16,2023-04-15T14:01:03.783Z,2023-04-15T22:41:00Z,,,,,,,,,,,,,,,,,,,,,,,,,661b6x35l9b9uieqbcq7el1hx,T. Adarabioyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627813,8,1,1,0,10,hzqh7z0mdl3v7gwete66syxp,1,14,16,2023-04-15T14:01:03.853Z,2023-04-15T22:41:05Z,4192903385,178,,4190267521,141,31.6,4190267513,56,Back,4190267525,213,2.3,4190267517,140,4.6,4190267523,212,14.5,,,,,,,661b6x35l9b9uieqbcq7el1hx,T. Adarabioyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627881,9,1,1,0,12,hzqh7z0mdl3v7gwete66syxp,0,4.3,31.3,2023-04-15T14:01:05.035Z,2023-04-15T22:41:09Z,4190267845,56,Right,4190267851,212,56.5,4192903483,178,,4190267853,213,6.1,4190267847,140,57.4,4191977743,157,,4190267849,141,17.8,4190267855,1,,2f79rc4i712sxstahjkq6pxp1,B. Leno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627917,5,1,1,0,15,ehd2iemqmschhj2ec0vayztzz,0,45.7,81.2,2023-04-15T14:01:08.448Z,2023-04-15T22:41:12Z,4190268013,56,Center,4190268021,213,5.8,4190268015,140,65.2,4190268019,212,23.4,4190268017,141,64.6,4192903551,388,,4190268011,3,,,,,9o1vesnpfiucpoq35ihhpstex,V. Mykolenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628011,10,1,1,0,17,hzqh7z0mdl3v7gwete66syxp,0,34.2,44.6,2023-04-15T14:01:10.856Z,2023-04-15T22:41:15Z,4190268435,212,21.8,4190268427,3,,4190268431,140,53.0,4192903631,388,,4190268429,56,Center,4190268437,213,0.4,4190268433,141,58.1,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628087,6,1,1,0,19,ehd2iemqmschhj2ec0vayztzz,1,47,44.8,2023-04-15T14:01:12.961Z,2023-04-15T22:41:20Z,4190268737,141,51.2,4190268739,212,8.1,4190268731,3,,4190268741,213,0.6,4190268733,56,Center,4190268735,140,53.5,4192903719,178,,,,,8ro3lpzufz8ea9pa2j1jivqad,B. Godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534130957,876,67,1,0,21,ehd2iemqmschhj2ec0vayztzz,1,54.3,50.2,2023-04-15T14:01:14.555Z,2023-04-16T00:56:17Z,4192967825,233,907,,,,,,,,,,,,,,,,,,,,,,ceerfv28fygp7m2euv5n5uu39,I. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534130951,907,67,1,0,21,hzqh7z0mdl3v7gwete66syxp,0,45.7,49.8,2023-04-15T14:01:14.556Z,2023-04-15T23:12:57Z,4192967845,233,876,,,,,,,,,,,,,,,,,,,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628111,7,1,1,0,21,ehd2iemqmschhj2ec0vayztzz,0,52.8,50.3,2023-04-15T14:01:14.587Z,2023-04-16T00:56:17Z,4190268813,141,50.3,4190268815,212,1.4,4192903923,389,,4190268809,56,Center,4190268817,213,0,4190268811,140,54.1,,,,,,,ceerfv28fygp7m2euv5n5uu39,I. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628889,18,61,1,0,21,hzqh7z0mdl3v7gwete66syxp,1,46.9,55.1,2023-04-15T14:01:14.623Z,2023-04-15T22:41:36Z,4190272549,56,Back,4192904209,389,,,,,,,,,,,,,,,,,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
