id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,assist,qualifier/20/value
2478721003,6,1,1,0,6,7vn2i2kd35zuetw6b38gw9jsz,1,50.3,73,2022-10-29T14:00:36.650Z,2022-10-29T22:40:00Z,3879663559,140,64.7,3879663563,212,19.9,3879663565,213,0.7,3881998361,178,,3879663561,141,92.1,3879663557,56,Left,,,,,,,5tbabvk43ljv3z3wd9mh0y8r9,J. Willock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479092325,901,3,1,0,10,7vn2i2kd35zuetw6b38gw9jsz,0,88.5,89,2022-10-29T14:00:40.728Z,2022-10-29T22:40:40Z,3881666239,286,,3881666243,467,1e9txzr9hqz94xtun6byo0vs9,3881999361,178,,3881666241,464,,3881666237,56,Left,,,,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721049,7,1,1,0,15,7vn2i2kd35zuetw6b38gw9jsz,1,88,94.5,2022-10-29T14:00:44.994Z,2022-10-29T22:40:48Z,3879663745,56,Left,3881999567,178,,3879663767,213,2.9,3879663751,140,83.0,3879663757,141,96.3,3879663761,212,5.4,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721061,8,3,1,0,16,7vn2i2kd35zuetw6b38gw9jsz,0,84.3,94,2022-10-29T14:00:45.918Z,2022-10-29T22:40:57Z,3879663879,233,6,3881051851,465,,3879663825,286,,3881999729,178,,3879663823,56,Left,,,,,,,,,,5tbabvk43ljv3z3wd9mh0y8r9,J. Willock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721057,6,7,1,0,16,b496gs285it6bheuikox6z9mj,1,15.7,6,2022-10-29T14:00:45.936Z,2022-10-29T22:41:09Z,3879663815,56,Back,3879663817,285,,3881051913,385,,3879663813,167,,3882000111,178,,3879663861,233,8,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721067,7,5,1,0,16,b496gs285it6bheuikox6z9mj,0,19.9,-0.8,2022-10-29T14:00:46.783Z,2022-10-29T22:41:13Z,3879664363,233,9,3879663853,56,Back,3879663855,347,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721187,9,5,1,0,16,7vn2i2kd35zuetw6b38gw9jsz,1,80.1,100.8,2022-10-29T14:00:46.783Z,2022-10-29T22:41:13Z,3879664339,347,,3879664337,56,Left,3879664353,233,7,,,,,,,,,,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721201,10,1,1,0,23,7vn2i2kd35zuetw6b38gw9jsz,1,82.3,100,2022-10-29T14:00:53.634Z,2022-10-29T22:42:04Z,3879664417,56,Left,3879664415,107,,3879664421,141,89.0,3879664425,213,4.4,3879664419,140,79.5,3879664423,212,8.5,,,,,,,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721253,11,1,1,0,24,7vn2i2kd35zuetw6b38gw9jsz,1,79.5,89,2022-10-29T14:00:54.498Z,2022-10-29T22:42:10Z,3882001919,178,,3879664653,141,95.1,3879664649,140,88.2,3879664657,212,10.0,3879664645,56,Left,3879664661,213,0.4,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721261,12,1,1,0,26,7vn2i2kd35zuetw6b38gw9jsz,0,88.5,95.4,2022-10-29T14:00:56.442Z,2022-10-29T22:42:14Z,3879664703,2,,3882002031,178,,3879664711,141,91.2,3879664715,212,2.9,3881053575,72,,3879664705,155,,3879664707,56,Left,3879664709,140,88.0,6f1ljb0an6d0g4nbap6xgxsyd,D. Burn,3881054323,386,3881054321,225,3879664719,213,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
