id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2515855397,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-03-05T13:00:06.028Z,2023-03-05T15:21:19Z,4075162559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075162551,30,"9sme7jykdv8msgfu0nxx6h39x, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, f30avgacyfz88ppw9mh8v57md, 25kl6261u9xft9cfvot8aezf9, b7eoho4q34nfispye73m8b00l, cjdycctu96jilvbvnl7ndh9sl, 1l228p52d8wdf8qhfxqu8rca, 55yy0p6johtu9nxk90zsfctt5, 95uxoznu15m2xywirv43rcmol, 3mgjcyaseuexxlssgatjgsand, 5f72vvw62zdlyrj3mwux2udat, 8bhdwi4p824s82bbzkh2vy6t, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, ece7xph4emgawvh7mr56319ex, 3ztcz2dgfniqv141w7xsky7zd, a4qjllaut1bo0ng3x4xu5lq6t",4075162565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075162563,197,4782,4075162553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075162557,130,9,4075162561,194,1tuivl8zdnsaz8vbed2z582qx,4075162555,59,"12, 24, 32, 23, 4, 38, 8, 6, 39, 20, 10, 5, 7, 11, 13, 15, 16, 22, 25, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515855441,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-03-05T13:00:10.689Z,2023-03-05T14:02:58Z,4075162765,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 8ro3lpzufz8ea9pa2j1jivqad, 8g7clz1z04oqjxhg8xnqc7105, 6og6s61vrg51rfqxk9cipylzp, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, 4n782p6eaok71ai7ecj1jo1jp, ceerfv28fygp7m2euv5n5uu39, 7qgt7sht6py670pt6t4wjhqay, 4njl5iqybub0cxbhjh2xbft9l, d4vdrtte9kb9qmlkrx1rvgk45, 5tlxrhab4kdeud8d2r9z9hk2d, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, 4nk3po2hbfahzgq57g8k4cg6h, ed4w2l6hglrrxu2a75bn0tt5h, 15948izygnu32cu1pw6h5wp9l, 4b3axlxopby87f4luevihgwdl",4075162777,197,409,4075162767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075162775,194,9nq9bocnqq6bu8ho4m26qmkt1,4075162781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075162773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075162771,130,5,4075162769,59,"1, 23, 22, 16, 5, 2, 17, 8, 11, 27, 7, 4, 13, 15, 20, 26, 29, 30, 37, 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914401,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-03-05T14:00:52.393Z,2023-03-05T22:23:27Z,4075466661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914349,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2023-03-05T14:00:52.393Z,2023-03-05T14:00:52Z,4075466417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914417,3,1,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,50.1,50.4,2023-03-05T14:00:52.521Z,2023-03-05T22:33:12Z,4077434775,178,,4075466729,212,17.4,4075466731,213,3.3,4075466725,140,33.6,4075466727,141,47.4,4075466733,279,S,4075466723,56,Back,,,,8kb5h8df97ju107n9ibigo1cl,A. Iwobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914453,4,1,1,0,3,ehd2iemqmschhj2ec0vayztzz,0,33.6,47.4,2023-03-05T14:00:55.625Z,2023-03-05T22:33:23Z,4075466919,56,Center,4075466925,141,74.6,4075466933,1,,4077434935,178,,4075466929,212,34.7,4075466931,213,0.6,4075466915,157,,4075466921,140,61.6,6og6s61vrg51rfqxk9cipylzp,M. Keane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914471,3,49,1,0,5,1qtaiy11gswx327s0vkibf70n,1,37.4,40,2023-03-05T14:00:57.949Z,2023-03-05T22:33:35Z,,,,,,,,,,,,,,,,,,,,,,,,,b7eoho4q34nfispye73m8b00l,J. Shelvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914495,4,1,1,0,5,1qtaiy11gswx327s0vkibf70n,0,37.4,40,2023-03-05T14:00:58.008Z,2023-03-05T22:33:45Z,4075467121,212,15.3,4075467117,140,50.9,4077435291,388,,4075467115,56,Center,4075467119,141,31.7,4075467123,213,5.9,,,,,,,b7eoho4q34nfispye73m8b00l,J. Shelvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914537,5,1,1,0,6,ehd2iemqmschhj2ec0vayztzz,1,54.3,80.6,2023-03-05T14:00:59.049Z,2023-03-05T22:37:37Z,4075467335,140,67.3,4075467337,141,76.3,4075467333,56,Center,4077435399,178,,4075467341,213,6.1,4075467331,3,,4075467339,212,14.0,,,,8ro3lpzufz8ea9pa2j1jivqad,B. Godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914547,6,44,1,0,8,ehd2iemqmschhj2ec0vayztzz,1,63.7,71.1,2023-03-05T14:01:00.703Z,2023-03-06T00:48:26Z,4075467379,286,,4075467377,56,Center,4075467465,233,5,,,,,,,,,,,,,,,,4n782p6eaok71ai7ecj1jo1jp,D. Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
