id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2493744067,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-12-28T19:00:13.744Z,2022-12-28T20:23:56Z,3958787641,130,4,3958787649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958787639,59,"1, 25, 21, 8, 5, 6, 42, 4, 7, 19, 29, 2, 3, 10, 11, 14, 18, 22, 30, 43",3958787635,30,"8szyip8c62bier901hmpqc7vt, dn3llv8xjdbbndltfym5ar561, b275i2lg3anqae5lv9gmrzmqx, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 6clj9dk6hdeaomo6yi7vcsv6d, 7oikovl62nfxs6z54dzd85gx5, ao2tl1brzen40y5leuuc3b5qt, 8rrcscn29rs1gk8mi1pwpu92i, 4hmivvhmplqof776e9tbqg251, 9z2j13bl5yh4i1vyofautc9yi, 983mn5yig2f4upkq9e97hx87p, 9rfwfsz5cmckyjripqgtbc7op, 7sdbx7mzjxhvofvke9mp26kbu, 6kih58n0fzlod6c792xpey57t, 9ao7l82r1xd2rjnvv5u6plcr9, a7k01exbkdcshdjzq049ywkq, ax5fuknlz3zc3fcesya61iod1, 3ojnucluy7h8fgk2myyo0zx4a, 1r5zkfhxkrrgzhd0k0huxtas5",3958787645,194,6clj9dk6hdeaomo6yi7vcsv6d,3958787637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958787647,197,4773,3958787643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744085,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-12-28T19:00:23.515Z,2022-12-28T19:00:23Z,3958787729,194,9wbf00lybk9fqablaqwg5cn2t,3958787719,30,"23637o19ff0sw18pqv8g96ndh, d0azo0spzov2hg6ul40l58e3u, 7jn9kl5wq29d41ekc2fz2rs2d, dqfk7czrayirrvonirtk2mk15, 3gem1jrrkgye0omb88fk1lsk5, almf0gtdjmsdm5zhyot1hvydx, c2jqa9vozhqu7x79h5rr2n1ed, 9wbf00lybk9fqablaqwg5cn2t, atzboo800gv7gic2rgvgo0kq1, exiribcpg9vnuq9ekhlk74dlh, 72nph557ee2a9tdky8rvk12vp, e9wu8dcamrtj3ftbx3nmhusid, 99d29g8af71vt1hrur06qvy7d, 29pq64smaxdwlraopnxoleqxh, 7fmpgkx58o9pivo2bbnxxkt05, 5d6d4oc2rpau0mbbbt2dmtzv9, b3974hgsmyff5xtq7qf1onhlh, d4tdx2ctadv6kc3tbq4as8bmx, 693z0rzfh3m0h0wsma9v8c9ux, dl10343h8yopcgerzur5samwa",3958787721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958787731,197,16092,3958787723,59,"31, 82, 6, 16, 5, 25, 17, 8, 9, 26, 10, 2, 4, 7, 14, 18, 20, 21, 47, 80",3958787727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958787733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958787725,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756007,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2022-12-28T20:01:19.431Z,2022-12-28T20:01:20Z,3958849205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756017,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2022-12-28T20:01:19.431Z,2022-12-29T02:41:51Z,3958849243,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756025,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,50.1,50,2022-12-28T20:01:19.543Z,2022-12-29T02:48:14Z,3958849285,212,21.4,3958849279,56,Back,3958849287,213,3.3,3958849283,141,46.4,3958849281,140,29.9,3959151405,178,,3958849289,279,S,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756045,4,1,1,0,3,a3nyxabgsqlnqfkeg41m6tnpp,1,30.4,43.9,2022-12-28T20:01:22.512Z,2022-12-29T02:48:25Z,3958849413,140,64.1,3958849417,212,41.7,3958849415,141,11.5,3958849409,155,,3958849419,213,5.7,3959151439,178,,3958849411,56,Right,3958849421,1,,almf0gtdjmsdm5zhyot1hvydx,M. Akanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756051,5,1,1,0,5,a3nyxabgsqlnqfkeg41m6tnpp,1,64.2,11.5,2022-12-28T20:01:24.756Z,2022-12-29T02:48:57Z,3958849441,3,,3958849451,213,2.3,3958849449,212,7.5,3959151523,388,,3958849445,140,59.6,3958849447,141,19.9,3958849443,56,Right,,,,c2jqa9vozhqu7x79h5rr2n1ed,K. De Bruyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756065,6,1,1,0,6,a3nyxabgsqlnqfkeg41m6tnpp,1,59.6,20,2022-12-28T20:01:26.278Z,2022-12-29T02:49:06Z,3958849519,141,1.7,3958849521,212,13.9,3959151551,178,,3958849523,213,5.2,3958849517,140,65.4,3958849515,56,Right,,,,,,,dqfk7czrayirrvonirtk2mk15,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756073,7,1,1,0,7,a3nyxabgsqlnqfkeg41m6tnpp,1,65.4,1.7,2022-12-28T20:01:27.372Z,2022-12-29T02:49:10Z,3958849571,212,11.2,3958849569,141,8.2,3958849565,56,Right,3958849567,140,55.6,3958849573,213,2.7,3959151559,178,,,,,,,,exiribcpg9vnuq9ekhlk74dlh,R. Mahrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493756091,8,1,1,0,9,a3nyxabgsqlnqfkeg41m6tnpp,1,55.6,8.3,2022-12-28T20:01:28.912Z,2022-12-29T02:49:15Z,3958849669,56,Back,3959151573,178,,3958849671,140,35.8,3958849677,213,2.6,3958849673,141,24.8,3958849675,212,23.6,,,,,,,d0azo0spzov2hg6ul40l58e3u,R. Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
