id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/17/value
2530998725,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-04-09T12:01:11.787Z,2023-04-09T13:01:17Z,4176249451,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176249459,197,4773,4176249443,30,"8szyip8c62bier901hmpqc7vt, 983mn5yig2f4upkq9e97hx87p, 9rfwfsz5cmckyjripqgtbc7op, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, b275i2lg3anqae5lv9gmrzmqx, 6kih58n0fzlod6c792xpey57t, 288nn7pbq5ewriiyb9o7da86h, 6q6i9x4w4vcdwwmiwq8k6sixh, 8rrcscn29rs1gk8mi1pwpu92i, 7xlnqr43lvc8coshx65qd5omh, ao2tl1brzen40y5leuuc3b5qt, 6clj9dk6hdeaomo6yi7vcsv6d, 7sdbx7mzjxhvofvke9mp26kbu, 4hmivvhmplqof776e9tbqg251, ax5fuknlz3zc3fcesya61iod1, e8ekkg0yayhhmmhinl0v9une, dn3llv8xjdbbndltfym5ar561, 9z2j13bl5yh4i1vyofautc9yi, 7oikovl62nfxs6z54dzd85gx5",4176249455,194,983mn5yig2f4upkq9e97hx87p,4176249447,59,"1, 2, 3, 8, 5, 21, 11, 28, 9, 7, 23, 4, 6, 10, 19, 22, 24, 25, 29, 42",4176249449,130,8,4176249461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176249445,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530998775,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-04-09T12:01:15.875Z,2023-04-09T12:01:16Z,4176249691,59,"21, 2, 3, 28, 16, 6, 10, 15, 22, 7, 9, 4, 5, 8, 14, 17, 18, 19, 41, 44",4176249703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176249687,30,"5frs9u0spep2j3gszu06awo9h, 1rz6bw398na1i3t29rop7ikt1, 6dqnwhx0eglxhelidxg0dphm2, 19m0uqmf1otcekssb7tbrl1m2, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, 4wic6z72nwmhkheme209fcmp5, 6ebb2xcovp1tx5nv5yyncb7x1, c9pmcoyzgtgcnlc63cl4283bp, m2c4lckkcr7yilnqxrrsgh2i, 9c927a1i8iqblent14xat7aad, 3xthf6r5hvlx8oje4rqcs3it, z0btpgav68n4lqoht3ax3845, 375gnysvjk9bvq02ex1lkmynd, djgqihf08sxqh0zt2xe2xzv1l, ezrn62nekq3wpw1qs1yu1ezmd, a1oyrdwf1kyutqivxk753mzmd, dbebh5mvzowjrp7h4qvzxvaol, c6pfpm73pimu0fdt32g86xyei, a7uo47nehqo2irfllck81uqxh",4176249697,194,1rz6bw398na1i3t29rop7ikt1,4176249693,130,4,4176249699,197,406,4176249689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176249695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049415,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-04-09T13:01:30.087Z,2023-04-09T19:14:31Z,4176493437,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049353,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2023-04-09T13:01:30.087Z,2023-04-09T13:01:30Z,4176493173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049407,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50.1,49.9,2023-04-09T13:01:30.153Z,2023-04-09T19:35:14Z,4176493413,141,44.5,4176493417,213,3.3,4177894717,178,,4176493415,212,18.2,4176493419,279,S,4176493409,56,Back,4176493411,140,33.1,,,,4wic6z72nwmhkheme209fcmp5,E. Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049475,4,1,1,0,2,1c8m2ko0wxq1asfkuykurdr0y,1,33.7,45.2,2023-04-09T13:01:32.784Z,2023-04-09T19:35:18Z,4176493671,141,76.8,4177894951,178,,4176493667,140,32.7,4176493663,56,Back,4176493673,212,21.5,4176493675,213,1.6,,,,,,,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049527,5,1,1,0,6,1c8m2ko0wxq1asfkuykurdr0y,0,34.5,78.9,2023-04-09T13:01:36.212Z,2023-04-09T19:35:22Z,4176493951,56,Left,4176493963,213,0.1,4176493965,1,,4176493953,140,79.9,4176493947,155,,4176493955,141,87.0,4177895229,178,,4176493959,212,48.0,9ipux4xiejibplsbbhqz8d5gp,M. Guéhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049547,3,12,1,0,8,48gk2hpqtsl6p9sx9kjhaydq4,1,10.8,6.4,2023-04-09T13:01:38.912Z,2023-04-09T19:35:27Z,4177895583,388,,4176494051,141,4.1,4176494055,213,6.1,4176494047,56,Back,4176494053,212,9.6,4176494091,15,,4176494049,140,19.8,,,,983mn5yig2f4upkq9e97hx87p,L. Ayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049599,4,1,1,0,10,48gk2hpqtsl6p9sx9kjhaydq4,1,20,4.2,2023-04-09T13:01:40.762Z,2023-04-09T19:35:38Z,4177896489,178,,4176494311,141,3.9,4176494305,56,Back,4176494297,3,,4176494307,140,24.2,4176494313,212,4.4,4176494317,213,6.2,4176494301,168,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049635,5,1,1,0,11,48gk2hpqtsl6p9sx9kjhaydq4,1,24.2,3.9,2023-04-09T13:01:42.056Z,2023-04-09T19:35:43Z,4177896911,388,,4176494477,213,6.2,4176494473,141,3.3,4176494475,212,3.8,4176494469,56,Back,4176494471,140,27.8,4176494465,3,,4176494467,168,,6kih58n0fzlod6c792xpey57t,J. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
