id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/19/value
2504524405,1,34,16,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-05T15:30:11.419Z,2023-02-05T16:51:54Z,4015407055,197,16092,4015407049,130,2,4015407053,194,e9wu8dcamrtj3ftbx3nmhusid,4015407047,59,"31, 2, 82, 16, 25, 6, 26, 20, 9, 19, 10, 32, 3, 4, 8, 14, 17, 18, 21, 80",4015407051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015407043,30,"23637o19ff0sw18pqv8g96ndh, e9wu8dcamrtj3ftbx3nmhusid, d0azo0spzov2hg6ul40l58e3u, dqfk7czrayirrvonirtk2mk15, almf0gtdjmsdm5zhyot1hvydx, 7jn9kl5wq29d41ekc2fz2rs2d, exiribcpg9vnuq9ekhlk74dlh, b3974hgsmyff5xtq7qf1onhlh, atzboo800gv7gic2rgvgo0kq1, 9ikkuxd19avliz1khcrm82gyy, 72nph557ee2a9tdky8rvk12vp, 6d36zn3fr35yhj70yx5n445qs, 2t5s4f41jefzuzth0bhcixtcl, 99d29g8af71vt1hrur06qvy7d, 9wbf00lybk9fqablaqwg5cn2t, 7fmpgkx58o9pivo2bbnxxkt05, c2jqa9vozhqu7x79h5rr2n1ed, 5d6d4oc2rpau0mbbbt2dmtzv9, d4tdx2ctadv6kc3tbq4as8bmx, dl10343h8yopcgerzur5samwa",4015407045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4015407057,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504524485,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-05T15:30:17.007Z,2023-02-05T15:30:17Z,4015407389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015407379,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4015407397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015407395,197,4,4015407383,59,"1, 12, 14, 33, 15, 17, 5, 30, 10, 21, 7, 23, 4, 6, 9, 16, 19, 20, 34, 38",4015407385,130,17,4015407393,194,ombvyo6p3p5khkn91vubvpat,4015407375,30,"ombvyo6p3p5khkn91vubvpat, anxby26pfxpu4u5bfy9nbuvah, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, az7wa6km1zhvsb8y4mndlogyd, 2w7i4jfw5wgh3j2wuworoumeh, 4zxrdmwphkxvkvo6bt30uanrp, 3wp8fuk07m1ph1fpmbqe7tf55, b9g4qurpll4wizajo95c406hh, dlf31m2lrfl0biop1demgvh7t, 12ekwo6gbza410blv4b4r7ydx, 77yaqzy45dxtzicao00jxrlgq, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, c5zmr0m17riujelm4up44etih, 4rktv6j9sioe0gmu7jt77fsh5, cag3gzjcv8erx3zpp2lidzcvd, 8wz5pdydepr5kzcichz17pv4l, 3gsprcdyogabeb8lr2y0bmytx, 1g15ehziupxnsy1kvl3pqmbc9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575667,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-02-05T16:30:20.359Z,2023-02-05T23:21:44Z,4015673459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575641,2,32,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,0,0,2023-02-05T16:30:20.359Z,2023-02-05T16:30:20Z,4015673289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575693,3,1,1,0,0,a3nyxabgsqlnqfkeg41m6tnpp,1,49.9,50,2023-02-05T16:30:20.419Z,2023-02-06T00:53:38Z,4015673585,212,28.9,4015673583,141,49.7,4015673579,56,Back,4015673589,279,S,4015673581,140,22.4,4016716257,178,,4015673587,213,3.1,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575759,4,1,1,0,4,a3nyxabgsqlnqfkeg41m6tnpp,1,24.7,52.1,2023-02-05T16:30:25.225Z,2023-02-06T00:53:42Z,4015673897,56,Right,4015673905,213,5.6,4015673903,212,56.9,4015673899,140,68.1,4015673907,1,,4016716339,178,,4015673901,141,2.0,4015673895,155,,23637o19ff0sw18pqv8g96ndh,Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575763,5,1,1,0,8,a3nyxabgsqlnqfkeg41m6tnpp,0,68.1,2,2023-02-05T16:30:28.403Z,2023-02-06T00:53:47Z,4015673937,56,Right,4015673945,213,1.0,4015673943,212,12.1,4015673939,140,73.9,4016716411,388,,4015673941,141,17.3,4015673935,3,,,,,e9wu8dcamrtj3ftbx3nmhusid,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504575787,3,49,1,0,9,22doj4sgsocqpxw45h607udje,1,34.5,77.9,2023-02-05T16:30:29.442Z,2023-02-06T03:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,7qy1hiitksyuaa9l0irxg240l,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504798559,1116,67,1,0,9,22doj4sgsocqpxw45h607udje,1,26.2,82.8,2023-02-05T16:30:29.498Z,2023-02-06T04:20:36Z,4016865493,233,2101,,,,,,,,,,,,,,,,,,,,,,7qy1hiitksyuaa9l0irxg240l,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504798557,2101,67,1,0,9,a3nyxabgsqlnqfkeg41m6tnpp,0,73.8,17.2,2023-02-05T16:30:29.499Z,2023-02-06T03:09:53Z,4016865501,233,1116,,,,,,,,,,,,,,,,,,,,,,atzboo800gv7gic2rgvgo0kq1,E. Haaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
