id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2528626573,2,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-04-04T18:00:04.143Z,2023-04-04T19:10:26Z,4163649035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163649029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163743609,197,11560,4163649027,30,"6j3wbk9xlq4om4m8ih6b3tyvp, dczrgxyolp7lcz413wkz7ap61, 7usl4495egoptlrd762f0arbp, 7c2wnewpcf1idj6ghj6gu0wyd, b1srdmp4cmwl9k768h8a2ixn9, 7yirx71oya71zjsgldj5ucqcq, am70epdl0361z5af8ahskcdsl, ehopba709zukxj4vgcync942d, 4z60ztggqxzfbp8w9ijoqefop, ed20ebhqi5c32vbbsze8r6yuh, 1zxwich342p8fholev7ddkwh6, 5g5wwp5luxo1rz1kp6chvz0x6, 93soe2rjn0z874cc9ofcesgkp, e6jaaazxqeczj6ziaj0qnqpxx, ay02byqc6zdrh5xy3d4fy5qay, 22s7hpp9k5ihtc2pwiaytdp05, e9l5r0txzrjbenli05rn3k4wl, 8nh6qf9i1d0qw7nx4wk25qzth, c83h08n0vnjvfgglyefy03h0p, e3il1t1s5lrn4g8t85fcm40oa",4163649031,59,"1, 24, 21, 32, 26, 33, 7, 8, 11, 29, 5, 4, 10, 12, 15, 16, 17, 19, 23, 31",4163649033,130,12,4163649037,194,am70epdl0361z5af8ahskcdsl,4163649039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528626575,1,34,16,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-04T18:00:05.621Z,2023-04-04T19:03:53Z,4163649047,130,4,4163727647,197,4975,4163649043,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4163649049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163649041,30,"53d0pvr7ylvfhp6p749iniqc5, 29dp5gmu5xbd04mozwxq5tjh1, 3kwkd3b95n8qzqtq4idxav45x, 7mms3tmwizhtvzakotl4hv0et, kvchpptoxgvcyiv358w9gtzp, 2zfjgh5747ge9r9q0thbk123t, 25yu90pekqr1lhs098f3uxy39, 3kdl679ra6mlobdg09xqf7fft, 6b9erfx1rf9nff83300tntadx, bz2p1aiij462e1emd7sh5psd1, 5e300bc3sbmy6iqpvmic34qju, 3xqbru6q5dvtrhv6coe7retp1, 5ilkkfbsss0bxd6ttdlqg0uz9, 9psfk94nduz6icnuwty5v9all, eziqega9e25bg939pfh4vjp3p, 6z1du1o69dgamvu2m8yi97dre, 1abvcjwaxlhc22zoxdqu0t7th, 8ckml3ywxcyv3w7978rki88vd, dpw4s6nbkfcrjlqxxgf9j5yhh, 19z8jmren3eytg7fbuzqv73kl",4163649053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4163649051,194,25yu90pekqr1lhs098f3uxy39,4163649045,59,"1, 2, 21, 3, 32, 5, 14, 17, 9, 20, 27, 7, 11, 18, 26, 28, 29, 47, 62, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639621,3,32,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,0,0,2023-04-04T19:00:13.763Z,2023-04-04T19:00:13Z,4163720013,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639629,3,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-04-04T19:00:13.763Z,2023-04-05T02:06:11Z,4163720051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639645,4,1,1,0,0,c8h9bw1l82s06h77xxrelzhur,1,49.9,50,2023-04-04T19:00:13.812Z,2023-04-05T04:11:52Z,4163720135,279,S,4163720125,56,Back,4164527075,178,,4163720129,141,46.6,4163720131,212,22.1,4163720127,140,29.0,4163720133,213,3.2,,,,25yu90pekqr1lhs098f3uxy39,J. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639657,5,1,1,0,3,c8h9bw1l82s06h77xxrelzhur,0,31.4,47,2023-04-04T19:00:17.101Z,2023-04-05T04:11:54Z,4163720221,140,62.9,4163720229,1,,4163720227,213,0.8,4163720223,141,92.9,4163720225,212,45.5,4164527129,178,,4163720219,56,Left,4163720217,155,,kvchpptoxgvcyiv358w9gtzp,J. Matip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639659,4,44,1,0,6,9q0arba2kbnywth8bkxlhgmdr,1,31.8,11.2,2023-04-04T19:00:20.106Z,2023-04-05T05:11:49Z,4163720233,56,Back,4163720259,233,6,4163720235,285,,,,,,,,,,,,,,,,,dczrgxyolp7lcz413wkz7ap61,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639661,6,44,1,0,6,c8h9bw1l82s06h77xxrelzhur,0,68.2,88.8,2023-04-04T19:00:20.107Z,2023-04-05T04:11:58Z,4163720299,233,4,4163720239,56,Left,4163720241,286,,,,,,,,,,,,,,,,,5e300bc3sbmy6iqpvmic34qju,D. Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528639667,5,1,1,0,6,9q0arba2kbnywth8bkxlhgmdr,0,27.2,14.3,2023-04-04T19:00:20.231Z,2023-04-05T05:11:49Z,4163720271,140,47.8,4163720267,3,,4163720269,56,Back,4163720277,213,6.2,4163720273,141,12.0,4163720275,212,21.7,4164527213,388,,,,,dczrgxyolp7lcz413wkz7ap61,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528640337,16,44,1,0,8,c8h9bw1l82s06h77xxrelzhur,1,50.5,90.2,2023-04-04T19:00:22.254Z,2023-04-05T05:11:50Z,4163723611,286,,4163724165,233,20,4163723609,56,Left,,,,,,,,,,,,,,,,3kwkd3b95n8qzqtq4idxav45x,K. Tsimikas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
