id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/15/value
2494438271,1,34,16,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-01-01T13:00:11.240Z,2023-01-01T14:04:45Z,3962445889,59,"1, 2, 14, 33, 34, 17, 38, 5, 10, 11, 7, 4, 6, 12, 15, 19, 20, 24, 25, 29",3962445899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962445895,194,ombvyo6p3p5khkn91vubvpat,3962445885,30,"ombvyo6p3p5khkn91vubvpat, 31wf775s975qy3il33oora8k5, 2gsq05yyxwe4f8t79j6d49q6t, 7qy1hiitksyuaa9l0irxg240l, 3gsprcdyogabeb8lr2y0bmytx, 2w7i4jfw5wgh3j2wuworoumeh, 1g15ehziupxnsy1kvl3pqmbc9, 4zxrdmwphkxvkvo6bt30uanrp, b9g4qurpll4wizajo95c406hh, cjd62gwj9ptwrrtu6y6xnpeui, 12ekwo6gbza410blv4b4r7ydx, 9bamtyvun46xn9e64lqn9ogyx, 4k0ni039sbjs4sqipk4v7k79x, anxby26pfxpu4u5bfy9nbuvah, az7wa6km1zhvsb8y4mndlogyd, cag3gzjcv8erx3zpp2lidzcvd, 8wz5pdydepr5kzcichz17pv4l, 9irgn82qm11logbhup51rg5wp, 5gb7v3m0qisn24c7h49xn250p, btf0dch35aww78bzillh2jgx6",3962445891,130,13,3962445893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962445897,197,4,3962445887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494438273,1,34,16,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-01-01T13:00:14.764Z,2023-01-01T13:00:14Z,3962445903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962445907,130,2,3962445913,197,397,3962445901,30,"4myy5br8yj5678xlji3up1ryt, 7paw998ux29k7hx4t1g0wu85x, e8gz0tmmdh1ql8qrn1ncrvnpx, blth4klpu88kgh73abpjlgusp, 8qys6qtdwgsycxducl062zld5, 2smmv9hdoiet7necaf00ol51x, btvuam6p4391am219taqtcted, 7j84ozqdpgupzxevbxemi5tyh, 5m0j33eoa5c8pqlr0tdf7undh, 4jyrztlaueae7eg18kuvxa489, l0qqn9tlgov91p5d1zzdupcl, 3zl1q2gk6tdmzirsyfgm38no5, 1e9txzr9hqz94xtun6byo0vs9, d394go61g90f1u6bddu1narit, ashza2qkgnak7wb3vuz5bnzyt, 172klpuv2h1enskc8fz79xg45, eb48g14m2erkf7yzqz8gj4u6t, 1tbc8iokapjgu8zjrc1knq28l, 3vxh219sef8mooilemi8xbs9h, 7gaf68yeu28zp80kkb0tqgpd6",3962445911,194,btvuam6p4391am219taqtcted,3962445909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962445905,59,"25, 18, 27, 44, 4, 5, 7, 6, 11, 31, 10, 1, 2, 8, 9, 16, 17, 20, 23, 35",3962445915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440451,2,32,1,0,0,22doj4sgsocqpxw45h607udje,1,0,0,2023-01-01T14:00:36.644Z,2023-01-01T21:00:13Z,3962457833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440443,2,32,1,0,0,b496gs285it6bheuikox6z9mj,1,0,0,2023-01-01T14:00:36.644Z,2023-01-01T14:00:36Z,3962457791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440463,3,1,1,0,0,b496gs285it6bheuikox6z9mj,1,49.8,50.1,2023-01-01T14:00:36.694Z,2023-01-01T21:45:20Z,3962457883,279,S,3962457879,212,12.2,3962457875,140,38.4,3963032225,178,,3962457881,213,3.0,3962457877,141,53.4,3962457873,56,Back,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440471,4,1,1,0,2,b496gs285it6bheuikox6z9mj,0,38.6,53.4,2023-01-01T14:00:38.943Z,2023-01-01T21:45:24Z,3962457911,213,6.0,3962457905,140,53.1,3962457909,212,15.9,3963032243,178,,3962457903,56,Center,3962457907,141,46.6,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494548347,958,43,1,0,3,22doj4sgsocqpxw45h607udje,1,0,0,2023-01-01T14:00:40.097Z,2023-01-01T22:17:09Z,3963040807,233,794,3963040861,144,67,,,,,,,,,,,,,,,,,,,4zxrdmwphkxvkvo6bt30uanrp,P. Højbjerg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494548363,959,67,1,0,3,22doj4sgsocqpxw45h607udje,1,46.9,54.7,2023-01-01T14:00:40.097Z,2023-01-01T22:55:54Z,3963040887,233,795,,,,,,,,,,,,,,,,,,,,,,4zxrdmwphkxvkvo6bt30uanrp,P. Højbjerg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494548345,794,43,1,0,3,b496gs285it6bheuikox6z9mj,1,0,0,2023-01-01T14:00:40.098Z,2023-01-01T22:17:09Z,3963040859,144,67,3963040811,233,958,,,,,,,,,,,,,,,,,,,blth4klpu88kgh73abpjlgusp,B. Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494548361,795,67,1,0,3,b496gs285it6bheuikox6z9mj,0,53.1,45.3,2023-01-01T14:00:40.098Z,2023-01-01T22:17:13Z,3963040897,233,959,,,,,,,,,,,,,,,,,,,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
