id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2494337205,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-12-31T14:00:07.500Z,2023-01-01T11:47:24Z,3961924925,30,"12l99v9rpet6ug6n121tg6ay1, 80bmtj7l07ohb2h475w955n9, 918sxflcvngsy0xvc9dh3jaei, djelmk2oafas355n2u0d1bumt, 95pzsjfh0wf6isp6qpf9lddyh, 7gyfpskzbb3r5nhiniky22o6h, 8cmkqkrjme3wb0gegzn1e6xre, 6gxyeuqjnyj9bl4n8kz14sv6d, efq6i6kz6ca3u91snwmptef2t, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, e6la6wx7o6x7k4srpq8tdsafp, bvlkh4zxfuo5frhj7ogpnecbt, cr4c6htcw2jewsvboj6s8p045, 2u0613a3yx2fk1pefmb722rbp, bzjzvw54k5cmo93wdkjv89knp, 8yp9la3fl2zym7vie19lmw0k5, b187awt0wdxh20fx1rn5vgewa, 2ubxzcc4zioelrh0cvxnae4lx, 4c6r0dil3544i5odctdima162",3961924937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961924935,194,7gyfpskzbb3r5nhiniky22o6h,3961924929,59,"1, 15, 33, 4, 25, 5, 32, 8, 21, 9, 29, 3, 6, 10, 14, 17, 18, 20, 22, 45",3961924927,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961951813,197,2071,3961924931,130,2,3961924933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494337217,1,34,16,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-12-31T14:00:10.753Z,2023-01-01T11:23:59Z,3961925017,194,1rz6bw398na1i3t29rop7ikt1,3961925019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961925015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961951867,197,15924,3961925007,30,"8k88isvd2hwr5e4gn9oxzr2t, ezrn62nekq3wpw1qs1yu1ezmd, 1rz6bw398na1i3t29rop7ikt1, 6ebb2xcovp1tx5nv5yyncb7x1, 5wkso3mls5ulkilr0xzfix1p1, 9ipux4xiejibplsbbhqz8d5gp, m2c4lckkcr7yilnqxrrsgh2i, 19m0uqmf1otcekssb7tbrl1m2, 9c927a1i8iqblent14xat7aad, 4wic6z72nwmhkheme209fcmp5, 9ikkppq7uewf36gahgz0kzaol, 7yte0egh8y7assst6g0vnn9w5, djgqihf08sxqh0zt2xe2xzv1l, dbebh5mvzowjrp7h4qvzxvaol, c9pmcoyzgtgcnlc63cl4283bp, 1j33u4pcdl987f0pm1hpkynai, 5nsag404623qznyyizl8yuwkq, a7uo47nehqo2irfllck81uqxh, cuyd2ma98m6iq8e8va1bqlxey, 710poxssyhhnb3q3vr3hsvdhw",3961925009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961925013,130,8,3961925011,59,"13, 17, 2, 15, 16, 6, 7, 28, 9, 10, 11, 1, 14, 19, 22, 23, 26, 44, 45, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347723,2,32,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,0,0,2022-12-31T15:00:20.290Z,2022-12-31T15:00:20Z,3961982235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347739,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-12-31T15:00:20.290Z,2023-01-27T13:33:07Z,3961982309,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347743,3,1,1,0,0,1c8m2ko0wxq1asfkuykurdr0y,1,50,50,2022-12-31T15:00:20.320Z,2023-01-01T00:55:47Z,3962298509,178,,3961982329,212,20.9,3961982327,141,51.2,3961982325,140,30.1,3961982331,213,3.1,3961982333,279,S,3961982323,56,Back,,,,4wic6z72nwmhkheme209fcmp5,E. Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347749,4,1,1,0,2,1c8m2ko0wxq1asfkuykurdr0y,0,30.1,50.4,2022-12-31T15:00:23.168Z,2023-01-01T00:55:54Z,3962298577,178,,3961982357,56,Left,3961982367,1,,3961982359,140,67.6,3961982365,213,0.6,3961982355,155,,3961982361,141,86.8,3961982363,212,46.5,5wkso3mls5ulkilr0xzfix1p1,J. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347755,3,49,1,0,5,1pse9ta7a45pi2w2grjim70ge,1,23.9,8,2022-12-31T15:00:25.900Z,2023-01-01T00:56:00Z,,,,,,,,,,,,,,,,,,,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347759,4,1,1,0,5,1pse9ta7a45pi2w2grjim70ge,1,23.9,8,2022-12-31T15:00:25.920Z,2023-01-01T00:56:05Z,3961982383,140,28.9,3961982381,56,Back,3961982385,141,8.2,3961982387,212,5.3,3962298623,178,,3961982389,213,0.0,,,,,,,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347769,5,1,1,0,6,1pse9ta7a45pi2w2grjim70ge,1,28.9,8.2,2022-12-31T15:00:27.083Z,2023-01-01T00:56:11Z,3961982431,56,Back,3961982433,140,27.5,3961982439,213,1.8,3961982437,212,8.2,3961982435,141,20.0,3962298639,178,,,,,,,,8cmkqkrjme3wb0gegzn1e6xre,J. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494347775,6,1,1,0,7,1pse9ta7a45pi2w2grjim70ge,1,24.5,18.6,2022-12-31T15:00:27.942Z,2023-01-01T00:56:14Z,3962298651,178,,3961982471,212,15.5,3961982465,56,Back,3961982473,213,6.2,3961982467,140,39.2,3961982469,141,17.4,,,,,,,6gxyeuqjnyj9bl4n8kz14sv6d,J. Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
