id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2499635363,1,34,16,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-01-22T13:00:02.583Z,2023-01-22T14:11:55Z,3989841129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989841127,130,8,3989841135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989841123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989841121,30,"8szyip8c62bier901hmpqc7vt, 983mn5yig2f4upkq9e97hx87p, b275i2lg3anqae5lv9gmrzmqx, 4r6jcuotjs6rz8iwu20996z85, 1zumt9vkrqd8d3p3eqtwezi6t, 9r20sl10trs6903jz83hmt6nd, 8rrcscn29rs1gk8mi1pwpu92i, 7dbzcwyph2xoljyhaogjo7mcp, 4hmivvhmplqof776e9tbqg251, 9z2j13bl5yh4i1vyofautc9yi, 6kih58n0fzlod6c792xpey57t, 9rfwfsz5cmckyjripqgtbc7op, 6q6i9x4w4vcdwwmiwq8k6sixh, 9ao7l82r1xd2rjnvv5u6plcr9, ax5fuknlz3zc3fcesya61iod1, 7xlnqr43lvc8coshx65qd5omh, e8ekkg0yayhhmmhinl0v9une, dn3llv8xjdbbndltfym5ar561, 3ojnucluy7h8fgk2myyo0zx4a, 7oikovl62nfxs6z54dzd85gx5",3989841125,59,"1, 2, 21, 8, 5, 39, 7, 12, 19, 29, 11, 3, 9, 14, 22, 23, 24, 25, 30, 42",3989841133,197,4773,3989841131,194,983mn5yig2f4upkq9e97hx87p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635371,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-01-22T13:00:04.942Z,2023-01-22T13:00:05Z,3989841215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989841217,194,8ju1opnca42o8i00wq3onzmqd,3989841221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989841213,130,12,3989841219,197,16601,3989841211,59,"1, 30, 3, 16, 5, 20, 10, 8, 19, 17, 6, 2, 9, 11, 13, 14, 22, 23, 24, 27",3989841209,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989841207,30,"4iijb6llnz28unsz4rirr3umt, 68n1ydedtlw2s6toghw9qiprd, 2nzefp5pwvldt2ttmxfeakamt, 66939rcic8zhw13nlcniiq4t1, d9a62lhx21b0ym73rxd6mw8h5, 32bvxwhceid2xdcfx6cd8a8d1, bs7iyv9ys61m88qh4rvb0tpzp, dtol82tjlq48bs0s70sisguz9, v78uhwxgzojcec8lsdvucusp, b36foqukxn8obd969q6sea7yt, 8ju1opnca42o8i00wq3onzmqd, 9xfrrmf19uv4i69ge0kg1hh7u, 1h3mduwlaf89ebwtqxuegsodm, bxjc2heo4ve54cyvw98qcck45, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, ebzt12h6z4a9mok0rohagmzf9, 7j36oy8n0tu8ps0haqb4es48a, ek0k9s7axizns3vtzyy3z5nu, 9k8gysrsy1a261nhcszo4aoyx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664441,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-01-22T14:00:24.787Z,2023-01-22T14:00:25Z,3989993197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664459,2,32,1,0,0,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-01-22T14:00:24.787Z,2023-01-22T19:37:20Z,3989993275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664489,3,1,1,0,0,7yx5dqhhphyvfisohikodajhv,1,50,49.7,2023-01-22T14:00:24.836Z,2023-01-22T20:20:41Z,3989993323,213,3.3,3989993319,141,46.4,3989993321,212,15.6,3989993317,140,35.3,3989993325,279,S,3989993315,56,Back,3991062341,178,,,,,dtol82tjlq48bs0s70sisguz9,M. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664513,4,1,1,0,2,7yx5dqhhphyvfisohikodajhv,1,32.2,44.1,2023-01-22T14:00:27.036Z,2023-01-22T20:20:54Z,3989993445,56,Center,3989993455,1,,3989993449,141,70.5,3989994269,210,13,3989993451,212,52.6,3989993447,140,79.3,3989993661,157,,3989993453,213,0.3,4iijb6llnz28unsz4rirr3umt,David Raya,1,3991062785,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664515,5,44,1,0,6,7yx5dqhhphyvfisohikodajhv,1,81.7,64.4,2023-01-22T14:00:30.868Z,2023-01-22T21:02:56Z,3989993525,233,3,3989993461,286,,3989993459,56,Center,,,,,,,,,,,,,,,,b36foqukxn8obd969q6sea7yt,I. Toney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664517,3,44,1,0,6,48gk2hpqtsl6p9sx9kjhaydq4,0,18.3,35.6,2023-01-22T14:00:30.869Z,2023-01-22T19:49:07Z,3989993479,233,5,3989993465,285,,3989993463,56,Back,,,,,,,,,,,,,,,,1zumt9vkrqd8d3p3eqtwezi6t,R. Koch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499664527,6,13,1,0,7,7yx5dqhhphyvfisohikodajhv,1,87.5,69.5,2023-01-22T14:00:32.206Z,2023-01-22T20:20:55Z,3991063351,178,,3989994297,215,,3989994293,102,57.0,3989993809,72,,3989993535,56,Center,3989994287,29,,3989993533,64,,3989994295,103,77.8,b36foqukxn8obd969q6sea7yt,I. Toney,,3989994285,77,3989994289,55,4,3989994299,230,96.2,3989993531,22,3989994301,231,55.2,,,,,,,,,,,,,,,,,,,,,,
2499664521,4,43,1,0,8,48gk2hpqtsl6p9sx9kjhaydq4,1,0,0,2023-01-22T14:00:32.906Z,2023-01-22T14:00:51Z,3989993485,56,Back,3989993491,212,1.4,3989993483,3,0,3989993487,140,19.6,3989993493,213,5.1,3989993489,141,36.6,3989994079,144,1,,,,1zumt9vkrqd8d3p3eqtwezi6t,R. Koch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
