id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/18/value
2448368447,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-20T13:00:08.568Z,2022-08-20T13:00:08Z,3718351777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718351785,194,1tuivl8zdnsaz8vbed2z582qx,3718351779,59,"1, 7, 15, 26, 3, 4, 5, 14, 11, 20, 9, 21, 23, 25, 2, 10, 13, 16, 17, 22",3718351781,130,18,3718351789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718351775,30,"5z8ycnd0smdkumi5fgtzf7c9h, 3mgjcyaseuexxlssgatjgsand, 1vklxifs8qpj71s4reu3pkw5x, 12cgiy0t282ywdbr5j78hrxsl, av7e2wk5ub7qnh3sqcvssvh79, 1tuivl8zdnsaz8vbed2z582qx, 95uxoznu15m2xywirv43rcmol, dcq0nu7mmecab5djjwg0n8ktm, 5f72vvw62zdlyrj3mwux2udat, 1l228p52d8wdf8qhfxqu8rca, 55eiicx10oqok1601fqyovt1x, a6m9jcx0e4l6krv1u0pbfuoyd, 19nlw3sa0khwz0el4wqc7zrp, 3ztcz2dgfniqv141w7xsky7zd, esb4b21x729db8od4c4xt8ciy, 55yy0p6johtu9nxk90zsfctt5, 8bhdwi4p824s82bbzkh2vy6t, 8kfciybd6filv663ebckuerjd, mpzi06x1j85ahwkrbsa20kmi, ece7xph4emgawvh7mr56319ex",3718351787,197,4782,3718351783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448368497,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-08-20T13:00:14.764Z,2022-08-20T14:08:37Z,3718351977,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718351973,194,e8dina16u5kt5ho4u5igtmimt,3718351965,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718351971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718351975,197,409,3718351969,130,13,3718351963,30,"e8dina16u5kt5ho4u5igtmimt, a559ewan4122b6orx6d0f6s16, 9o1vesnpfiucpoq35ihhpstex, 35jaxclh329duzefna708jk5x, ed4w2l6hglrrxu2a75bn0tt5h, 4njl5iqybub0cxbhjh2xbft9l, cpd8prwzxf0rzevtk33fpryt, 8kb5h8df97ju107n9ibigo1cl, 20wvh9al53baedfzbzykpvkyd, 8mjj0wgufggpc1ai2dk21h90p, 4n782p6eaok71ai7ecj1jo1jp, 6og6s61vrg51rfqxk9cipylzp, npyr018r8w1ubvvdy1k6f3dh, 7qgt7sht6py670pt6t4wjhqay, do3duah478rhz9cg2icde4h9m, 5tlxrhab4kdeud8d2r9z9hk2d, 48hur5fmszaqltysykkb4js2d, 9nq9bocnqq6bu8ho4m26qmkt1, dr2upvki95vzd9pclkjpsjs2d, 4nk3po2hbfahzgq57g8k4cg6h",3718351967,59,"1, 3, 19, 2, 30, 4, 26, 17, 33, 10, 11, 5, 6, 7, 8, 15, 20, 23, 25, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448401933,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-08-20T14:00:39.119Z,2023-02-02T12:58:58Z,3718510579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448401923,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2022-08-20T14:00:39.119Z,2022-08-20T14:00:39Z,3718510525,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402029,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,50.1,50.3,2022-08-20T14:00:39.152Z,2022-08-20T23:56:11Z,3718510993,141,53.4,3718510989,56,Back,3718510997,213,3.0,3718510999,279,S,3718510991,140,32.3,3718510995,212,18.8,3721262167,178,,,,,5f72vvw62zdlyrj3mwux2udat,J. Lingard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402095,4,1,1,0,3,1qtaiy11gswx327s0vkibf70n,0,30.3,53.6,2022-08-20T14:00:42.327Z,2022-08-20T23:56:17Z,3718511309,155,,3718511315,141,100.0,3721262389,178,,3718511311,56,Left,3718511319,213,0.5,3718511317,212,66.4,3718511321,1,,3718511313,140,85.5,av7e2wk5ub7qnh3sqcvssvh79,S. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402139,3,5,1,0,7,ehd2iemqmschhj2ec0vayztzz,1,14.8,-1.4,2022-08-20T14:00:47.087Z,2022-08-20T23:56:21Z,3718511465,56,Back,3718511467,347,,3718511505,233,5,,,,,,,,,,,,,,,,4njl5iqybub0cxbhjh2xbft9l,M. Holgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402105,5,5,1,0,7,1qtaiy11gswx327s0vkibf70n,0,85.2,101.4,2022-08-20T14:00:47.087Z,2022-08-20T23:56:22Z,3718511347,347,,3718511547,233,3,3718511341,56,Left,,,,,,,,,,,,,,,,av7e2wk5ub7qnh3sqcvssvh79,S. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402385,4,1,1,0,19,ehd2iemqmschhj2ec0vayztzz,0,18.7,0,2022-08-20T14:00:58.439Z,2022-08-20T23:56:33Z,3718512635,141,18.1,3718512639,213,0.4,3718512641,1,,3718512631,56,Back,3718512637,212,31.8,3718512633,140,46.1,3718512627,107,,,,,a559ewan4122b6orx6d0f6s16,N. Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448402395,6,49,1,0,22,1qtaiy11gswx327s0vkibf70n,1,55.1,80.7,2022-08-20T14:01:01.446Z,2022-08-20T23:56:36Z,,,,,,,,,,,,,,,,,,,,,,,,,1tuivl8zdnsaz8vbed2z582qx,J. Worrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
