id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,assist
2468775695,1,34,16,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-08T13:00:04.154Z,2022-10-08T14:03:10Z,3826894801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826894813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826894809,194,80bmtj7l07ohb2h475w955n9,3826894799,30,"1um5sa7iogc29aadvkabadyad, y51k2gwbs4xmkao0mnaaa76d, 80bmtj7l07ohb2h475w955n9, djelmk2oafas355n2u0d1bumt, bvlkh4zxfuo5frhj7ogpnecbt, 95pzsjfh0wf6isp6qpf9lddyh, cr4c6htcw2jewsvboj6s8p045, 6gxyeuqjnyj9bl4n8kz14sv6d, dvj6rdi2k0td95oxldbj6e28l, 33cny48k38nlo8pcx3i24ldqt, b3gobhr43y8oxpafvp4f8rgmh, 12l99v9rpet6ug6n121tg6ay1, e6la6wx7o6x7k4srpq8tdsafp, 1e7gbqj7riv8a7kxsfjr0q7kl, bzjzvw54k5cmo93wdkjv89knp, 8yp9la3fl2zym7vie19lmw0k5, b187awt0wdxh20fx1rn5vgewa, efq6i6kz6ca3u91snwmptef2t, 8cmkqkrjme3wb0gegzn1e6xre, 918sxflcvngsy0xvc9dh3jaei",3826894803,59,"13, 2, 15, 4, 6, 25, 10, 8, 9, 29, 16, 1, 3, 11, 17, 18, 20, 21, 32, 33",3826894811,197,2071,3826894805,130,2,3826894807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468775719,1,34,16,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-10-08T13:00:06.458Z,2022-10-08T14:05:35Z,3826894909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826894915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826894913,197,16650,3826894901,30,"5h2biadv4hd2ntcd7zo2c8639, p87gxg8kc9ta6iipqt5fxmtx, 6icypdqtfk2k81ax0i49j5xpl, egi71rvlclvis07nzbvjhl9m1, 7o49rb7fgi2ml87up7hh2z0t1, 72d5uxwcmvhd6mzthxuvev1sl, a1yoz8f4985o166nzcyigpj2t, eo4uva2gnx08xdazfaqzyz2dx, otz9c2ifww514ummo10nfoix, 2bkp1lcaxmvwoanxwo0775cdl, 18paf5a7rfe4kutxjl4cwd695, 6v1o4s2acog9guff3folo1jh1, xm50j2dki5ml1gzx3y0i0zbp, 51xwrb0qit04oz9x01p2gghjp, drwacyyicuhy3heg4j0ipqj85, enyatxtjef9lacem6c8cc1mmt, 8prtj2o0lz1zbzpuw4ah4qhud, bm9qgspytvdwy514kk6ytztg5, 70jmsf551d1sspqnm8t5lrch5, 9ph8akfukfq27bhidkp8k249g",3826894907,130,7,3826894905,59,"1, 27, 2, 42, 6, 3, 10, 8, 20, 22, 7, 9, 11, 14, 17, 18, 26, 31, 33, 44",3826894911,194,7o49rb7fgi2ml87up7hh2z0t1,3826894903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823445,2,32,1,0,0,avxknfz4f6ob0rv9dbnxdzde0,1,0,0,2022-10-08T14:00:08.654Z,2022-10-08T14:00:12Z,3827141951,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823435,2,32,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,0,0,2022-10-08T14:00:08.654Z,2022-10-08T22:29:09Z,3827141913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823483,3,1,1,0,0,1pse9ta7a45pi2w2grjim70ge,1,50,50,2022-10-08T14:00:08.754Z,2022-10-08T23:29:30Z,3827142121,212,18.6,3827142115,56,Back,3827142117,140,32.6,3829856391,178,,3827142123,213,3.3,3827142125,279,S,3827142119,141,44.9,,,,dvj6rdi2k0td95oxldbj6e28l,D. Solanke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823497,4,1,1,0,2,1pse9ta7a45pi2w2grjim70ge,1,32.6,44.9,2022-10-08T14:00:10.936Z,2022-10-08T23:29:42Z,3827142217,140,30.0,3827142221,212,8.7,3827142215,56,Back,3829856971,178,,3827142223,213,1.9,3827142219,141,57.0,,,,,,,95pzsjfh0wf6isp6qpf9lddyh,M. Senesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823521,5,1,1,0,4,1pse9ta7a45pi2w2grjim70ge,1,30,57,2022-10-08T14:00:12.931Z,2022-10-08T23:29:47Z,3827142347,213,0.5,3827142337,155,,3829857171,178,,3827142343,141,86.4,3827142345,212,41.7,3827142341,140,64.9,3827142349,1,,3827142339,56,Left,80bmtj7l07ohb2h475w955n9,A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823575,6,1,1,0,6,1pse9ta7a45pi2w2grjim70ge,1,64.9,86.4,2022-10-08T14:00:15.379Z,2022-10-08T23:29:51Z,3827142617,212,25.6,3829857303,388,,3827142613,141,52.8,3827142609,56,Center,3827142607,3,,3827142611,140,54.0,3827142619,213,4.2,,,,b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823611,7,1,1,0,13,1pse9ta7a45pi2w2grjim70ge,1,41.9,45.5,2022-10-08T14:00:21.696Z,2022-10-08T23:30:11Z,3827142793,56,Back,3827142795,140,30.5,3827142797,141,30.1,3827142799,212,15.9,3827142801,213,3.9,3829858149,178,,,,,,,,6gxyeuqjnyj9bl4n8kz14sv6d,J. Lerma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823665,8,1,1,0,15,1pse9ta7a45pi2w2grjim70ge,1,29.5,29,2022-10-08T14:00:23.863Z,2022-10-08T23:30:19Z,3827143107,140,32.6,3827143109,141,2.8,3827143105,56,Back,3829858481,178,,3827143113,213,4.9,3827143111,212,18.1,,,,,,,bvlkh4zxfuo5frhj7ogpnecbt,C. Mepham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
