id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2494472261,1,34,16,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-01T15:30:16.442Z,2023-01-01T16:35:22Z,3962632081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962632087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962632083,59,"1, 24, 32, 23, 4, 30, 22, 5, 10, 20, 9, 3, 7, 8, 13, 14, 15, 16, 25, 26",3962632079,30,"5z8ycnd0smdkumi5fgtzf7c9h, 8pb6iiphpyxdlpbs4dpunr8wl, 59wmst2hxu6y4zut9a48jxiw9, 19nlw3sa0khwz0el4wqc7zrp, 1tuivl8zdnsaz8vbed2z582qx, cfpqqzqrpzv6dq89yw7nfd1p1, ece7xph4emgawvh7mr56319ex, 95uxoznu15m2xywirv43rcmol, 55yy0p6johtu9nxk90zsfctt5, 1l228p52d8wdf8qhfxqu8rca, 55eiicx10oqok1601fqyovt1x, av7e2wk5ub7qnh3sqcvssvh79, 3mgjcyaseuexxlssgatjgsand, 25kl6261u9xft9cfvot8aezf9, 8bhdwi4p824s82bbzkh2vy6t, dcq0nu7mmecab5djjwg0n8ktm, 1vklxifs8qpj71s4reu3pkw5x, 8kfciybd6filv663ebckuerjd, 3ztcz2dgfniqv141w7xsky7zd, 12cgiy0t282ywdbr5j78hrxsl",3962632093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962632091,197,4782,3962632085,130,4,3962632089,194,1tuivl8zdnsaz8vbed2z582qx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494472307,1,34,16,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-01T15:30:20.625Z,2023-01-01T15:30:20Z,3962632377,130,4,3962632383,197,11560,3962632371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962632381,194,bvw1jgmhfyc896gfi6uj0skwl,3962632365,30,"6j3wbk9xlq4om4m8ih6b3tyvp, bvw1jgmhfyc896gfi6uj0skwl, 7c2wnewpcf1idj6ghj6gu0wyd, 9id859f7xnqwj0jazjzkbjzdh, b1srdmp4cmwl9k768h8a2ixn9, c6pqhaqusk8s1c2m21i5wtrkl, 2jc6sdkse1kxjztsgystidot1, 8nh6qf9i1d0qw7nx4wk25qzth, ed20ebhqi5c32vbbsze8r6yuh, e9l5r0txzrjbenli05rn3k4wl, 93soe2rjn0z874cc9ofcesgkp, ehopba709zukxj4vgcync942d, actvnm36s31zf8wh8hjikzlqt, 9l3cvbbgw484v7la0bjv43mj9, 5e2zgfe3ltc6qbnoqdfshqsph, 8r547g1qv706wo9iqr5unfnpx, c83h08n0vnjvfgglyefy03h0p, 5ql70wwevaoqpxabylew5f696, 71bbzkvxtah61qhi34m9n79ck, 8i46yzejeiwdmz0tywmy42o2y",3962632385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962632375,59,"1, 28, 32, 5, 26, 6, 20, 19, 29, 17, 10, 8, 9, 13, 14, 22, 23, 30, 56, 67",3962632379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506369,2,32,1,0,0,9q0arba2kbnywth8bkxlhgmdr,1,0,0,2023-01-01T16:30:55.696Z,2023-01-01T16:30:57Z,3962817675,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506347,2,32,1,0,0,1qtaiy11gswx327s0vkibf70n,1,0,0,2023-01-01T16:30:55.696Z,2023-01-01T22:56:59Z,3962817551,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506403,3,1,1,0,0,1qtaiy11gswx327s0vkibf70n,1,50.2,49.9,2023-01-01T16:30:55.698Z,2023-01-01T23:29:52Z,3963062403,178,,3962817837,140,32.0,3962817845,279,S,3962817841,212,21.1,3962817843,213,2.7,3962817835,56,Back,3962817839,141,63.0,,,,ece7xph4emgawvh7mr56319ex,R. Yates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506435,4,1,1,0,2,1qtaiy11gswx327s0vkibf70n,0,31.9,65.5,2023-01-01T16:30:58.575Z,2023-01-01T23:29:56Z,3962818003,212,48.8,3962817999,140,72.3,3962818001,141,100.0,3962817995,155,,3962818007,1,,3962817997,56,Left,3962818005,213,0.5,3963062417,178,,cfpqqzqrpzv6dq89yw7nfd1p1,W. Boly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506543,3,5,1,0,6,9q0arba2kbnywth8bkxlhgmdr,1,26.7,-1,2023-01-01T16:31:01.972Z,2023-01-01T23:30:02Z,3962818611,347,,3962818609,56,Back,3962818629,233,5,,,,,,,,,,,,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506441,5,5,1,0,6,1qtaiy11gswx327s0vkibf70n,0,73.3,101,2023-01-01T16:31:01.972Z,2023-01-01T23:30:01Z,3962818033,56,Left,3962818035,347,,3962818655,233,3,,,,,,,,,,,,,,,,cfpqqzqrpzv6dq89yw7nfd1p1,W. Boly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506569,4,1,1,0,14,9q0arba2kbnywth8bkxlhgmdr,1,25.9,0,2023-01-01T16:31:10.338Z,2023-01-01T23:30:07Z,3962818763,213,0.3,3962818759,141,2.0,3962818755,56,Back,3962818761,212,8.2,3962818757,140,33.4,3962818753,107,,,,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494506579,5,61,1,0,16,9q0arba2kbnywth8bkxlhgmdr,1,38.1,3.1,2023-01-01T16:31:11.786Z,2023-01-01T23:30:14Z,3962818819,56,Back,3963062613,178,,3963062611,21,,,,,,,,,,,,,,,,,ed20ebhqi5c32vbbsze8r6yuh,K. Havertz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
