id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2529001423,1,34,16,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-04-05T18:00:08.618Z,2023-04-05T18:00:08Z,4165650573,59,"1, 30, 3, 16, 5, 18, 24, 6, 17, 19, 8, 2, 9, 10, 11, 13, 14, 22, 26, 33",4165650587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165650575,130,10,4165650569,30,"4iijb6llnz28unsz4rirr3umt, 68n1ydedtlw2s6toghw9qiprd, 2nzefp5pwvldt2ttmxfeakamt, 66939rcic8zhw13nlcniiq4t1, d9a62lhx21b0ym73rxd6mw8h5, 4j6a6qec8m58zgojpbv8wxnf9, ek0k9s7axizns3vtzyy3z5nu, 8ju1opnca42o8i00wq3onzmqd, b36foqukxn8obd969q6sea7yt, v78uhwxgzojcec8lsdvucusp, dtol82tjlq48bs0s70sisguz9, 9xfrrmf19uv4i69ge0kg1hh7u, 1h3mduwlaf89ebwtqxuegsodm, bs7iyv9ys61m88qh4rvb0tpzp, bxjc2heo4ve54cyvw98qcck45, 45zetxtrvjb3muvcrr9b5it3p, 2xgvd7xovqcd6q30m59dbi11x, ebzt12h6z4a9mok0rohagmzf9, 84xefpsrml48n7czpnruzxkru, 9y3cnx4ymvbndjyu6sk936k4q",4165650585,197,11858,4165650571,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4165650579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165650583,194,4j6a6qec8m58zgojpbv8wxnf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529001441,3,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-04-05T18:00:12.364Z,2023-04-05T19:32:00Z,4165650673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4165650681,194,3vtjjrqof5z2tjj84ehadqc45,4165650675,59,"1, 20, 23, 8, 19, 6, 21, 39, 10, 15, 25, 2, 5, 9, 12, 17, 27, 28, 29, 31",4165650685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165650677,130,8,4165650671,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, 7uxt9a7t22ij4reg1uire5uqd, 3vtjjrqof5z2tjj84ehadqc45, 3dph74ixutmbpscaon0b25sl, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 9fvo9v5e9r0ptibied6ejv3zd, 604osk9a3lxpfpkavuziqmn6x, 8cho2d1nz18i5o0zt6aysd68l, cv8egyrq9dlfgeamk6b7fdgq1, a3ms8havadt1y9x381l325txx, 1vz038uyzmq8saskeeo0qhm8l, 3ikhefktnj44ys7rqjzr5q09h, bl8667xvrhy0tft8x3lgopomh, dubi41xs74u89icfnn80vxx3p, 57btqxe5sy3ygzxpp55p4umdx, 6oq2axbijb2qrhw86l7erxmcq, e1t5rgvs2hwnldts6vn8agzc9, 7yte0egh8y7assst6g0vnn9w5",4165650679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165650683,197,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022577,2,32,1,0,0,7yx5dqhhphyvfisohikodajhv,1,0,0,2023-04-05T19:01:02.732Z,2023-04-05T19:01:03Z,4165758147,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022581,4,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2023-04-05T19:01:02.732Z,2023-04-06T02:01:03Z,4165758165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022623,5,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,50.1,50,2023-04-05T19:01:02.804Z,2023-04-06T02:16:52Z,4165758373,141,20.8,4166579365,178,,4165758375,212,25.5,4165758369,56,Back,4165758371,140,34.8,4165758379,279,S,4165758377,213,4.0,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022647,6,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,34.8,20.8,2023-04-05T19:01:06.662Z,2023-04-06T02:16:55Z,4166579477,178,,4165758455,213,1.8,4165758453,212,15.9,4165758447,56,Back,4165758449,140,30.9,4165758451,141,43.4,,,,,,,3f3jcsa7gk6in9fskp9w5a5t5,Diogo Dalot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022673,7,1,1,0,6,6eqit8ye8aomdsrrq0hk3v7gh,1,33.9,39.2,2023-04-05T19:01:08.983Z,2023-04-06T02:16:58Z,4165758599,212,18.6,4165758597,141,66.5,4165758595,140,33.6,4165758593,56,Back,4166579525,178,,4165758601,213,1.6,,,,,,,3dph74ixutmbpscaon0b25sl,R. Varane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022721,8,1,1,0,8,6eqit8ye8aomdsrrq0hk3v7gh,1,33.6,66.5,2023-04-05T19:01:11.001Z,2023-04-06T02:17:01Z,4165758915,56,Back,4165758923,213,1.2,4166579573,178,,4165758921,212,21.0,4165758917,140,41.2,4165758919,141,95.1,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022757,9,1,1,0,12,6eqit8ye8aomdsrrq0hk3v7gh,1,46.4,93.3,2023-04-05T19:01:15.624Z,2023-04-06T02:17:04Z,4165759085,212,17.1,4165759083,141,72.5,4165759079,56,Back,4166579667,178,,4165759081,140,37.3,4165759087,213,4.1,,,,,,,7uxt9a7t22ij4reg1uire5uqd,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529022797,10,1,1,0,15,6eqit8ye8aomdsrrq0hk3v7gh,1,37.3,72.5,2023-04-05T19:01:18.457Z,2023-04-06T02:17:08Z,4166579765,178,,4165759261,212,17.1,4165759255,56,Back,4165759263,213,1.1,4165759257,140,44.6,4165759259,141,95.0,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
