id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/16/value
2474283747,1,34,16,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-19T17:30:32.911Z,2022-10-19T18:31:47Z,3856157483,59,"22, 2, 33, 39, 5, 4, 36, 7, 9, 24, 23, 6, 8, 12, 13, 18, 20, 21, 28, 32",3856157487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856157481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3856157489,194,65z99j774kjnbf7vm0u2q0jit,3856157479,30,"9s9i1a7hdq5bud8ma2dqi295h, 65z99j774kjnbf7vm0u2q0jit, 6f1ljb0an6d0g4nbap6xgxsyd, 72m84nwa6dshu3ibmy13dz5rd, dxxc4dioaioidmvamkzqr4b85, 4jwkz8almo2997hvp09zl0p9l, 9pv566tidfz21e00y4t0mbap5, c589fk8pfqvbukvtdqu1yhjv9, 66r7rq9kcoyow46ovmhzrtec5, bijr1ghojrxc61se7ebt72f9x, 37d7oej48pb143o5eilue1hhx, 7z5ugeh3ejhwa3c8tg7idkpud, b7eoho4q34nfispye73m8b00l, 96yg5g3b9o4gqbo2p299h4gdl, 7g5elxh8h34yj55h9heydhzv9, 7m4pw4plxndt68iq7f3s60cet, cjdycctu96jilvbvnl7ndh9sl, 7gcvzjdbqxe5jw1zn07ie4dsl, 5tbabvk43ljv3z3wd9mh0y8r9, exzca2akgjl00jfd2hzh33h7t",3856157493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856157491,197,420,3856157485,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474283795,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-19T17:30:37.538Z,2022-10-19T18:30:42Z,3856157721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856157727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3856157723,194,9nq9bocnqq6bu8ho4m26qmkt1,3856157715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3856157719,130,4,3856157713,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 9o1vesnpfiucpoq35ihhpstex, ceerfv28fygp7m2euv5n5uu39, ed4w2l6hglrrxu2a75bn0tt5h, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, 374kcix9j7e1cob4uxmfncwyd, 8mjj0wgufggpc1ai2dk21h90p, 4n782p6eaok71ai7ecj1jo1jp, 4njl5iqybub0cxbhjh2xbft9l, 6og6s61vrg51rfqxk9cipylzp, 7qgt7sht6py670pt6t4wjhqay, 5tlxrhab4kdeud8d2r9z9hk2d, 8g7clz1z04oqjxhg8xnqc7105, xu7mykgl15kaib3olilmsez9, cpd8prwzxf0rzevtk33fpryt, 4nk3po2hbfahzgq57g8k4cg6h, 15948izygnu32cu1pw6h5wp9l",3856157725,197,409,3856157717,59,"1, 23, 19, 27, 30, 2, 17, 8, 9, 10, 11, 4, 5, 7, 15, 16, 20, 26, 29, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320465,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-19T18:30:08.311Z,2022-10-19T18:30:08Z,3856361753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320471,2,32,1,0,0,7vn2i2kd35zuetw6b38gw9jsz,1,0,0,2022-10-19T18:30:08.311Z,2023-02-02T08:20:20Z,3856361779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320483,3,1,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,49.8,49.9,2022-10-19T18:30:08.323Z,2022-10-19T23:46:23Z,3856361831,141,45.9,3856361833,212,21.4,3856361837,279,S,3856361829,140,29.6,3857139595,178,,3856361835,213,3.3,3856361827,56,Back,,,,8mjj0wgufggpc1ai2dk21h90p,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320519,4,1,1,0,2,ehd2iemqmschhj2ec0vayztzz,0,31.4,46.2,2022-10-19T18:30:10.882Z,2022-10-19T23:46:27Z,3856362005,140,69.9,3856362013,1,,3856362009,212,47.0,3856362011,213,0.5,3856362003,56,Left,3856362007,141,81.5,3856362001,155,,3857139685,178,,ed4w2l6hglrrxu2a75bn0tt5h,C. Coady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320541,3,1,1,0,5,7vn2i2kd35zuetw6b38gw9jsz,0,33,16.3,2022-10-19T18:30:13.742Z,2022-10-19T23:46:31Z,3856362117,3,,3856362121,140,46.4,3856362125,212,15.0,3856362123,141,8.8,3856362127,213,5.9,3857139823,388,,3856362119,56,Back,,,,dxxc4dioaioidmvamkzqr4b85,F. Schär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320555,5,1,1,0,7,ehd2iemqmschhj2ec0vayztzz,0,52.8,97.1,2022-10-19T18:30:15.963Z,2022-10-19T23:46:36Z,3856362235,1,,3856362227,140,56.2,3856362223,157,,3856362231,212,13.7,3856362225,56,Center,3856362233,213,5.0,3856362229,141,77.6,3857139957,178,,9o1vesnpfiucpoq35ihhpstex,V. Mykolenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320579,4,49,1,0,10,7vn2i2kd35zuetw6b38gw9jsz,1,46.8,25.4,2022-10-19T18:30:18.352Z,2022-10-19T23:46:44Z,,,,,,,,,,,,,,,,,,,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474320591,5,1,1,0,10,7vn2i2kd35zuetw6b38gw9jsz,1,46.8,25.4,2022-10-19T18:30:18.370Z,2022-10-19T23:46:50Z,3856362391,56,Right,3856362393,140,53.9,3856362399,212,9.4,3856362401,213,5.6,3857140181,178,,3856362395,141,16.9,,,,,,,c589fk8pfqvbukvtdqu1yhjv9,Joelinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
