id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/11/value,qualifier/9/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2469874469,1,34,16,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-09T17:00:27.835Z,2022-10-09T18:44:04Z,3832777169,197,409,3832777171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832777157,30,"e8dina16u5kt5ho4u5igtmimt, 9nq9bocnqq6bu8ho4m26qmkt1, 9o1vesnpfiucpoq35ihhpstex, ceerfv28fygp7m2euv5n5uu39, ed4w2l6hglrrxu2a75bn0tt5h, 35jaxclh329duzefna708jk5x, 8kb5h8df97ju107n9ibigo1cl, do3duah478rhz9cg2icde4h9m, xu7mykgl15kaib3olilmsez9, 8mjj0wgufggpc1ai2dk21h90p, 4n782p6eaok71ai7ecj1jo1jp, 6og6s61vrg51rfqxk9cipylzp, 7qgt7sht6py670pt6t4wjhqay, 374kcix9j7e1cob4uxmfncwyd, 5tlxrhab4kdeud8d2r9z9hk2d, cpd8prwzxf0rzevtk33fpryt, 4nk3po2hbfahzgq57g8k4cg6h, 20wvh9al53baedfzbzykpvkyd, 15948izygnu32cu1pw6h5wp9l, 7ws1gtw5wppplxudz3w33fmy1",3832777159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832777167,194,9nq9bocnqq6bu8ho4m26qmkt1,3832777161,59,"1, 23, 19, 27, 30, 2, 17, 8, 20, 10, 11, 5, 7, 9, 15, 26, 29, 33, 37, 48",3832777165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832777163,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469874511,1,34,16,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-09T17:00:31.177Z,2022-10-09T17:00:31Z,3832777405,30,"e00004wkpfc8jawioejmpu1n9, 3f3jcsa7gk6in9fskp9w5a5t5, 7uxt9a7t22ij4reg1uire5uqd, awda32rw2clw0sjemf7rkcel1, a3ms8havadt1y9x381l325txx, b17tkj4ea4jld8yupekcolall, v22q59d00b5v78rgx7v8z3vu, 6nb8hub5usi3iasywa2fjf1lh, 3ikhefktnj44ys7rqjzr5q09h, 3vtjjrqof5z2tjj84ehadqc45, 604osk9a3lxpfpkavuziqmn6x, h17s3qts1dz1zqjw19jazzkl, bl8667xvrhy0tft8x3lgopomh, dubi41xs74u89icfnn80vxx3p, 3dph74ixutmbpscaon0b25sl, 84hisj17nuwx4scnizuxap239, cv8egyrq9dlfgeamk6b7fdgq1, 6oq2axbijb2qrhw86l7erxmcq, 5wengf05apke7rv3kms186j56, 9fvo9v5e9r0ptibied6ejv3zd",3832777407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832777419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832777411,130,8,3832777417,197,418,3832777415,194,3vtjjrqof5z2tjj84ehadqc45,3832777413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832777409,59,"1, 20, 23, 14, 2, 6, 21, 18, 9, 8, 10, 7, 12, 17, 19, 22, 25, 28, 36, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915701,2,32,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,0,0,2022-10-09T18:00:26.385Z,2022-10-09T18:00:25Z,3833002723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915709,2,32,1,0,0,ehd2iemqmschhj2ec0vayztzz,1,0,0,2022-10-09T18:00:26.385Z,2022-10-10T03:07:33Z,3833002753,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915719,3,1,1,0,0,6eqit8ye8aomdsrrq0hk3v7gh,1,50,50,2022-10-09T18:00:26.438Z,2022-10-10T03:33:20Z,3834402545,178,,3833002807,140,30.1,3833002805,56,Back,3833002815,279,S,3833002811,212,20.9,3833002809,141,52.2,3833002813,213,3.1,,,,3vtjjrqof5z2tjj84ehadqc45,Bruno Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915729,4,1,1,0,3,6eqit8ye8aomdsrrq0hk3v7gh,1,30.2,53,2022-10-09T18:00:29.585Z,2022-10-10T03:33:28Z,3834402671,178,,3833002865,140,34.4,3833002867,141,70.8,3833002863,56,Back,3833002871,213,1.2,3833002869,212,12.9,,,,,,,a3ms8havadt1y9x381l325txx,V. Lindelöf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915741,5,1,1,0,5,6eqit8ye8aomdsrrq0hk3v7gh,1,32.3,70.8,2022-10-09T18:00:31.445Z,2022-10-10T03:33:33Z,3833002929,56,Back,3834402715,178,,3833002937,213,3.7,3833002931,140,9.6,3833002935,212,27.8,3833002933,141,49.9,,,,,,,b17tkj4ea4jld8yupekcolall,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915769,6,1,1,0,9,6eqit8ye8aomdsrrq0hk3v7gh,1,9.6,49.7,2022-10-09T18:00:35.428Z,2022-10-10T03:33:36Z,3834402747,178,,3833003093,212,18.7,3833003095,213,5.4,3833003087,56,Back,3833003091,141,28.0,3833003089,140,20.5,,,,,,,e00004wkpfc8jawioejmpu1n9,David de Gea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915795,7,1,1,0,13,6eqit8ye8aomdsrrq0hk3v7gh,0,23.1,18.2,2022-10-09T18:00:39.390Z,2022-10-10T03:33:40Z,3833003211,141,37.6,3833003217,1,,3833003215,213,0.2,3833003209,140,88.8,3833003213,212,70.2,3833003207,56,Center,3833003205,155,,3834402773,178,,a3ms8havadt1y9x381l325txx,V. Lindelöf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469915813,3,52,1,0,17,ehd2iemqmschhj2ec0vayztzz,1,11.8,56.7,2022-10-09T18:00:43.785Z,2022-10-10T03:33:42Z,3834402801,178,,3833727585,377,,,,,,,,,,,,,,,,,,,,e8dina16u5kt5ho4u5igtmimt,J. Pickford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
