id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2511570325,1,34,16,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-02-24T19:00:12.733Z,2023-02-24T19:59:54Z,4052558999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052558993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052559003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052558995,59,"17, 2, 33, 26, 31, 13, 14, 6, 30, 18, 20, 1, 3, 4, 5, 8, 11, 12, 21, 28",4052558997,130,8,4052558991,30,"2f79rc4i712sxstahjkq6pxp1, 2qy2d8xkwkbeyw5v8ljlzb845, bgc1psqiv7vagmphfl920nbah, ecp0v1dxqfjbgy3urnkz5d3o5, chn2v9j6dqmuz2haoiuulbd91, b1el7j39v2pgvl9zodd9usded, ch8dgambei1xbzmikkglg3c9h, a9k2946gt4hcqw8jpi6ow3jdh, 94zmvxw7yw020w43dn0qiclbd, ah7iqgru0htz9lh1bff94cjbp, afcwu800ox2u5zx6xaiygg1qt, 46jsa691lantlbcfqm1rtnlcl, 8oyxr0sr61uhi2gm6bbtjdy39, 661b6x35l9b9uieqbcq7el1hx, 8jf11l2tivq8jpw0fblgdvh05, dlpk0a4jgiswcm2r75uh1czpx, f0drogjsrwqv3hyjxuqcnk8vd, zo32khapaj950oma9gipptxx, dkwkmrmpb7rq4e660efcu5hat, cdrzpuj49ploquvdolgh5c3bp",4052559001,194,b1el7j39v2pgvl9zodd9usded,4052820593,197,4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511570359,1,34,16,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-02-24T19:00:16.378Z,2023-02-24T20:45:59Z,4052559161,130,2,4052559167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052559157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052559163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052821191,197,18268,4052559159,59,"1, 22, 64, 8, 15, 23, 21, 5, 12, 9, 27, 3, 4, 10, 19, 25, 28, 29, 35, 37",4052559165,194,8kw1y8mzxtwl4fv8qkc8hoc7p,4052559155,30,"71rob1lsnmdviy1siakkzpqdx, 3fhoof7n4sjaizvotcmypb9at, f1lellpt59ka10kyngi7vsqy2, 8kw1y8mzxtwl4fv8qkc8hoc7p, 2unorlgh6lxy19g0pgydg65ed, 2nz313c0ot91untg011l3pc6h, 4pyehox7p3z64c4l3k8yoyfv9, 8rfgwq7hbi4a3imda845vdyvp, 9rm3r46uzxlmuqnp0jo4danhm, 5wa8lzp50ccfhxg3j4f65gt79, 3trkre1c81pzretsjsi8jk6sq, 9jxhgh1vhc531ho0ez5alfazu, csinkvzxcphggdjeflmo173zd, 50y6nq2eok9lnmldevkamkkwl, 7wzwqegxhekjwq361dd2nidp1, 5pbnl8ssfcrxf9lfg1pl3vxzp, 9l7ph5603tbb7xwyxpvjg22fp, 6s577yqayjceifu1e05f280yd, 5hu4oy1jz8k1c3ajuiueoo2ga, e83zd56y74k8uecxqyo5xw7v9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511619717,2,32,1,0,0,b9si1jn1lfxfund69e9ogcu2n,1,0,0,2023-02-24T20:00:44.321Z,2023-02-24T20:00:48Z,4052823237,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511619759,2,32,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,0,0,2023-02-24T20:00:44.321Z,2023-02-25T04:16:09Z,4052823447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620591,9,1,1,0,0,hzqh7z0mdl3v7gwete66syxp,1,50.3,50.1,2023-02-24T20:00:44.367Z,2023-02-25T04:19:48Z,4052832813,141,50.3,4052832809,56,Back,4052834639,279,S,4052832815,212,12.0,4052832817,213,3.1,4052832811,140,38.9,4053450213,178,,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620595,10,1,1,0,1,hzqh7z0mdl3v7gwete66syxp,1,39.2,50.5,2023-02-24T20:00:45.858Z,2023-02-25T04:19:54Z,4052837903,212,9.1,4052837897,56,Back,4052837905,213,6.1,4053450275,178,,4052837901,141,48.0,4052837899,140,47.7,,,,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620597,11,1,1,0,2,hzqh7z0mdl3v7gwete66syxp,1,49,49.5,2023-02-24T20:00:46.547Z,2023-02-25T05:26:34Z,4052838731,212,6.7,4052838727,140,42.9,4052838725,56,Back,4052838733,213,2.8,4053450407,178,,4052838729,141,52.4,,,,,,,a9k2946gt4hcqw8jpi6ow3jdh,H. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620603,12,1,1,0,3,hzqh7z0mdl3v7gwete66syxp,1,35.2,54.2,2023-02-24T20:00:47.965Z,2023-02-25T04:20:22Z,4052839769,140,25.9,4052839773,212,19.1,4052839775,213,2.1,4053450581,178,,4052839771,141,78.3,4052839767,56,Back,,,,,,,ecp0v1dxqfjbgy3urnkz5d3o5,João Palhinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620605,13,1,1,0,6,hzqh7z0mdl3v7gwete66syxp,1,27.9,68.2,2023-02-24T20:00:50.435Z,2023-02-25T04:20:29Z,4052841567,140,26.5,4052841571,141,33.0,4053450639,178,,4052841579,213,4.7,4052841565,56,Back,4052841575,212,24.0,,,,,,,b1el7j39v2pgvl9zodd9usded,T. Ream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511620607,14,1,1,0,8,hzqh7z0mdl3v7gwete66syxp,1,27.5,24.8,2023-02-24T20:00:52.849Z,2023-02-25T04:20:32Z,4052843649,213,2.5,4052843643,140,6.1,4053450701,178,,4052843645,141,48.2,4052843647,212,27.5,4052843641,56,Back,,,,,,,chn2v9j6dqmuz2haoiuulbd91,I. Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
